Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
schreiber2017/mirex2017,0.03912039919692323,0.14574500835469598,0.02786065712103691,0.10361493522912
schreiber2018/ismir2018,0.06666666666666667,0.24944382578492946,0.0,0.0
schreiber2018/cnn,0.06803094017064769,0.24913124348236498,0.0013642735039810356,0.005104644033750608
schreiber2018/fcn,0.06881848006495549,0.24892937703238374,0.002151813398288825,0.005524579677550274
schreiber2017/ismir2017,0.09450926039770222,0.26311380426251935,0.02786065712103691,0.10361493522912
percival2014/stem,0.13497221765462672,0.3400618605772966,0.00163888432129341,0.0006183973388698903
boeck2015/tempodetector2016_default,0.13642645376221027,0.3401533190577702,0.003093120428876926,0.003057416232495014
schreiber2014/default,0.22837472112848844,0.39902422279726907,0.02853119641641174,0.10343948162307069
davies2009/mirex_qm_tempotracker,0.28145370988701435,0.43736690722083066,0.018752683828328162,0.009119677441381981
