Item,davies2009/mirex_qm_tempotracker,klapuri2006/percival2014,boeck2019/multi_task_hjdb,boeck2019/multi_task,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
blues.00000.jams,0.011451381933189168,0.006035840868566334,0.0025191102511586253,0.0024039388112791367,0.0005937503566798222,0.0005937503566798222,0.0005937503566798222,0.0016790651569581565,0.9890981115188503,0.0015444696157308328,0.0015444696157308328,0.9955082792609821,0.0005599442596904768,0.010901888481149691,0.0005937503566798222,3.986180077624551e-05,0.0015444696157308328
blues.00001.jams,0.0094601355836834,0.009459902205152712,0.0062826913312126805,0.0022370528189846082,0.998821377850552,1.6014858803051673,0.009468622050060414,0.004721141807157729,0.009468622050060414,0.005580203199546154,0.005580203199546154,0.02715300161950389,0.009468622050060414,0.6085063079829396,0.013282475164942964,0.004325167230496142,1.0072568459882822
blues.00002.jams,0.04439296219415353,9.444436444386843e-07,0.998942966883024,0.008036348008430129,0.0036322895157409676,0.012792288801216738,0.012792288801216738,0.9945255455455285,1.0055862405136378,0.0022206065656623043,0.0022206065656623043,0.03942652447696734,0.994531052004642,0.0036322895157409676,0.011787531063319076,0.9894922643933372,0.9956048459947479
blues.00003.jams,0.01729087384700523,0.008520863121461731,0.008473764411365223,0.011005010845821016,0.01674138039496553,1.005245741557136,0.01674138039496553,1.0085198267360729,0.006342232718075708,0.0014646232626465954,0.0014646232626465954,0.010331212652833927,0.9983041321382894,0.5940503085726865,0.005245741557136035,0.03216822008598081,0.5879473265909546
blues.00004.jams,0.018859960674704745,0.01861286291879609,0.006924065095528032,0.006924065095528032,0.008223324565967643,0.0025030820270907092,0.008223324565967643,0.009334348916142887,1.0025030820270908,0.00997640110917318,0.00997640110917318,1.0017560886136347,0.006816074898173319,0.013309836983673433,0.009734651258166329,0.0016897080318887272,0.009549632857763793
blues.00005.jams,0.028004916420546748,0.028005246947141675,0.010601428922024333,0.0074617213914571845,0.010601428922024333,0.9788925691946863,0.010601428922024333,0.013456810243107709,0.010601428922024333,0.0018214456605700905,0.0018214456605700905,0.032892553513669355,0.006413631958591029,0.683436685668515,0.006646333490922943,0.5950899229770471,0.9998404992814943
blues.00006.jams,0.002832737592586555,0.5415015427698618,0.03756353840866667,0.03281717621377915,0.05409947700183699,1.0143802608809294,1.6339565166834227,0.017926352980088735,0.01457111281519958,0.020592094344295864,0.020592094344295864,0.05074222406223226,0.979568235763558,0.7184900268950906,0.04830029306386978,0.014551617067996351,0.020592094344295864
blues.00007.jams,0.04641760224457849,0.00604944469048529,0.011120022750219496,0.00771743852937957,0.020512702012245684,0.04222305333571692,0.020512702012245684,0.00040572093553327773,0.005082661442639674,0.028769528138574595,0.028769528138574595,0.04458788194865389,0.01590099310643285,0.020512702012245684,0.005661110385415398,0.020853881505294915,0.0300224600165717
blues.00008.jams,0.988222021044858,0.9999992061291902,1.004676791224699,1.003127449703799,0.00054890560202249,0.00054890560202249,0.00054890560202249,0.999999412149983,1.0005489056020225,0.0008470074984856204,1.0008470933909392,0.9901424463841425,1.0005489056020225,0.9834753922430811,0.9918161690594205,0.0020095147072245285,1.0008470933909392
blues.00009.jams,0.39231805873691444,8.453288782944466e-07,0.008134115140777581,0.0038955662502741396,0.0005488574938852422,0.018250859227344124,0.0005488574938852422,0.011404532097581091,0.0005488574938852422,0.004519087717469088,0.004519087717469088,0.003361333679500441,0.012917414924303578,0.0005488574938852422,0.016826678419794724,0.009270203536560615,0.004519087717469088
blues.00010.jams,1.0112279372519497,0.005558634595174547,1.0040726344696411,1.0008370848034802,0.015696518566534583,1.0156965185665345,0.9796272638590129,5.3716341112033325e-08,0.020372736140987124,0.9788146516423301,0.021185439718931325,0.030586044114378545,0.9977746105692723,1.0067633937965268,1.0171206993740842,0.976189923276634,0.022626999916737098
blues.00011.jams,1.0155951161463674,0.5849626517373346,0.013706191321657636,0.010359168221154841,1.5874816180742795,0.5960947483789875,1.5874816180742795,0.003882554003349407,0.011132247657831187,0.0026833506282458726,1.002683376541973,0.5905072388850399,0.5857528041575284,1.215004581023481,1.5846279631534406,0.5871360209853376,1.001661236290394
blues.00012.jams,0.013054981160121156,1.661034379491529e-06,0.009009717984270048,0.010240949158541433,0.01362142689008284,0.01362142689008284,0.01362142689008284,0.006511709572988929,0.01740546873054151,0.00691050981874802,0.00691050981874802,0.06968687333319831,0.01362142689008284,0.01362142689008284,0.012552385507578227,0.00940998338292026,0.00691050981874802
blues.00013.jams,0.014950387727400004,2.5967998607982053e-07,0.013261033379259704,0.012053139418937552,0.019418969041985167,0.0059984532796634035,0.0059984532796634035,0.007453897052252537,0.0059984532796634035,0.005054541104728111,0.005054541104728111,0.08311364435937457,0.007346136741409939,0.019418969041985167,0.007884857823431176,0.004460556921458949,0.005054541104728111
blues.00014.jams,7.946169738322435e-07,0.04654180527810341,0.03552605411913523,0.03186549565691194,0.047091508100866944,0.012326089940190429,0.012326089940190429,0.029263436979041067,0.047091508100866944,0.0330883091207896,0.0330883091207896,0.04606462917641408,0.005472418899127786,0.029604081372026005,0.04375254494691489,0.03514213120678544,0.0330883091207896
blues.00015.jams,0.04182578803369093,0.00681963405547552,0.00909623688612801,0.0023812625169874623,0.022721710801163204,0.008222141106047921,1.0227217108011633,1.6343010797294129e-06,0.008222141106047921,0.007303474320315664,0.007303474320315664,0.03750546342823358,0.034217349638992665,0.008222141106047921,0.001134649152203946,0.005830240330631327,0.007303474320315664
blues.00016.jams,0.014079568132207376,0.013938792216914438,0.0043033418566665385,0.008057354289378276,0.005024509100320509,0.019524078795435586,0.005024509100320509,0.010544422550646996,0.005024509100320509,0.008992496509945635,0.008992496509945635,0.025749432279051795,0.02098208300329674,0.03417085475983699,0.9949754908996795,0.01520247284534213,0.025786707372243034
blues.00017.jams,0.023852700272575876,1.0058737432362956,1.0114655612680792,1.011637218718563,1.0470894709988006,1.012324052838124,1.012324052838124,1.0176271041768927,1.0296020442699596,1.0461987235053396,1.0461987235053396,0.9539333337215192,1.0330826130049215,1.0296020442699596,0.016834315229973203,1.0271185759108756,1.0448126900162225
blues.00018.jams,0.011586215414139537,1.1586649152711237e-06,0.009761111980470121,0.009761111980470121,0.022718917835168273,0.022718917835168273,0.022718917835168273,0.005759862652797157,0.005440926403332593,0.007693408232141187,0.007693408232141187,0.017131408341220664,0.9755849422440733,0.012046500325508299,0.008707537171556121,0.005236189167400859,0.01358857072584015
blues.00019.jams,0.034765067901754244,1.4088819827486567e-07,0.002028281489754613,0.0019111938752853538,0.011131961336673508,0.0005498437109619423,0.0005498437109619423,1.3247060194835363e-06,0.011131961336673508,0.0010341865657506073,0.0010341865657506073,0.3004205323778444,0.011144958950160938,0.0005498437109619423,0.0070153853735860725,0.00613204784098839,0.00426411868359119
blues.00020.jams,0.019366573695277795,0.0191093149659571,0.0014930340126848324,0.0006013193214990503,0.0019610204067804734,0.0019610204067804734,0.029747839320557815,5.730203723053581e-06,0.008531353410862067,0.009768047449607242,0.9902319525503928,0.9917425170097213,0.016980543246680066,0.019100595121049255,0.015286742006167031,1.057825917592583,0.00030756017993645627
