T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.3570587144779144,0.35062314813535084,0.3518384879131288,0.32327614722727455,0.35254037882328954,0.35293438653782533,0.35293438653782533,0.35293438653782533,0.35288102321627435,0.35288102321627435,0.35288102321627435
44.0,0.3570587144779144,0.35062314813535084,0.3518384879131288,0.32327614722727455,0.35254037882328954,0.35293438653782533,0.35293438653782533,0.35293438653782533,0.35288102321627435,0.35288102321627435,0.35288102321627435
45.0,0.3570587144779144,0.35062314813535084,0.3518384879131288,0.32327614722727455,0.35254037882328954,0.35293438653782533,0.35293438653782533,0.35293438653782533,0.35288102321627435,0.35288102321627435,0.35288102321627435
46.0,0.3570587144779144,0.35062314813535084,0.3518384879131288,0.32327614722727455,0.35254037882328954,0.35293438653782533,0.35293438653782533,0.35293438653782533,0.35288102321627435,0.35288102321627435,0.35288102321627435
47.0,0.3570587144779144,0.35062314813535084,0.3518384879131288,0.32327614722727455,0.35254037882328954,0.35293438653782533,0.35293438653782533,0.35293438653782533,0.35288102321627435,0.35288102321627435,0.35288102321627435
48.0,0.337400952365311,0.3361761184392014,0.30912986860644975,0.32546490853714793,0.3375615051348639,0.30809141229719933,0.33732417484571664,0.30809141229719933,0.3079577145250342,0.30299998009249274,0.3079577145250342
49.0,0.337400952365311,0.3361761184392014,0.30912986860644975,0.32546490853714793,0.3375615051348639,0.30809141229719933,0.33732417484571664,0.30809141229719933,0.3079577145250342,0.30299998009249274,0.3079577145250342
50.0,0.337400952365311,0.3361761184392014,0.30912986860644975,0.32546490853714793,0.3375615051348639,0.30809141229719933,0.33732417484571664,0.30809141229719933,0.3079577145250342,0.30299998009249274,0.3079577145250342
51.0,0.337400952365311,0.3361761184392014,0.30912986860644975,0.32546490853714793,0.3375615051348639,0.30809141229719933,0.33732417484571664,0.30809141229719933,0.3079577145250342,0.30299998009249274,0.3079577145250342
52.0,0.337400952365311,0.3361761184392014,0.30912986860644975,0.32546490853714793,0.3375615051348639,0.30809141229719933,0.33732417484571664,0.30809141229719933,0.3079577145250342,0.30299998009249274,0.3079577145250342
53.0,0.23122824130392203,0.22867572459182642,0.21192859659930444,0.2290336623224809,0.2281643114608819,0.20904316262265343,0.2286809933278003,0.20919249253537753,0.20910673077410588,0.2019999867283285,0.20910673077410588
54.0,0.1488051912135565,0.15229067425500503,0.13853613419788255,0.15236931925922637,0.14637885826458655,0.1343210170816323,0.1461037155047204,0.13441061502926674,0.1343428623361542,0.13007881590868778,0.1343428623361542
55.0,0.12479834542959288,0.12755538848246076,0.11601947473746423,0.13157633099591146,0.12200457617114101,0.11201513341806792,0.12183404877064137,0.11208979837442996,0.1119523852801285,0.10839901325723982,0.1119523852801285
56.0,0.12479834542959288,0.12755538848246076,0.11601947473746423,0.13157633099591146,0.12200457617114101,0.11201513341806792,0.12183404877064137,0.11208979837442996,0.1119523852801285,0.10839901325723982,0.1119523852801285
57.0,0.12479834542959288,0.12755538848246076,0.11601947473746423,0.13157633099591146,0.12200457617114101,0.11201513341806792,0.12183404877064137,0.11208979837442996,0.1119523852801285,0.10839901325723982,0.1119523852801285
58.0,0.12479834542959288,0.12755538848246076,0.11601947473746423,0.13157633099591146,0.12200457617114101,0.11201513341806792,0.12183404877064137,0.11208979837442996,0.1119523852801285,0.10839901325723982,0.1119523852801285
59.0,0.10705963824158783,0.10994460629591007,0.09992262221631047,0.11526621989485229,0.10485631537676418,0.09613130347127537,0.10442970737680714,0.09607749275148307,0.09595918738296728,0.09291343993477698,0.09595918738296728
60.0,0.05712920848260934,0.07443813031662183,0.052178720052094105,0.14663336168901503,0.08459785766210433,0.04964931094518019,0.05375785234471967,0.049581737671921464,0.07873919042933093,0.04793947426501687,0.049462347989112025
61.0,0.05712920848260934,0.07443813031662183,0.052178720052094105,0.14663336168901503,0.08459785766210433,0.04964931094518019,0.05375785234471967,0.049581737671921464,0.07873919042933093,0.04793947426501687,0.049462347989112025
62.0,0.050712955414529116,0.06561018126983291,0.045769067133844835,0.15592923837123365,0.0747223470983165,0.04405829665763642,0.04767779650085054,0.0440236961621521,0.06952079716145346,0.04319076232174631,0.04390356002626191
63.0,0.04792724008794494,0.061832174718951964,0.043105827247253925,0.14771408390559881,0.07037979338160465,0.06588612874873173,0.06929271683646267,0.0658535635765112,0.06543133850489738,0.040650129243996524,0.04132099767177592
64.0,0.027004025498671345,0.041465710421831614,0.022541432075829537,0.13096046679626921,0.04974813831164558,0.045139590222528,0.048546178310258925,0.045107025050307455,0.04467363125688123,0.019892421995980392,0.020563290423759772
65.0,0.025108931151793714,0.03878851065677864,0.02154164951712873,0.1395552778932307,0.045538895457232643,0.04140698119587213,0.04445498106384191,0.0413778439365169,0.04099037138073221,0.01881771046308409,0.01941796116162354
66.0,0.023900957285647246,0.03694393688256958,0.0206636118811767,0.1347304615628092,0.043262425256669235,0.03935380955137545,0.04223376963622604,0.03931048936526729,0.0389408528116956,0.017876824939929887,0.018447063103542362
67.0,0.023900957285647246,0.03694393688256958,0.0206636118811767,0.1347304615628092,0.043262425256669235,0.03935380955137545,0.04223376963622604,0.03931048936526729,0.0389408528116956,0.017876824939929887,0.018447063103542362
68.0,0.023900957285647246,0.03694393688256958,0.0206636118811767,0.1347304615628092,0.043262425256669235,0.03935380955137545,0.04223376963622604,0.03931048936526729,0.0389408528116956,0.017876824939929887,0.018447063103542362
69.0,0.008059467133223284,0.02095799323151709,0.007470496558388717,0.11992781174010496,0.027224387060795364,0.02621400406875992,0.026170687898758788,0.026170683882651768,0.025789132520005902,0.005220878091494331,0.005295342811852661
70.0,0.021441018646670702,0.028874503096017464,0.020020039163637794,0.1238306904441232,0.03299468858853264,0.029985049059321353,0.03175729167050217,0.03175729489675737,0.03151204815997114,0.018242206593189488,0.01829024834825938
71.0,0.021441018646670702,0.028874503096017464,0.020020039163637794,0.1238306904441232,0.03299468858853264,0.029985049059321353,0.03175729167050217,0.03175729489675737,0.03151204815997114,0.018242206593189488,0.01829024834825938
72.0,0.01984894083914508,0.026432905140853304,0.018338906559989557,0.1149899981107584,0.030131818136501978,0.03956569960346215,0.041167971130128864,0.04116797148473885,0.04093855859523381,0.028839585401991705,0.028883388178673072
73.0,0.019066662177094587,0.02508521596032737,0.017557015406684348,0.13286712928233937,0.028476752928528803,0.037386639337969985,0.03888382625187453,0.038883826586783965,0.038664194228831925,0.027237386212992164,0.027278755502080126
