Estimator,ternary,swing,no_ternary,no_swing,9/8,5/4,4/4,3/4,2/4,12/8
boeck2015/tempodetector2016_default,0.5806451612903226,0.797752808988764,0.7874097007223942,0.7773722627737226,0.75,0.5,0.7988826815642458,0.7272727272727273,0.5714285714285714,0.5555555555555556
boeck2019/multi_task,0.41935483870967744,0.601123595505618,0.7141382868937048,0.7274939172749392,0.75,0.0,0.7329608938547486,0.45454545454545453,0.7142857142857143,0.37037037037037035
boeck2019/multi_task_hjdb,0.3870967741935484,0.5280898876404494,0.6904024767801857,0.7141119221411192,0.75,0.0,0.7094972067039106,0.4090909090909091,0.7142857142857143,0.3333333333333333
boeck2020/dar,0.6774193548387096,0.898876404494382,0.8565531475748194,0.8406326034063261,0.75,1.0,0.864804469273743,0.7727272727272727,0.7142857142857143,0.6666666666666666
davies2009/mirex_qm_tempotracker,0.5483870967741935,0.7078651685393258,0.7151702786377709,0.7104622871046229,0.5,0.5,0.7262569832402235,0.6136363636363636,0.5714285714285714,0.5555555555555556
echonest/version_3_2_1,0.1935483870967742,0.42134831460674155,0.673890608875129,0.7104622871046229,0.25,0.5,0.6972067039106146,0.29545454545454547,0.5714285714285714,0.18518518518518517
gkiokas2012/default,0.5161290322580645,0.398876404494382,0.6676986584107327,0.7201946472019465,0.5,1.0,0.6737430167597765,0.5454545454545454,0.7142857142857143,0.5185185185185185
klapuri2006/percival2014,0.4838709677419355,0.6067415730337079,0.7100103199174407,0.7238442822384428,0.5,0.5,0.7195530726256983,0.6136363636363636,0.7142857142857143,0.48148148148148145
oliveira2010/ibt,0.45161290322580644,0.651685393258427,0.6986584107327142,0.6995133819951338,0.25,1.0,0.7094972067039106,0.5681818181818182,0.7142857142857143,0.48148148148148145
percival2014/stem,0.4838709677419355,0.4943820224719101,0.6893704850361198,0.7238442822384428,0.75,0.5,0.6972067039106146,0.6136363636363636,0.7142857142857143,0.4444444444444444
scheirer1998/percival2014,0.45161290322580644,0.4606741573033708,0.5201238390092879,0.5304136253041363,0.5,0.5,0.5284916201117319,0.45454545454545453,0.5714285714285714,0.4444444444444444
schreiber2014/default,0.3548387096774194,0.42134831460674155,0.6945304437564499,0.7408759124087592,0.25,0.0,0.71731843575419,0.29545454545454547,0.7142857142857143,0.37037037037037035
schreiber2017/ismir2017,0.4838709677419355,0.5224719101123596,0.7120743034055728,0.7445255474452555,0.5,0.0,0.7385474860335196,0.36363636363636365,0.5714285714285714,0.48148148148148145
schreiber2017/mirex2017,0.5806451612903226,0.42696629213483145,0.6800825593395253,0.7311435523114356,0.75,0.5,0.7005586592178771,0.3409090909090909,0.7142857142857143,0.5555555555555556
schreiber2018/cnn,0.7419354838709677,0.7471910112359551,0.7708978328173375,0.7749391727493917,0.75,0.5,0.7854748603351955,0.5681818181818182,0.7142857142857143,0.7407407407407407
schreiber2018/fcn,0.7096774193548387,0.7134831460674157,0.7543859649122807,0.7615571776155717,0.0,0.0,0.7687150837988826,0.5454545454545454,0.5714285714285714,0.8148148148148148
schreiber2018/ismir2018,0.5161290322580645,0.7584269662921348,0.7832817337461301,0.7785888077858881,0.5,1.0,0.8011173184357542,0.5681818181818182,0.5714285714285714,0.5185185185185185
sun2021/default,0.5806451612903226,0.8258426966292135,0.8111455108359134,0.7992700729927007,0.5,0.5,0.8279329608938547,0.6590909090909091,0.5714285714285714,0.5925925925925926
zplane/auftakt_v3,0.3548387096774194,0.5617977528089888,0.6914344685242518,0.7068126520681265,0.5,0.5,0.7016759776536313,0.6136363636363636,0.7142857142857143,0.3333333333333333
