T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
37.0,0.5357142857142857,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.14285714285714285,0.39285714285714285,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.35714285714285715,0.25
38.0,0.5806451612903226,0.5806451612903226,0.6451612903225806,0.7096774193548387,0.16129032258064516,0.41935483870967744,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.4838709677419355,0.3225806451612903,0.41935483870967744,0.22580645161290322
39.0,0.5714285714285714,0.5714285714285714,0.6285714285714286,0.7142857142857143,0.2,0.45714285714285713,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4857142857142857,0.3142857142857143,0.4,0.22857142857142856
40.0,0.5714285714285714,0.5714285714285714,0.6285714285714286,0.7142857142857143,0.2,0.45714285714285713,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4857142857142857,0.3142857142857143,0.4,0.22857142857142856
41.0,0.5714285714285714,0.5714285714285714,0.6285714285714286,0.7142857142857143,0.2,0.45714285714285713,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4857142857142857,0.3142857142857143,0.4,0.22857142857142856
42.0,0.5675675675675675,0.5675675675675675,0.6216216216216216,0.7297297297297297,0.21621621621621623,0.43243243243243246,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.4594594594594595,0.32432432432432434,0.40540540540540543,0.24324324324324326
43.0,0.6,0.55,0.6,0.75,0.25,0.45,0.55,0.575,0.6,0.45,0.375,0.425,0.275
44.0,0.6,0.575,0.6,0.75,0.25,0.45,0.525,0.575,0.6,0.425,0.375,0.425,0.275
45.0,0.625,0.55,0.575,0.775,0.25,0.475,0.525,0.6,0.625,0.425,0.4,0.425,0.3
46.0,0.65,0.575,0.575,0.775,0.275,0.475,0.525,0.575,0.625,0.475,0.4,0.425,0.3
47.0,0.6190476190476191,0.5952380952380952,0.5476190476190477,0.7619047619047619,0.2619047619047619,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.4523809523809524,0.40476190476190477,0.38095238095238093,0.2857142857142857
48.0,0.6046511627906976,0.5813953488372093,0.5348837209302325,0.7441860465116279,0.2558139534883721,0.46511627906976744,0.46511627906976744,0.5116279069767442,0.5581395348837209,0.4418604651162791,0.3953488372093023,0.37209302325581395,0.27906976744186046
49.0,0.5957446808510638,0.574468085106383,0.5106382978723404,0.723404255319149,0.2553191489361702,0.46808510638297873,0.46808510638297873,0.5106382978723404,0.5531914893617021,0.40425531914893614,0.3829787234042553,0.3617021276595745,0.2765957446808511
50.0,0.574468085106383,0.5531914893617021,0.48936170212765956,0.7021276595744681,0.2553191489361702,0.44680851063829785,0.44680851063829785,0.48936170212765956,0.5319148936170213,0.3829787234042553,0.40425531914893614,0.3617021276595745,0.2765957446808511
