Estimator,Vocal,Symphony,Solo,Orchestral,Concerto,Chamber,8/4,7/8,7/4,6/4,5/4,4/4,3/4,2/4
boeck2015/tempodetector2016_default,0.6666666666666666,0.0,0.5142857142857142,0.75,0.5,0.5,0.0,1.0,1.0,0.25,1.0,0.47619047619047616,0.5789473684210527,0.45454545454545453
davies2009/mirex_qm_tempotracker,0.3333333333333333,0.0,0.2571428571428571,0.25,0.5,0.3,0.0,0.0,0.0,0.5,0.0,0.23809523809523808,0.3157894736842105,0.2727272727272727
percival2014/stem,0.5,0.0,0.22857142857142856,0.25,0.5,0.3,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.3684210526315789,0.18181818181818182
schreiber2014/default,0.3333333333333333,0.0,0.2857142857142857,0.25,0.0,0.2,0.0,0.0,0.5,0.0,1.0,0.23809523809523808,0.21052631578947367,0.36363636363636365
schreiber2017/ismir2017,0.3333333333333333,0.0,0.3142857142857143,0.25,0.5,0.4,0.0,0.0,0.5,0.25,1.0,0.2857142857142857,0.3684210526315789,0.2727272727272727
schreiber2017/mirex2017,0.3333333333333333,0.0,0.3142857142857143,0.25,0.5,0.4,0.0,0.0,0.5,0.25,1.0,0.2857142857142857,0.3684210526315789,0.2727272727272727
