Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
boeck2020/dar,0.2893395038640389,0.4251050378293214,0.074817604979761,0.11850057586095428
boeck2019/multi_task_hjdb,0.3660794425241001,0.4344564107868375,0.09493862555493605,0.1331829002699102
boeck2019/multi_task,0.3770284129976386,0.4435087221970632,0.08453271245358743,0.12075947395660892
schreiber2017/mirex2017,0.41406712958351044,0.48799691043601484,0.11931415070634793,0.14967608022092038
schreiber2014/default,0.4575626814776799,0.44746153569443703,0.12683710257731576,0.14864926320876892
schreiber2018/fcn,0.4776690696564232,0.5018469248389752,0.1351493440301571,0.15518354046945576
schreiber2018/cnn,0.48201810529480643,0.4873542498915948,0.127167104901766,0.14877108654606838
schreiber2017/ismir2017,0.4866381434388081,0.4675937911278364,0.12822868426261633,0.15289166152678035
boeck2015/tempodetector2016_default,0.5011741066467997,0.6024575442738177,0.07701389619626157,0.12624275734738483
schreiber2018/ismir2018,0.5014211405716144,0.47144742943692086,0.15464614476730004,0.16505008097280546
percival2014/stem,0.5054870650703824,0.4751256610774205,0.14642528201197208,0.14709115657645946
davies2009/mirex_qm_tempotracker,0.9124062408606364,0.6027591388308001,0.16749247060389555,0.15268285333842477
