Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
boeck2015/tempodetector2016_default,0.12428354332736037,0.3146255605611968,0.02184295544228913,0.05769216496849526
schreiber2018/ismir2018,0.14221526726438638,0.3178245773800146,0.03773876211257173,0.08837268162797522
boeck2019/multi_task_hjdb,0.14550313402551873,0.34348626465713383,0.022342526461414172,0.06733725115350866
schreiber2018/cnn,0.15036455281092237,0.32344786112855783,0.042812648865439264,0.10129682341062027
boeck2019/multi_task,0.1535844563994433,0.35264996584764186,0.021773452709689358,0.06566315306690089
schreiber2018/fcn,0.18012720577294242,0.3786999343163778,0.029881891609010888,0.06975502015915444
oliveira2010/ibt,0.18753424892472942,0.3370266660801237,0.059189462567196524,0.1213987440356839
klapuri2006/percival2014,0.20257020133829717,0.365855424805919,0.0420243745711366,0.10251494768724191
schreiber2017/ismir2017,0.21108384341905456,0.3951042387841154,0.034613971404890365,0.08906109936322094
schreiber2017/mirex2017,0.22335956079080524,0.4322760755445441,0.03440341538821142,0.1001726870605172
zplane/auftakt_v3,0.22485657009260152,0.3801145484120473,0.0491310235307256,0.11647032703000826
davies2009/mirex_qm_tempotracker,0.22830721306758722,0.39684613634559723,0.05043688565940528,0.08721859263736613
schreiber2014/default,0.23062001808825397,0.3900566763219386,0.037226732540825126,0.09321881335373007
percival2014/stem,0.2353334797740735,0.40380233867606874,0.02699540448497216,0.07691075736373225
echonest/version_3_2_1,0.251416007123627,0.4142198383061475,0.034009145905505495,0.08500639967880053
gkiokas2012/default,0.29605777014795837,0.4510197919936023,0.03361951975329363,0.08423963632288524
scheirer1998/percival2014,0.3424037253702414,0.4206513505377249,0.09551933381673888,0.14671839060293232
