τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,
0.005,0.0036240483723034515,0.005307993985266668,0.0050678884573800926,0.01941624109465623,0.01595063124161515,0.005807712076418999,0.009494857173459994,0.014789787526628136,0.00767721385317954,0.0997108536397016,0.009478648064282702,0.00952192926156135,0.007147159774508189,0.005265337191957617,0.005423135327102682,0.0051819312446498905,0.00717981618756587
0.01,0.0039238063003255086,0.005165010026259619,0.004965905695024221,0.022661838140807158,0.02035495783185512,0.00706884838056602,0.012293186929560935,0.017015988461207943,0.0066544469863403935,0.07305342650871634,0.0069474184185296375,0.007000108054062032,0.005839709484961751,0.005352644486481157,0.00561848339309039,0.005249314121090507,0.008501484838842615
0.015,0.004294412668953307,0.005161062598963269,0.004968011016659086,0.026488040522057905,0.027947854116310775,0.008782107521438624,0.014581434259920449,0.02018091642392409,0.009251443326347886,0.06854276383933013,0.009442560662778425,0.008715337865673006,0.007906505707213329,0.006650919524466511,0.00715167314027207,0.006546758939220414,0.01003645350308735
0.02,0.004702066465265724,0.005253526761716041,0.005086832537916163,0.030475626207873426,0.03380927007134875,0.009400384614765684,0.01851180036756398,0.025484614145102346,0.011846131555849678,0.06721200225426541,0.01260661779052722,0.01057098379343371,0.00850379262238517,0.00792725806535058,0.008516364941263845,0.00809407670288595,0.014665868427574556
0.025,0.00499344177002076,0.005467437525123316,0.005868948296117455,0.03462731044451073,0.04252107914344533,0.010855546371310245,0.023356338281181194,0.030743080335830154,0.015144125731532822,0.07027792774753938,0.014814773588847094,0.010966702047991373,0.008463831684497842,0.008197522628735698,0.008905577837164145,0.008234661841937345,0.01899305268683886
0.03,0.005320951536697784,0.0056420361677532995,0.005993382305541336,0.03683636771563385,0.04533493418810149,0.01101522701993065,0.026022178090327728,0.034233795626022454,0.017457716090787823,0.07054683632398348,0.016691256623441335,0.01182349669371596,0.010023780789325793,0.009407000467945226,0.009331341208223713,0.008541020504541112,0.019016662042759765
0.035,0.0053531509606263355,0.005656455891417794,0.006035614629120224,0.03740546097227934,0.04555379689972992,0.012263406250431009,0.026967015346997334,0.03499989351788069,0.017377694501032315,0.07012218941744204,0.016639131037405677,0.011830844167405954,0.010047221102697367,0.009449018219059094,0.009415785683224206,0.008591422558149596,0.019780005059569433
0.04,0.005412769279274478,0.005725900309701027,0.006095450792062154,0.038005714398513406,0.04560940086523434,0.012395441975407392,0.027462507179481038,0.03526717759705815,0.01747882064386904,0.07032020207665451,0.0166662443662164,0.01188041370252784,0.01010736025598049,0.009494514148027424,0.009461478545738224,0.008632932821390058,0.019750029624232605
0.045,0.005412769279274478,0.005725900309701027,0.006095450792062154,0.038005714398513406,0.04560940086523434,0.012395441975407392,0.027462507179481038,0.03526717759705815,0.01747882064386904,0.07032020207665451,0.0166662443662164,0.01188041370252784,0.01010736025598049,0.009494514148027424,0.009461478545738224,0.008632932821390058,0.019750029624232605
