Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
0.0,0.1453044891834438,0.0,0.0026259847442791045,0.0,0.0,0.0,0.7852944854320371,0.7540327622858572
0.001,0.2264599224709266,0.034512942353382516,0.1838189320995373,0.4764286607477804,0.47617856696261096,0.4756783793922721,0.7852944854320371,0.7540327622858572
0.002,0.26447417781668126,0.07715393272477179,0.4411654370388896,0.5669626109791172,0.565211954482931,0.5648368138051769,0.7852944854320371,0.7540327622858572
0.003,0.40077529073402524,0.08328123046142304,0.4854320370138802,0.6339877454045267,0.6357384019007127,0.6343628860822809,0.7852944854320371,0.7540327622858572
0.004,0.5150681505564587,0.16006002250844067,0.5535825934725522,0.6876328623233713,0.6852569713642616,0.6832562210829061,0.7852944854320371,0.7540327622858572
0.005,0.5612104539202201,0.1764411654370389,0.5930974115293235,0.728273102413405,0.7241465549581093,0.7217706639989996,0.7854195323246217,0.7556583718894585
0.006,0.6242340877829186,0.18269351006627485,0.6228585719644867,0.7617856696261098,0.7574090283856446,0.7549080905339502,0.7931724396648743,0.7655370764036513
0.007,0.672627235213205,0.20257596598724523,0.6573715143178692,0.7875453294985619,0.7862948605727148,0.7840440165061898,0.8110541453044892,0.7834187820432662
0.008,0.7168938351881956,0.25409528573214957,0.6876328623233713,0.8039264724271602,0.8025509566087283,0.8001750656496186,0.8215580842816056,0.7981743153682631
0.009,0.7582843566337376,0.2751031636863824,0.7037639114668001,0.8165562085782169,0.8151806927597849,0.8120545204451669,0.832937351506815,0.8143053645116919
0.01,0.7689133425034388,0.3206202325872202,0.7210203826434913,0.8291859447292734,0.8274352882330874,0.8241840690258847,0.8451919469801176,0.8308115543328748
0.011,0.7939227210203826,0.3405026885081906,0.7371514317869201,0.8368138051769414,0.8358134300362636,0.832937351506815,0.8568213079904964,0.8480680255095661
