Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,1.6824620995461316e-61,3.2966639788089256e-05,2.238680423452924e-18,5.072827059442466e-44,1.0366404682092072e-42,3.6952222316853055e-52,6.805194191011134e-55,4.2970610360533095e-47
davies2009/mirex_qm_tempotracker,1.6824620995461316e-61,1.0,3.5736524622959414e-51,6.82454707320415e-30,9.607808839975819e-09,2.637988856581868e-10,0.00119228300833561,0.0475774840788544,3.370914942729653e-06
percival2014/stem,3.2966639788089256e-05,3.5736524622959414e-51,1.0,1.5616690336108076e-09,1.0053739174350312e-37,2.6431590463029502e-36,7.81978337917394e-37,1.5948393187285818e-41,3.5551077739394216e-36
schreiber2014/default,2.238680423452924e-18,6.82454707320415e-30,1.5616690336108076e-09,1.0,8.334616889884777e-17,2.5905357681705902e-15,4.390526213434168e-18,6.948568079506591e-21,4.4046761001801815e-16
schreiber2017/ismir2017,5.072827059442466e-44,9.607808839975819e-09,1.0053739174350312e-37,8.334616889884777e-17,1.0,0.025283842844237504,0.11546901178804427,0.00904446007713507,0.6983584812481973
schreiber2017/mirex2017,1.0366404682092072e-42,2.637988856581868e-10,2.6431590463029502e-36,2.5905357681705902e-15,0.025283842844237504,1.0,0.03251805310768555,0.0015104379149235765,0.31242083853974717
schreiber2018/cnn,3.6952222316853055e-52,0.00119228300833561,7.81978337917394e-37,4.390526213434168e-18,0.11546901178804427,0.03251805310768555,1.0,0.08077270598454911,0.0990271459148209
schreiber2018/fcn,6.805194191011134e-55,0.0475774840788544,1.5948393187285818e-41,6.948568079506591e-21,0.00904446007713507,0.0015104379149235765,0.08077270598454911,1.0,0.0008534233855188325
schreiber2018/ismir2018,4.2970610360533095e-47,3.370914942729653e-06,3.5551077739394216e-36,4.4046761001801815e-16,0.6983584812481973,0.31242083853974717,0.0990271459148209,0.0008534233855188325,1.0
