T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
60.0,0.21321531736984117,1.088000843099049,0.41483148096276434,0.33140890117677313,0.8146956733897153,0.8146956733897153,0.8147147168717357,0.8124337642172857,0.8147147168717357
61.0,0.33162387199248183,0.8705772806634018,0.26834249471324984,0.4622720261010598,0.841830650988104,0.841830650988104,0.6651728298893376,0.5533680456497296,0.7307421860934414
62.0,0.33162387199248183,0.8705772806634018,0.26834249471324984,0.4622720261010598,0.841830650988104,0.841830650988104,0.6651728298893376,0.5533680456497296,0.7307421860934414
63.0,0.33162387199248183,0.8705772806634018,0.26834249471324984,0.4622720261010598,0.841830650988104,0.841830650988104,0.6651728298893376,0.5533680456497296,0.7307421860934414
64.0,0.29859789143926,0.8873660182339286,0.34168846950532344,0.5160205003317176,0.8576232627300575,0.8576232627300575,0.5986555469004038,0.4980312410847567,0.7576679674840973
65.0,0.29859789143926,0.8873660182339286,0.34168846950532344,0.5160205003317176,0.8576232627300575,0.8576232627300575,0.5986555469004038,0.4980312410847567,0.7576679674840973
66.0,0.29859789143926,0.8873660182339286,0.34168846950532344,0.5160205003317176,0.8576232627300575,0.8576232627300575,0.5986555469004038,0.4980312410847567,0.7576679674840973
67.0,0.29859789143926,0.8873660182339286,0.34168846950532344,0.5160205003317176,0.8576232627300575,0.8576232627300575,0.5986555469004038,0.4980312410847567,0.7576679674840973
68.0,0.27304036877302057,0.9021490350042799,0.31213103243992074,0.4707392003843426,0.8721962571101062,0.8721962571101062,0.5459030907562629,0.4544264491056747,0.6904598367414387
69.0,0.2502108891082498,0.9129366715366679,0.28505407632106755,0.43078099064235126,0.8820864365850997,0.8820864365850997,0.582981166586118,0.49912757840641214,0.6313899729034144
70.0,0.18646687096153186,0.9380658353231703,0.21295975194092484,0.38440255682988067,0.9104260883309788,0.9104260883309788,0.5611016657701973,0.43571147463541793,0.4724082705081696
71.0,0.16375700663277692,0.9119529834344665,0.18755350563080053,0.33966106139673286,0.918388153436853,0.918388153436853,0.6078768242404795,0.4408633210095645,0.41792713956312155
72.0,0.14771520228489443,0.9231213028242855,0.16885303741427232,0.30571469419733943,0.8265690770334476,0.8265690770334476,0.5970891418164316,0.44677698890860806,0.4261344256068094
73.0,0.1330003235703687,0.8397598470230602,0.15248450773514485,0.34921152864135113,0.7506091092914136,0.7506091092914136,0.5878666190557964,0.4504243242882822,0.43245324068341273
