Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,2.360042660381015e-06,6.527698725639556e-08,6.836789348001067e-75,3.1405914427896444e-08,0.09937853857481163,0.03024244910824236,0.03978603050441041,0.0014461943728858225,0.0005745916679125011,0.00504191442019652
boeck2019/multi_task,2.360042660381015e-06,1.0,0.2758735978590163,2.9992621871459672e-71,0.05237835967853253,0.0060850904475596435,0.0002835098431650949,0.000189935098770763,0.053650796591071574,0.06702422968552169,0.024618717854436173
boeck2019/multi_task_hjdb,6.527698725639556e-08,0.2758735978590163,1.0,1.4902711619877865e-68,0.19328179792328914,0.0007646297739697644,3.199644592066272e-05,2.121835328492646e-05,0.004839758330498693,0.005523010934633602,0.0016330709189819501
davies2009/mirex_qm_tempotracker,6.836789348001067e-75,2.9992621871459672e-71,1.4902711619877865e-68,1.0,5.3135537243833186e-67,2.4572919528537303e-74,1.4209650539678626e-76,1.126193649788918e-76,1.7057741736964076e-75,6.7554284978812396e-74,2.261511959761751e-75
percival2014/stem,3.1405914427896444e-08,0.05237835967853253,0.19328179792328914,5.3135537243833186e-67,1.0,4.2434553803018656e-05,8.240651003413492e-06,6.995916410725682e-06,8.264537055066748e-05,0.00017127246844779809,5.374268655429918e-05
schreiber2014/default,0.09937853857481163,0.0060850904475596435,0.0007646297739697644,2.4572919528537303e-74,4.2434553803018656e-05,1.0,0.7546228724210662,0.8455568418791858,0.13407541991562819,0.07996837684203362,0.27353589990957916
schreiber2017/ismir2017,0.03024244910824236,0.0002835098431650949,3.199644592066272e-05,1.4209650539678626e-76,8.240651003413492e-06,0.7546228724210662,1.0,0.7106221964219275,0.08906808420969968,0.028933323742856277,0.2838234108784115
schreiber2017/mirex2017,0.03978603050441041,0.000189935098770763,2.121835328492646e-05,1.126193649788918e-76,6.995916410725682e-06,0.8455568418791858,0.7106221964219275,1.0,0.04718796260856893,0.009601836711280754,0.20089940744619675
schreiber2018/cnn,0.0014461943728858225,0.053650796591071574,0.004839758330498693,1.7057741736964076e-75,8.264537055066748e-05,0.13407541991562819,0.08906808420969968,0.04718796260856893,1.0,0.7882927992523754,0.5222615555549703
schreiber2018/fcn,0.0005745916679125011,0.06702422968552169,0.005523010934633602,6.7554284978812396e-74,0.00017127246844779809,0.07996837684203362,0.028933323742856277,0.009601836711280754,0.7882927992523754,1.0,0.3700054094233116
schreiber2018/ismir2018,0.00504191442019652,0.024618717854436173,0.0016330709189819501,2.261511959761751e-75,5.374268655429918e-05,0.27353589990957916,0.2838234108784115,0.20089940744619675,0.5222615555549703,0.3700054094233116,1.0
