Estimator,P-Score,One Correct,Both Correct
schreiber2017/ismir2017,0.8661635422552039,0.9283512788696313,0.6672937597566345
schreiber2014/default,0.865125225233457,0.9281111155585798,0.6611295681063123
schreiber2017/mirex2017,0.8577752801472533,0.9185045831165193,0.6554457030780931
boeck2015/tempodetector2016_default,0.844720325553409,0.9254292919185045,0.5141496217427851
davies2009/mirex_qm_tempotracker,0.7827586187833633,0.8736740983869031,0.46967938197974624
percival2014/stem,0.6697728503314183,0.8728335267982228,0.015410479125805548
