Item,davies2009/mirex_qm_tempotracker,klapuri2006/percival2014,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
10118334.clip.jams,0.1496920534011395,0.16109768974897706,0.15024263558061254,0.15024263558061254,0.15024263558061254,0.14969381211509428,0.15024263558061254,0.163284252766944,0.163284252766944,,0.8356131820991177,0.8231222379159207,0.1469036724266604,0.15749188717327803,0.163284252766944
10258351.clip.jams,1.0299124373470725,1.0299155779042874,1.040554098350635,1.0154631173878046,1.0154631173878046,1.0379115790122595,1.0279540615710014,1.0412086482210818,1.0412086482210818,1.0548619350345183,1.0355008706243494,1.0279540615710014,1.0231947542290478,1.0307543513748203,1.0199011245451095
10270809.clip.jams,0.010638143579022404,0.002658297281793893,0.0,0.0,0.0,0.0026585254958836893,1.0,0.00034347239269782494,0.00034347239269782494,0.5829919108302446,0.0,0.015106892390208387,0.0036401071646615683,0.00044046887694191775,0.00034347239269782494
10332517.clip.jams,0.0022238379698092457,0.01569562359844221,0.01122725542325414,0.01122725542325414,0.01122725542325414,0.011238526522288914,0.01122725542325414,0.013177338198291247,0.013177338198291247,1.0083694939297392,0.012354801428979469,0.0,0.015064512742193671,0.012512728216158002,0.013177338198291247
10348303.clip.jams,0.03617429649763859,0.02334956507729746,0.0159415438690215,0.03170885972733805,0.0159415438690215,0.023349990937258504,0.0159415438690215,0.97531925877472,0.02468074122527992,0.022832557244118205,0.022269163841032627,0.0159415438690215,0.014513996573389797,0.024114758758988403,0.024059267602056237
10389587.clip.jams,0.03046044989066264,0.030459958567482032,0.031026895620624637,1.0310268956206246,1.0310268956206246,0.03046044989066264,0.031026895620624637,0.027352710788848763,0.027352710788848763,0.03910787004568927,0.027954061571001318,0.031026895620624637,0.027184829326230394,0.026938588359424965,0.026745721553358828
104186.clip.jams,0.012045132289868915,0.012045338310661853,0.0,0.0,0.0,0.007654793872053447,0.0,0.003954714892108552,0.003954714892108552,0.9949145289043021,0.003458319772411079,0.011495638837829437,0.0,0.00494285228916201,0.00350069040121319
104222.clip.jams,0.03246002771966155,0.9791308079524008,0.973688722884153,0.973688722884153,0.973688722884153,0.9733480784911679,0.973688722884153,0.9744275719065824,0.9744275719065824,0.9779936753626698,0.9754279576226893,0.9911761496129939,0.9679640792459691,0.027067190303829886,0.9744275719065824
104260.clip.jams,0.960616678244789,0.9453470587988235,0.0652914602517191,0.9480053623617386,0.9480053623617386,0.9683110002446903,0.9480053623617386,0.9539945248930245,0.9539945248930245,0.1346966508450798,0.9716351087466383,0.8940665552509349,1.9756658937820428,0.9538437274960315,0.9534748401566383
10443543.clip.jams,0.9699683076865544,0.9969346992584532,0.015028209232331589,0.00753367268540742,0.0,0.9969350761257785,0.9924663273145926,0.9953065718138794,0.9953065718138794,1.5745710665422337,0.9939699179049801,0.9924663273145926,0.01913366936920003,0.005119648377706128,0.9953065718138794
