Estimator,Accuracy1,Accuracy2
schreiber2017/mirex2017,0.8347517730496454,0.9078014184397163
schreiber2018/cnn,0.7645390070921986,0.9070921985815603
schreiber2018/fcn,0.7631205673758865,0.900709219858156
schreiber2017/ismir2017,0.7510638297872341,0.8936170212765957
schreiber2018/ismir2018,0.7163120567375887,0.8971631205673759
boeck2019/multi_task,0.6936170212765957,0.9
schreiber2014/default,0.6921985815602837,0.8794326241134752
boeck2015/tempodetector2016_default,0.6858156028368795,0.9
boeck2019/multi_task_hjdb,0.6851063829787234,0.8971631205673759
echonest/version_3_2_1,0.676595744680851,0.8539007092198582
percival2014/stem,0.6702127659574468,0.9
gkiokas2012/default,0.6609929078014184,0.8971631205673759
zplane/auftakt_v3,0.6460992907801418,0.8659574468085106
klapuri2006/percival2014,0.6269503546099291,0.8865248226950354
davies2009/mirex_qm_tempotracker,0.6085106382978723,0.8645390070921986
oliveira2010/ibt,0.5794326241134752,0.8602836879432624
scheirer1998/percival2014,0.4957446808510638,0.7148936170212766
