Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-C001.jams,0.054727986963237336,0.02597373969699008,-0.0033702218851542924,-0.008319437856887801,0.002635079035320301,0.038897707024683856,0.038897707024683856,0.011767549777342116,-0.5828528238952037
RM-C002.jams,0.05022781769191559,0.024319679195407222,0.024319679195407222,0.024319679195407222,0.012354607205674804,0.034220586538769256,-0.38081693927392724,0.012785567976853374,-0.005017239109647244
RM-C003.jams,0.41690061839670595,0.01815936911885055,-0.01158797427520135,-0.01158797427520135,-0.0026365283592724334,0.028850073202392093,0.028850073202392093,-6.251813966418197e-05,-0.101297589209968
RM-C004.jams,0.007022153686402847,0.01037934797989316,-0.2921834220405378,-0.17116802107917198,-0.13671103465323636,0.39369551986295037,0.39369551986295037,-0.09683582371831875,0.17659732346116527
RM-C005.jams,0.055161345277905616,-0.015775242775917863,0.041710251884842314,-0.015775242775917863,0.01076862172586619,0.024999862317089155,0.024999862317089155,0.007494536546929231,0.06490504698768565
RM-C006.jams,-0.26362220738730757,0.09186905530185305,-0.3231684439769908,-0.3231684439769908,-0.43073051825567954,0.13246591687150275,0.13246591687150275,0.16993702385089668,-0.3117892835786424
RM-C007.jams,0.040972714479718446,0.015069321717671027,-0.015957573902953413,0.015069321717671027,0.0014469464909260543,-0.004465668752773499,-0.004465668752773499,0.011227255423277006,-0.003239360967527694
RM-C008.jams,0.007030407451189536,-0.4237197423786388,0.0014419741739124022,-0.4237197423786388,-0.4179948792794898,-0.42270188394125036,-0.42270188394125036,-0.41500864566655504,-0.36926255114227363
RM-C009.jams,0.2674167421014737,-0.33961896475758935,-0.4606343657189554,-0.3902450378275574,-0.35407163464479646,-0.4137579049335926,-0.4137579049335926,-0.026339747759029877,0.3761863658689917
RM-C010.jams,0.04612687721218829,0.0906652732886868,0.0906652732886868,0.0906652732886868,0.005099120420325948,0.04920566937054674,0.04920566937054674,0.05504136355796546,-0.1954415310463436
RM-C011.jams,0.07221066796130768,-0.04642433709134665,0.0910791866585882,-0.025960234531631075,0.02012250576417854,0.33459998371821226,0.33459998371821226,0.1082144182713044,0.17648247524872085
RM-C012.jams,0.022794373381561685,-0.0048170162977753134,0.028097606174959953,0.017209290032223733,0.004419891895321164,0.02330076069306795,0.02330076069306795,0.01567834692089211,-0.053367311829825244
RM-C013.jams,0.030613877840855827,-0.019365324866935603,-0.019365324866935603,0.003002488161518767,0.012239396354615085,0.025961741591524538,0.02596176343640907,0.007766604671293498,-0.49539486168792074
RM-C014.jams,0.043366671297354435,-0.04171409907673882,0.03890436113154565,0.023137045273229254,0.005233705909949314,-0.0007994240052313798,-0.0007994240052313798,0.02170949797759719,0.04916907093648037
RM-C015.jams,0.16090172781786077,0.22746726770755846,0.20976526597409936,0.20976526597409936,0.15001416541002685,0.027070769682125167,0.027070769682125167,0.19184335797683716,-0.10208742782017322
RM-C016.jams,0.02699547375583894,-0.008319437856877328,0.04916605680388285,-0.031970705921522714,0.00950399918702663,0.006599560836767012,0.006599560836767012,-0.014784979519501319,-0.10369965542102755
RM-C017.jams,0.09205224851015611,0.00044488380846226754,-0.014505457657509302,0.00044488380846226754,0.014814902596270087,0.010874219981522363,0.010874219981522363,-0.0029800015219722423,-0.02807207054378026
RM-C018.jams,0.26525684799585925,0.09761079662644269,-0.25153876699594385,-0.25153876699594385,-0.3528678825839195,-0.40008192247539837,-0.40008192247539837,0.03656194295032193,-0.33012166064446974
RM-C019.jams,0.014370707829374387,-0.07071397079927491,-0.00983172865225241,-0.021804370318328447,0.02298607141764667,0.029653466823388125,0.029653466823388125,0.007353997749768915,0.07113406458066501
RM-C020.jams,0.011603137241019192,0.026052457200287163,0.026052457200287163,0.026052457200287163,0.02771805687075337,-0.018788635718199363,-0.01878862288854196,0.01832082035904362,0.1455048068872611
RM-C021.jams,0.1717881205601649,-0.3987194769841703,-0.4493455500541383,-0.4493455500541383,0.13616644411905743,0.13937713676110128,0.13937713676110128,0.06522762277561985,-0.21166049056444738
RM-C022.jams,0.017293159687458745,0.05912450179558505,0.003842066294395322,0.026209879322849884,0.026343045026763292,0.0182638681224,0.0182638681224,0.030973995832624543,0.019583144858260876
