Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,0.03278688524590164,0.0,0.0,0.0,0.0,0.0
0.001,0.03278688524590164,0.0,0.0,0.0,0.0,0.0
0.0015,0.03278688524590164,0.0,0.01639344262295082,0.0,0.01639344262295082,0.01639344262295082
0.002,0.03278688524590164,0.0,0.01639344262295082,0.0,0.03278688524590164,0.03278688524590164
0.0025,0.04918032786885246,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164
0.003,0.04918032786885246,0.0,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.03278688524590164
0.0035,0.08196721311475409,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246
0.004,0.09836065573770492,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246
0.0045,0.09836065573770492,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246
0.005,0.09836065573770492,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246
0.0055,0.16393442622950818,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246
0.006,0.18032786885245902,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246
0.0065,0.19672131147540983,0.0,0.04918032786885246,0.04918032786885246,0.06557377049180328,0.06557377049180328
0.007,0.21311475409836064,0.0,0.04918032786885246,0.04918032786885246,0.06557377049180328,0.06557377049180328
0.0075,0.22950819672131148,0.0,0.06557377049180328,0.04918032786885246,0.06557377049180328,0.06557377049180328
0.008,0.2459016393442623,0.01639344262295082,0.06557377049180328,0.04918032786885246,0.09836065573770492,0.09836065573770492
0.0085,0.2786885245901639,0.01639344262295082,0.06557377049180328,0.04918032786885246,0.09836065573770492,0.09836065573770492
0.009,0.2786885245901639,0.04918032786885246,0.09836065573770492,0.06557377049180328,0.09836065573770492,0.09836065573770492
0.0095,0.2786885245901639,0.04918032786885246,0.09836065573770492,0.06557377049180328,0.09836065573770492,0.09836065573770492
0.01,0.29508196721311475,0.04918032786885246,0.11475409836065574,0.06557377049180328,0.09836065573770492,0.09836065573770492
0.0105,0.29508196721311475,0.06557377049180328,0.14754098360655737,0.06557377049180328,0.09836065573770492,0.09836065573770492
0.011,0.3114754098360656,0.06557377049180328,0.14754098360655737,0.06557377049180328,0.13114754098360656,0.13114754098360656
0.0115,0.3114754098360656,0.08196721311475409,0.14754098360655737,0.06557377049180328,0.13114754098360656,0.13114754098360656
0.012,0.3114754098360656,0.08196721311475409,0.14754098360655737,0.06557377049180328,0.14754098360655737,0.14754098360655737
0.0125,0.3114754098360656,0.09836065573770492,0.14754098360655737,0.06557377049180328,0.14754098360655737,0.14754098360655737
0.013,0.3114754098360656,0.09836065573770492,0.14754098360655737,0.06557377049180328,0.19672131147540983,0.19672131147540983
0.0135,0.3114754098360656,0.09836065573770492,0.14754098360655737,0.08196721311475409,0.19672131147540983,0.19672131147540983
0.014,0.3114754098360656,0.09836065573770492,0.14754098360655737,0.09836065573770492,0.21311475409836064,0.21311475409836064
0.0145,0.32786885245901637,0.09836065573770492,0.14754098360655737,0.09836065573770492,0.22950819672131148,0.22950819672131148
0.015,0.32786885245901637,0.09836065573770492,0.14754098360655737,0.09836065573770492,0.22950819672131148,0.22950819672131148
0.0155,0.3442622950819672,0.11475409836065574,0.14754098360655737,0.11475409836065574,0.22950819672131148,0.22950819672131148
0.016,0.3442622950819672,0.11475409836065574,0.14754098360655737,0.11475409836065574,0.22950819672131148,0.22950819672131148
0.0165,0.3442622950819672,0.11475409836065574,0.16393442622950818,0.11475409836065574,0.2459016393442623,0.2459016393442623
0.017,0.3442622950819672,0.11475409836065574,0.16393442622950818,0.11475409836065574,0.2459016393442623,0.2459016393442623
0.0175,0.3442622950819672,0.13114754098360656,0.16393442622950818,0.13114754098360656,0.26229508196721313,0.26229508196721313
0.018,0.3442622950819672,0.13114754098360656,0.16393442622950818,0.13114754098360656,0.26229508196721313,0.26229508196721313
0.0185,0.3770491803278688,0.13114754098360656,0.18032786885245902,0.14754098360655737,0.26229508196721313,0.26229508196721313
0.019,0.3770491803278688,0.13114754098360656,0.18032786885245902,0.14754098360655737,0.26229508196721313,0.26229508196721313
0.0195,0.3770491803278688,0.13114754098360656,0.18032786885245902,0.16393442622950818,0.26229508196721313,0.26229508196721313
0.02,0.3770491803278688,0.13114754098360656,0.18032786885245902,0.16393442622950818,0.26229508196721313,0.26229508196721313
0.0205,0.3770491803278688,0.13114754098360656,0.19672131147540983,0.16393442622950818,0.26229508196721313,0.26229508196721313
0.021,0.3770491803278688,0.13114754098360656,0.19672131147540983,0.18032786885245902,0.2786885245901639,0.2786885245901639
0.0215,0.3770491803278688,0.14754098360655737,0.19672131147540983,0.18032786885245902,0.2786885245901639,0.2786885245901639
0.022,0.39344262295081966,0.14754098360655737,0.19672131147540983,0.18032786885245902,0.2786885245901639,0.2786885245901639
0.0225,0.39344262295081966,0.14754098360655737,0.19672131147540983,0.18032786885245902,0.2786885245901639,0.2786885245901639
0.023,0.39344262295081966,0.16393442622950818,0.19672131147540983,0.18032786885245902,0.29508196721311475,0.29508196721311475
0.0235,0.39344262295081966,0.16393442622950818,0.19672131147540983,0.18032786885245902,0.29508196721311475,0.29508196721311475
0.024,0.39344262295081966,0.16393442622950818,0.19672131147540983,0.18032786885245902,0.29508196721311475,0.29508196721311475
