Estimator,Rock,Pop,International,Instrumental,Hip-Hop,Folk,Experimental,Electronic
boeck2015/tempodetector2016_default,0.973973973973974,0.968,0.922,0.893,0.983,0.952,0.7537537537537538,0.955955955955956
davies2009/mirex_qm_tempotracker,0.9319319319319319,0.924,0.85,0.84,0.947,0.88,0.7267267267267268,0.8838838838838838
percival2014/stem,0.923923923923924,0.914,0.848,0.847,0.958,0.866,0.6466466466466466,0.924924924924925
schreiber2014/default,0.972972972972973,0.967,0.923,0.898,0.974,0.952,0.7897897897897898,0.9619619619619619
schreiber2017/ismir2017,0.963963963963964,0.966,0.894,0.905,0.97,0.945,0.7397397397397397,0.960960960960961
schreiber2017/mirex2017,0.9629629629629629,0.965,0.889,0.905,0.967,0.944,0.7347347347347347,0.960960960960961
schreiber2018/cnn,0.985985985985986,0.985,0.96,0.957,0.987,0.982,0.8378378378378378,0.985985985985986
schreiber2018/fcn,0.982982982982983,0.978,0.959,0.95,0.995,0.969,0.8738738738738738,0.986986986986987
