Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,6.903604905829125e-11,1.610184669178723e-05,1.5446526159423061e-06,2.3562230684307947e-09,5.343235889128819e-17,0.006020829981602833,1.7182025167892862e-18
davies2009/mirex_qm_tempotracker,6.903604905829125e-11,1.0,0.07032873600824639,4.5446011870927004e-30,2.2918737971791952e-36,1.838687358872522e-48,3.921847454030599e-18,1.1320644925080403e-54
percival2014/stem,1.610184669178723e-05,0.07032873600824639,1.0,5.54709063886758e-19,3.740895236349777e-22,2.5413109034929e-28,9.607329078096024e-11,1.202739031782842e-31
schreiber2017/ismir2017,1.5446526159423061e-06,4.5446011870927004e-30,5.54709063886758e-19,1.0,0.07869240321015608,0.0009389006310086755,0.020236193660384958,0.0002323615131751127
schreiber2017/mirex2017,2.3562230684307947e-09,2.2918737971791952e-36,3.740895236349777e-22,0.07869240321015608,1.0,0.05648848072946317,0.000333085904004446,0.020202754901783384
schreiber2018/cnn,5.343235889128819e-17,1.838687358872522e-48,2.5413109034929e-28,0.0009389006310086755,0.05648848072946317,1.0,2.014841477482825e-10,0.6289693740374469
schreiber2018/fcn,0.006020829981602833,3.921847454030599e-18,9.607329078096024e-11,0.020236193660384958,0.000333085904004446,2.014841477482825e-10,1.0,1.1460132934110762e-09
schreiber2018/ismir2018,1.7182025167892862e-18,1.1320644925080403e-54,1.202739031782842e-31,0.0002323615131751127,0.020202754901783384,0.6289693740374469,1.1460132934110762e-09,1.0
