Item,davies2009/mirex_qm_tempotracker,klapuri2006/percival2014,boeck2019/multi_task_hjdb,boeck2019/multi_task,boeck2020/dar,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
blues.00000.jams,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
blues.00001.jams,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False
blues.00002.jams,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False
blues.00003.jams,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True,True,False
blues.00004.jams,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
blues.00005.jams,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False
blues.00006.jams,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True
blues.00007.jams,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
blues.00008.jams,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False
blues.00009.jams,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
blues.00010.jams,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,True
blues.00011.jams,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False
blues.00012.jams,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
blues.00013.jams,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
blues.00014.jams,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
blues.00015.jams,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
blues.00016.jams,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
blues.00017.jams,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
blues.00018.jams,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
blues.00019.jams,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
blues.00020.jams,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True
blues.00021.jams,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
blues.00022.jams,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True
blues.00023.jams,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
blues.00024.jams,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
blues.00025.jams,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
blues.00026.jams,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
blues.00027.jams,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
blues.00028.jams,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
blues.00029.jams,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True
blues.00030.jams,False,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True
