Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,0.00017935341562793982,0.17382430043652594,0.0967554172514245,5.0400950943176306e-12,5.0400950943176306e-12,5.523405237581623e-41,2.4978514986412462e-48,6.162075850519205e-28
davies2009/mirex_qm_tempotracker,0.00017935341562793982,1.0,5.329862758544019e-10,0.008579821853108537,6.854892485665623e-05,6.854892485665623e-05,3.4049191007267247e-34,2.1949495213009196e-41,2.6857543942976988e-19
percival2014/stem,0.17382430043652594,5.329862758544019e-10,1.0,1.91614090756321e-05,2.317680505654761e-33,2.317680505654761e-33,8.668025484330736e-63,4.2524979911007936e-72,8.934144279425373e-53
schreiber2014/default,0.0967554172514245,0.008579821853108537,1.91614090756321e-05,1.0,1.64322580648976e-15,1.64322580648976e-15,4.570954620984845e-43,6.310858494488487e-51,3.390481110299583e-33
schreiber2017/ismir2017,5.0400950943176306e-12,6.854892485665623e-05,2.317680505654761e-33,1.64322580648976e-15,1.0,1.0,1.922358481666639e-20,5.774675934362589e-26,2.0694724479246683e-11
schreiber2017/mirex2017,5.0400950943176306e-12,6.854892485665623e-05,2.317680505654761e-33,1.64322580648976e-15,1.0,1.0,1.922358481666639e-20,5.774675934362589e-26,2.0694724479246683e-11
schreiber2018/cnn,5.523405237581623e-41,3.4049191007267247e-34,8.668025484330736e-63,4.570954620984845e-43,1.922358481666639e-20,1.922358481666639e-20,1.0,0.0016619310940933095,6.054624724141581e-06
schreiber2018/fcn,2.4978514986412462e-48,2.1949495213009196e-41,4.2524979911007936e-72,6.310858494488487e-51,5.774675934362589e-26,5.774675934362589e-26,0.0016619310940933095,1.0,1.0908917158901773e-13
schreiber2018/ismir2018,6.162075850519205e-28,2.6857543942976988e-19,8.934144279425373e-53,3.390481110299583e-33,2.0694724479246683e-11,2.0694724479246683e-11,6.054624724141581e-06,1.0908917158901773e-13,1.0
