T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.0,1.0,0.25,0.25,0.5,0.5,1.0,1.0,0.75,1.0,0.5,0.5,0.75,0.75,1.0,0.5,1.0,0.75
29.0,1.0,0.25,0.25,0.5,0.5,1.0,1.0,0.75,1.0,0.5,0.5,0.75,0.75,1.0,0.5,1.0,0.75
30.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666
31.0,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7142857142857143
32.0,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7142857142857143
33.0,0.75,0.5,0.5,0.75,0.5,0.75,0.875,0.375,0.75,0.625,0.625,0.875,0.875,0.75,0.5,0.75,0.75
34.0,0.75,0.5,0.5,0.75,0.5,0.75,0.875,0.375,0.75,0.625,0.625,0.875,0.875,0.75,0.5,0.75,0.75
35.0,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.7777777777777778,0.8888888888888888,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.6666666666666666
36.0,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.7777777777777778,0.8888888888888888,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.6666666666666666
37.0,0.7,0.4,0.5,0.7,0.4,0.7,0.8,0.4,0.7,0.6,0.5,0.8,0.8,0.6,0.6,0.7,0.6
38.0,0.75,0.5,0.5833333333333334,0.75,0.5,0.75,0.8333333333333334,0.5,0.75,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666
39.0,0.7692307692307693,0.5384615384615384,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.7692307692307693,0.8461538461538461,0.5384615384615384,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.6923076923076923
40.0,0.7777777777777778,0.5555555555555556,0.6111111111111112,0.7777777777777778,0.5,0.7777777777777778,0.8333333333333334,0.6111111111111112,0.7777777777777778,0.5,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.7222222222222222
41.0,0.7777777777777778,0.5555555555555556,0.6111111111111112,0.7777777777777778,0.5,0.7777777777777778,0.8333333333333334,0.6111111111111112,0.7777777777777778,0.5,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.7222222222222222
42.0,0.7391304347826086,0.5652173913043478,0.6086956521739131,0.8260869565217391,0.5217391304347826,0.7391304347826086,0.8695652173913043,0.6521739130434783,0.782608695652174,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.782608695652174,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.782608695652174
43.0,0.7307692307692307,0.5384615384615384,0.5769230769230769,0.8461538461538461,0.46153846153846156,0.6923076923076923,0.8846153846153846,0.6538461538461539,0.7307692307692307,0.5384615384615384,0.5769230769230769,0.6538461538461539,0.8076923076923077,0.6923076923076923,0.7307692307692307,0.7307692307692307,0.6923076923076923
44.0,0.7647058823529411,0.5588235294117647,0.5882352941176471,0.7941176470588235,0.4117647058823529,0.7352941176470589,0.8235294117647058,0.6176470588235294,0.7058823529411765,0.47058823529411764,0.5588235294117647,0.6470588235294118,0.7941176470588235,0.7352941176470589,0.7647058823529411,0.6764705882352942,0.6470588235294118
