τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,
0.005,,,,,,,,,
0.01,,,,,,,,,
0.015,,,,,,,,,
0.02,,,,,,,,,
0.025,,,,,,,,,
0.03,,,,,,,,,
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.4
0.045,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.3333333333333333,0.5
0.05,0.5,0.125,0.125,0.5,0.125,0.375,0.625,0.5,0.5
0.055,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.4444444444444444
0.06,0.6428571428571429,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.35714285714285715,0.5,0.42857142857142855,0.5714285714285714
0.065,0.625,0.1875,0.3125,0.4375,0.3125,0.375,0.5,0.4375,0.5625
0.07,0.6111111111111112,0.2222222222222222,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.5,0.5,0.5555555555555556
0.075,0.631578947368421,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.2631578947368421,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.5789473684210527
0.08,0.631578947368421,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.2631578947368421,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.5789473684210527
0.085,0.6363636363636364,0.22727272727272727,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.5909090909090909
0.09,0.6363636363636364,0.22727272727272727,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.5909090909090909
0.095,0.64,0.2,0.4,0.44,0.24,0.36,0.4,0.48,0.52
0.1,0.6296296296296297,0.2222222222222222,0.37037037037037035,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.4074074074074074,0.48148148148148145,0.5185185185185185
0.105,0.5862068965517241,0.20689655172413793,0.3448275862068966,0.41379310344827586,0.20689655172413793,0.3448275862068966,0.41379310344827586,0.4827586206896552,0.4827586206896552
0.11,0.5862068965517241,0.20689655172413793,0.3448275862068966,0.41379310344827586,0.20689655172413793,0.3448275862068966,0.41379310344827586,0.4827586206896552,0.4827586206896552
0.115,0.5862068965517241,0.20689655172413793,0.3448275862068966,0.41379310344827586,0.20689655172413793,0.3448275862068966,0.41379310344827586,0.4827586206896552,0.4827586206896552
0.12,0.5666666666666667,0.2,0.3333333333333333,0.4,0.2,0.3333333333333333,0.4,0.4666666666666667,0.4666666666666667
0.125,0.5806451612903226,0.1935483870967742,0.3225806451612903,0.41935483870967744,0.1935483870967742,0.3225806451612903,0.41935483870967744,0.4838709677419355,0.4838709677419355
0.13,0.5625,0.1875,0.3125,0.40625,0.1875,0.3125,0.40625,0.46875,0.46875
0.135,0.5757575757575758,0.21212121212121213,0.30303030303030304,0.3939393939393939,0.18181818181818182,0.30303030303030304,0.3939393939393939,0.45454545454545453,0.45454545454545453
0.14,0.5757575757575758,0.21212121212121213,0.30303030303030304,0.3939393939393939,0.18181818181818182,0.30303030303030304,0.3939393939393939,0.45454545454545453,0.45454545454545453
0.145,0.5714285714285714,0.2,0.2857142857142857,0.37142857142857144,0.17142857142857143,0.2857142857142857,0.37142857142857144,0.42857142857142855,0.42857142857142855
0.15,0.55,0.225,0.3,0.35,0.2,0.275,0.375,0.4,0.425
0.155,0.5365853658536586,0.21951219512195122,0.2926829268292683,0.34146341463414637,0.1951219512195122,0.2682926829268293,0.36585365853658536,0.3902439024390244,0.4146341463414634
0.16,0.5581395348837209,0.23255813953488372,0.3023255813953488,0.32558139534883723,0.20930232558139536,0.27906976744186046,0.3953488372093023,0.4186046511627907,0.4186046511627907
0.165,0.5555555555555556,0.24444444444444444,0.28888888888888886,0.3333333333333333,0.2222222222222222,0.28888888888888886,0.4222222222222222,0.4222222222222222,0.4444444444444444
0.17,0.5555555555555556,0.24444444444444444,0.28888888888888886,0.3333333333333333,0.2222222222222222,0.28888888888888886,0.4222222222222222,0.4222222222222222,0.4444444444444444
0.175,0.5555555555555556,0.24444444444444444,0.28888888888888886,0.3333333333333333,0.2222222222222222,0.28888888888888886,0.4222222222222222,0.4222222222222222,0.4444444444444444
0.18,0.5652173913043478,0.2608695652173913,0.2826086956521739,0.32608695652173914,0.21739130434782608,0.2826086956521739,0.41304347826086957,0.41304347826086957,0.43478260869565216
0.185,0.5833333333333334,0.2916666666666667,0.3125,0.3125,0.22916666666666666,0.2708333333333333,0.4375,0.4166666666666667,0.4375
0.19,0.5833333333333334,0.2916666666666667,0.3125,0.3125,0.22916666666666666,0.2708333333333333,0.4375,0.4166666666666667,0.4375
0.195,0.5918367346938775,0.2857142857142857,0.30612244897959184,0.30612244897959184,0.22448979591836735,0.2653061224489796,0.42857142857142855,0.40816326530612246,0.42857142857142855
0.2,0.5686274509803921,0.27450980392156865,0.29411764705882354,0.29411764705882354,0.21568627450980393,0.2549019607843137,0.4117647058823529,0.39215686274509803,0.4117647058823529
0.205,0.5576923076923077,0.2692307692307692,0.28846153846153844,0.28846153846153844,0.21153846153846154,0.25,0.40384615384615385,0.38461538461538464,0.40384615384615385
0.21,0.5576923076923077,0.2692307692307692,0.28846153846153844,0.28846153846153844,0.21153846153846154,0.25,0.40384615384615385,0.38461538461538464,0.40384615384615385
0.215,0.5576923076923077,0.2692307692307692,0.28846153846153844,0.28846153846153844,0.21153846153846154,0.25,0.40384615384615385,0.38461538461538464,0.40384615384615385
0.22,0.5576923076923077,0.2692307692307692,0.28846153846153844,0.28846153846153844,0.21153846153846154,0.25,0.40384615384615385,0.38461538461538464,0.40384615384615385
0.225,0.5576923076923077,0.2692307692307692,0.28846153846153844,0.28846153846153844,0.21153846153846154,0.25,0.40384615384615385,0.38461538461538464,0.40384615384615385
0.23,0.5576923076923077,0.2692307692307692,0.28846153846153844,0.28846153846153844,0.21153846153846154,0.25,0.40384615384615385,0.38461538461538464,0.40384615384615385
0.235,0.5471698113207547,0.2641509433962264,0.2830188679245283,0.2830188679245283,0.20754716981132076,0.24528301886792453,0.39622641509433965,0.37735849056603776,0.39622641509433965
0.24,0.5370370370370371,0.25925925925925924,0.2777777777777778,0.2777777777777778,0.2037037037037037,0.24074074074074073,0.3888888888888889,0.37037037037037035,0.3888888888888889
0.245,0.5370370370370371,0.25925925925925924,0.2777777777777778,0.2777777777777778,0.2037037037037037,0.24074074074074073,0.3888888888888889,0.37037037037037035,0.3888888888888889
0.25,0.5370370370370371,0.25925925925925924,0.2777777777777778,0.2777777777777778,0.2037037037037037,0.24074074074074073,0.3888888888888889,0.37037037037037035,0.3888888888888889
0.255,0.5370370370370371,0.25925925925925924,0.2777777777777778,0.2777777777777778,0.2037037037037037,0.24074074074074073,0.3888888888888889,0.37037037037037035,0.3888888888888889
0.26,0.5272727272727272,0.2545454545454545,0.2727272727272727,0.2727272727272727,0.21818181818181817,0.2545454545454545,0.38181818181818183,0.36363636363636365,0.38181818181818183
0.265,0.5272727272727272,0.2545454545454545,0.2727272727272727,0.2727272727272727,0.21818181818181817,0.2545454545454545,0.38181818181818183,0.36363636363636365,0.38181818181818183
0.27,0.5357142857142857,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.23214285714285715,0.26785714285714285,0.375,0.35714285714285715,0.375
0.275,0.5357142857142857,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.23214285714285715,0.26785714285714285,0.375,0.35714285714285715,0.375
0.28,0.5344827586206896,0.27586206896551724,0.27586206896551724,0.25862068965517243,0.22413793103448276,0.27586206896551724,0.3793103448275862,0.3620689655172414,0.3793103448275862
0.285,0.5344827586206896,0.27586206896551724,0.27586206896551724,0.25862068965517243,0.22413793103448276,0.27586206896551724,0.3793103448275862,0.3620689655172414,0.3793103448275862
0.29,0.5344827586206896,0.27586206896551724,0.27586206896551724,0.25862068965517243,0.22413793103448276,0.27586206896551724,0.3793103448275862,0.3620689655172414,0.3793103448275862
