Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,236,42.55,171.43,146.62254237288136,22.570841581098563,86.0,0.9279661016949152
boeck2019/multi_task,235,76.04,204.93,141.06855319148937,27.73133160521965,100.0,0.8595744680851064
boeck2019/multi_task_hjdb,235,119.79,170.96,152.4228085106383,10.263482303859478,86.0,1.0
davies2009/mirex_qm_tempotracker,236,71.7773,166.709,125.27487966101695,30.861438133152397,79.0,0.8177966101694916
percival2014/stem,236,69.8374,159.628,96.33956652542373,29.52293364789738,70.0,0.8305084745762712
schreiber2014/default,236,64.89927,169.46356,111.0106136059322,35.652043210311255,76.0,0.690677966101695
schreiber2017/ismir2017,236,68.999825,167.17673,120.13329298305085,34.810533443204115,75.0,0.7033898305084746
schreiber2017/mirex2017,236,72.52868,169.46356,132.10484649152542,31.834585409759814,80.0,0.7711864406779662
schreiber2018/cnn,236,77.0,170.0,148.09745762711864,19.445587857554127,85.0,0.9491525423728814
schreiber2018/fcn,236,79.0,173.0,149.7415254237288,16.487678578175377,87.0,0.9661016949152542
schreiber2018/ismir2018,236,77.0,176.0,145.80084745762713,22.305007531513795,85.0,0.9194915254237288
