τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,
0.005,,,,,,,,,
0.01,-0.00339589185033614,0.025679265459087112,-0.0007097741814676996,-0.00013397276806692554,-0.00038335567923136147,-0.00038335567923136147,-0.0004220752693697522,-0.0004220752693697522,-0.0004220752693697522
0.015,6.0395235720861274e-05,0.02235135628278862,0.0006706696098264522,0.0013473857639841721,-0.00033392781082164244,-0.00033392781082164244,-0.0003496689572280017,0.001346631083956542,0.001346631083956542
0.02,4.857705870230466e-05,0.06992707462267765,-0.00012529422284593493,0.003444135746674423,0.00048385829929422004,0.00048385829929422004,0.04775545629005234,0.04776997551011459,0.0007666099509618853
0.025,0.00016475929136643678,0.0599462208793018,0.0005972088212866477,0.035406916531364775,0.03918041674118017,0.03918041674118017,0.07879572227592212,0.0757086115851293,0.03890107128311888
0.03,-0.002780020409442268,0.05455065154243011,-0.003238976284066514,0.03050835247900693,0.033086153225507516,0.033086153225507516,0.0688150969982365,0.06764354198481848,0.032245000254833525
0.035,-0.0020166177545418366,0.04429805415434781,-0.0027714171035530845,0.020039695462504652,0.025118464771498584,0.025118464771498584,0.04847519075746726,0.047365965541947413,0.022335295125257712
0.04,-0.00046955175586345236,0.038171284574686805,-0.0019699717677737535,0.009529537584998443,0.021962750495990415,0.021962750495990415,0.0387137098598977,0.04053356715034004,0.017104386161343757
0.045,0.0009802625470310229,0.03260460967104996,-0.001050298316053688,0.018637616658112987,0.031011435195797032,0.03101143566096591,0.031238032621997015,0.030789359534382634,0.01334779623841515
0.05,0.0013318099971340082,0.030796026455530447,-0.00040243968219408826,0.014787233689666352,0.024736668347952993,0.024736671854379833,0.02682272256097083,0.027347268153673547,0.011292973002733067
0.055,0.001086307060642136,0.039821281732377,-0.0006284539321176266,0.024281044872379826,0.03288468551632501,0.03288468866311833,0.03451622695094715,0.03448367025852825,0.02225260788169739
0.06,0.0012701541710825387,0.027066788584405074,-0.0005817332909770035,0.020197375348021337,0.03243255468288284,0.03243255767617405,0.03089857456501507,0.03308139780693811,0.021015216479380497
0.065,0.001482783264184023,0.027076839494141806,-0.0007615193947099184,0.02786786080912889,0.03204338095761176,0.03204338387963412,0.03983801936534911,0.03289529521209527,0.021381655287698555
0.07,0.001482783264184023,0.027076839494141806,-0.0007615193947099184,0.02786786080912889,0.03204338095761176,0.03204338387963412,0.03983801936534911,0.03289529521209527,0.021381655287698555
0.075,0.0021516363663959164,0.02731322701924679,-0.00018695303672247829,0.03519363494148128,0.03909263318946607,0.03909263604353442,0.04022924201617386,0.03344797656415848,0.022202095707771
0.08,0.0021516363663959164,0.02731322701924679,-0.00018695303672247829,0.03519363494148128,0.03909263318946607,0.03909263604353442,0.04022924201617386,0.03344797656415848,0.022202095707771
0.085,0.0021516363663959164,0.02731322701924679,-0.00018695303672247829,0.03519363494148128,0.03909263318946607,0.03909263604353442,0.04022924201617386,0.03344797656415848,0.022202095707771
0.09,0.002008919957553443,0.027420817144378218,-0.00022600963726578528,0.034691003248156375,0.03821268572634672,0.03821268851554989,0.039221125478927345,0.03259397969627595,0.021603687041169998
0.095,0.0020806690944001074,0.021908084220327254,-0.00031786573612941715,0.030616403836243162,0.03587158097928535,0.03587158364721881,0.03669235956826706,0.030780063748968606,0.019840896714760033
0.1,0.0020806690944001074,0.021908084220327254,-0.00031786573612941715,0.030616403836243162,0.03587158097928535,0.03587158364721881,0.03669235956826706,0.030780063748968606,0.019840896714760033
0.105,0.0020806690944001074,0.021908084220327254,-0.00031786573612941715,0.030616403836243162,0.03587158097928535,0.03587158364721881,0.03669235956826706,0.030780063748968606,0.019840896714760033
0.11,0.0014293126185281199,0.022211637282611843,-0.0002638166319129407,0.036290814714887536,0.04522782361001872,0.03639724039431237,0.036669626593000125,0.029084538978119353,0.019673487032873138
0.115,0.0011247975377984378,0.02235838087963717,-0.0004546382413860318,0.034581256205284176,0.04482761036489675,0.03618099763285095,0.03642218565254787,0.028995120696310453,0.019780132333256862
0.12,0.0013351816060990303,0.022278315366245156,-0.00017124219872093497,0.024053348832605827,0.044985071784676825,0.036514920536958484,0.03573443737744371,0.029677439994277823,0.02024992472538997
0.125,0.0013351816060990303,0.022278315366245156,-0.00017124219872093497,0.024053348832605827,0.044985071784676825,0.036514920536958484,0.03573443737744371,0.029677439994277823,0.02024992472538997
0.13,0.0013351816060990303,0.022278315366245156,-0.00017124219872093497,0.024053348832605827,0.044985071784676825,0.036514920536958484,0.03573443737744371,0.029677439994277823,0.02024992472538997
0.135,0.0013351816060990303,0.022278315366245156,-0.00017124219872093497,0.024053348832605827,0.044985071784676825,0.036514920536958484,0.03573443737744371,0.029677439994277823,0.02024992472538997
0.14,0.0013351816060990303,0.022278315366245156,-0.00017124219872093497,0.024053348832605827,0.044985071784676825,0.036514920536958484,0.03573443737744371,0.029677439994277823,0.02024992472538997
0.145,0.0013351816060990303,0.022278315366245156,-0.00017124219872093497,0.024053348832605827,0.044985071784676825,0.036514920536958484,0.03573443737744371,0.029677439994277823,0.02024992472538997
0.15,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.155,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.16,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.165,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.17,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.175,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.18,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.185,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.19,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.195,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.2,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.205,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.21,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.215,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.22,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.225,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.23,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.235,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
0.24,-0.006904976877563698,0.02529348923816371,0.004490359202229628,0.024280445780553547,0.04560368445128609,0.03730293622852212,0.04607494056246086,0.024986299878339155,0.016770111894665082
