Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.0015128593040847202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13161875945537066,0.11649016641452345,0.1346444780635401
0.001,0.0015128593040847202,0.0045385779122541605,0.0045385779122541605,0.0030257186081694403,0.0015128593040847202,0.0,0.11951588502269289,0.12859304084720122,0.12556732223903178,0.13161875945537066,0.11649016641452345,0.1346444780635401
0.002,0.0015128593040847202,0.03177004538577912,0.02118003025718608,0.019667170953101363,0.0015128593040847202,0.0,0.12102874432677761,0.12859304084720122,0.12556732223903178,0.13161875945537066,0.11649016641452345,0.1346444780635401
0.003,0.009077155824508321,0.060514372163388806,0.04236006051437216,0.046898638426626324,0.0015128593040847202,0.0,0.12254160363086233,0.12859304084720122,0.12556732223903178,0.13161875945537066,0.11649016641452345,0.1346444780635401
0.004,0.025718608169440244,0.07413010590015129,0.059001512859304085,0.07110438729198185,0.009077155824508321,0.0,0.12254160363086233,0.12859304084720122,0.12556732223903178,0.13161875945537066,0.11649016641452345,0.1346444780635401
0.005,0.030257186081694403,0.11649016641452345,0.0832072617246596,0.09682299546142209,0.012102874432677761,0.0,0.13313161875945537,0.13313161875945537,0.13010590015128592,0.13313161875945537,0.11800302571860817,0.1361573373676248
0.006,0.037821482602118005,0.14674735249621784,0.12859304084720122,0.1346444780635401,0.012102874432677761,0.0,0.1815431164901664,0.2087745839636914,0.20726172465960666,0.17549167927382753,0.1664145234493192,0.16792738275340394
0.007,0.039334341906202726,0.1875945537065053,0.1815431164901664,0.17549167927382753,0.018154311649016642,0.0,0.25416036308623297,0.25113464447806355,0.24962178517397882,0.1875945537065053,0.1815431164901664,0.18305597579425115
0.008,0.04387291981845688,0.2405446293494705,0.24357034795763993,0.19667170953101362,0.019667170953101363,0.0,0.3177004538577912,0.3373676248108926,0.33434190620272314,0.2708018154311649,0.2586989409984871,0.26021180030257185
0.009,0.08018154311649017,0.2783661119515885,0.2874432677760968,0.2314674735249622,0.028744326777609682,0.0,0.3464447806354009,0.3615733736762481,0.36459909228441756,0.2950075642965204,0.27685325264750377,0.2844175491679274
0.01,0.08169440242057488,0.3101361573373676,0.3177004538577912,0.2632375189107413,0.046898638426626324,0.0,0.3464447806354009,0.3630862329803328,0.3661119515885023,0.2950075642965204,0.2783661119515885,0.2844175491679274
0.011,0.08623298033282904,0.3388804841149773,0.340393343419062,0.291981845688351,0.049924357034795766,0.0,0.3600605143721634,0.37367624810892586,0.37972768532526474,0.3010590015128593,0.2874432677760968,0.2950075642965204
0.012,0.09682299546142209,0.3751891074130106,0.37367624810892586,0.3086232980332829,0.05143721633888049,0.0,0.40242057488653554,0.43267776096822996,0.43872919818456885,0.4009077155824508,0.367624810892587,0.39334341906202724
0.013,0.09984871406959153,0.394856278366112,0.39939485627836613,0.32223903177004537,0.057488653555219364,0.0,0.4205748865355522,0.44780635400907715,0.45385779122541603,0.4236006051437216,0.3827534039334342,0.4084720121028744
0.014,0.12254160363086233,0.41603630862329805,0.4296520423600605,0.3358547655068079,0.0680786686838124,0.0,0.43872919818456885,0.45537065052950076,0.46142208774583965,0.43267776096822996,0.39334341906202724,0.4205748865355522
0.015,0.19062027231467474,0.4402420574886536,0.4599092284417549,0.3540090771558245,0.06959152798789713,0.0,0.5068078668683812,0.5385779122541604,0.540090771558245,0.518910741301059,0.48411497730711045,0.5098335854765507
