Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
schreiber2017/mirex2017,0.04295150380146526,0.30476179530459074,-0.004392388044040748,0.06993549051125811
schreiber2018/cnn,0.13855347340314372,0.3922845326895926,-0.004602289013318376,0.07290932587897535
boeck2020/dar,0.10263823013920102,0.3998800508849431,-0.003116583700303921,0.06833253242416305
schreiber2018/fcn,0.10497441439446772,0.4074819073197955,-0.006386968590393171,0.07719857081023032
schreiber2017/ismir2017,0.06780192948485887,0.41909102949512783,-0.00910203328672462,0.0858910838144824
schreiber2018/ismir2018,0.1355166087450586,0.4572015095256025,-0.008830430271239819,0.0823993844601617
echonest/version_3_2_1,0.09851828133032517,0.46415290621070726,-0.008935459807495345,0.10440992815668705
schreiber2014/default,-0.001262885639988819,0.46636355318717837,-0.01586214982489744,0.09561876811070241
boeck2019/multi_task,0.0907459297980057,0.48619634724706795,-0.0032998237547425483,0.07930144549371357
boeck2019/multi_task_hjdb,0.09968569788033566,0.4924659464343022,-0.002455826948496872,0.0819023931339791
boeck2015/tempodetector2016_default,0.21349488069115463,0.4982970880906153,-0.004571564362207423,0.07646691459859167
percival2014/stem,0.030650089757314408,0.5102680563001836,-0.0040483588268031695,0.0751352595417566
zplane/auftakt_v3,0.11155801952338494,0.5119416480391132,-0.013572893602808474,0.10587199176535571
gkiokas2012/default,0.08210501565956597,0.519904269925726,-0.007564904558826016,0.08308596816465937
davies2009/mirex_qm_tempotracker,0.2613643085629545,0.5321050122622039,0.022088457484803883,0.0914283400536008
oliveira2010/ibt,0.2508550214173068,0.5421106378677586,-0.006552327882168089,0.0983622262307358
klapuri2006/percival2014,0.1444390136961289,0.5489660644098311,-0.00511359269810191,0.08389361362399937
scheirer1998/percival2014,0.07361190465306172,0.5693140871557738,0.030151881780612115,0.15887094503954832
