Estimator,Wind synthesizer,Vocal,Vibraphone,Trumpet,Trombone,Tenor saxophone,Style (Vocal jazz),Style (Modal jazz),Style (Funky jazz),Style (Free jazz),Style (Big band jazz),Soprano saxophone,Piano,Percussion,Keyboard,Instrumentation 7,Instrumentation 6,Instrumentation 5,Instrumentation 4,Instrumentation 3,Instrumentation 2,Instrumentation 1,Guitar,Fusion,Flute,Drums,Bass,Baritone saxophone,Alto saxophone,7/8,7/4,5/4,4/4,3/4,2/2
boeck2015/tempodetector2016_default,0.0,1.0,0.8,0.8,0.5,0.6875,1.0,0.5,1.0,0.0,0.5,0.0,0.7857142857142857,0.3333333333333333,0.5,0.8,0.8,1.0,0.8,1.0,0.4,0.8,0.5789473684210527,0.5,0.6666666666666666,0.7428571428571429,0.7567567567567568,0.6666666666666666,0.75,1.0,1.0,1.0,0.7272727272727273,1.0,0.6153846153846154
davies2009/mirex_qm_tempotracker,1.0,1.0,0.4,0.6,0.5,0.5625,1.0,0.5,1.0,0.0,0.5,1.0,0.47619047619047616,1.0,1.0,0.2,0.4,0.6,0.4,0.4,0.2,0.2,0.5263157894736842,1.0,0.16666666666666666,0.5714285714285714,0.5675675675675675,0.4444444444444444,0.5,1.0,1.0,0.0,0.6363636363636364,0.875,0.3076923076923077
percival2014/stem,0.0,1.0,0.6,0.8,0.5,0.75,1.0,0.5,1.0,0.0,0.5,0.0,0.8095238095238095,0.6666666666666666,0.6666666666666666,0.6,1.0,1.0,1.0,0.8,0.6,0.8,0.7368421052631579,0.6666666666666666,0.5,0.8,0.8108108108108109,0.7777777777777778,0.875,1.0,1.0,0.6666666666666666,0.7272727272727273,0.875,0.7692307692307693
schreiber2014/default,0.0,0.5,0.2,0.4,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6,0.8,0.2,0.6,0.4,0.4,0.8,0.631578947368421,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5675675675675675,0.6666666666666666,0.75,1.0,1.0,1.0,0.7272727272727273,0.0,0.5769230769230769
schreiber2017/ismir2017,1.0,0.5,0.6,0.8,1.0,0.75,0.5,0.5,1.0,0.0,1.0,1.0,0.7619047619047619,1.0,1.0,0.6,0.8,0.8,1.0,1.0,0.4,0.4,0.7368421052631579,1.0,0.8333333333333334,0.8,0.8108108108108109,0.7777777777777778,0.875,1.0,1.0,1.0,0.9090909090909091,0.375,0.7307692307692307
schreiber2017/mirex2017,1.0,0.5,0.4,0.8,1.0,0.6875,0.5,0.5,1.0,0.0,1.0,1.0,0.7380952380952381,1.0,1.0,0.6,0.8,0.6,1.0,0.8,0.4,0.6,0.7368421052631579,1.0,0.8333333333333334,0.7714285714285715,0.7837837837837838,0.7777777777777778,0.875,1.0,1.0,1.0,1.0,0.375,0.6538461538461539
