Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.0,0.0,0.0,0.7247299916920521,0.7277762392689006,0.0,0.0,0.0
0.0005,0.09775685405704791,0.007200221545278316,0.2979783993353642,0.9188590418166713,0.9191359734145667,0.4516754361672667,0.4361672666851288,0.451952367765162
0.001,0.1534201052340072,0.012738853503184714,0.5098310717252839,0.9728607034062586,0.973137635004154,0.5513708114095819,0.5270008307947937,0.5486014954306286
0.0015,0.20576017723622264,0.02076986984214899,0.6978676266962061,0.9842148989199667,0.984491830517862,0.6230960952644696,0.5934644142896704,0.6200498476876212
0.002,0.2414843533647189,0.028523954583217947,0.7828856272500693,0.98698421489892,0.9872611464968153,0.6759900304624757,0.6438659651066186,0.6757130988645804
0.0025,0.2927166989753531,0.0362780393242869,0.8382719468291332,0.9897535308778732,0.9900304624757685,0.7230684021046802,0.685682636388812,0.7236222653004708
0.003,0.3951813901966214,0.04569371365272778,0.8670728330102465,0.9908612572694544,0.9911381888673497,0.7676543893658266,0.7266685128773193,0.7668235945721407
0.0035,0.479645527554694,0.06120188313486569,0.8875657712545001,0.9919689836610357,0.992245915258931,0.8072556078648574,0.7657158681805594,0.8050401550816948
0.004,0.5358626419274439,0.07947936859595679,0.9041816671282193,0.992245915258931,0.9925228468568263,0.8413181944059818,0.7967322071448353,0.8410412628080864
0.0045,0.5721406812517308,0.09803378565494322,0.9155358626419274,0.9927997784547217,0.993076710052617,0.8734422597618389,0.8302409304901689,0.868457490999723
0.005,0.6158958737191914,0.10911104957075603,0.9230130157851011,0.9927997784547217,0.993076710052617,0.8950429243976737,0.8515646635281086,0.889227360841872
0.0055,0.6646358349487677,0.12157297147604541,0.9302132373303794,0.993076710052617,0.9933536416505123,0.9130434782608695,0.8723345333702576,0.9072279147050678
0.006,0.6975906950983107,0.12932705621711438,0.9354749376903905,0.9936305732484076,0.993907504846303,0.9279977845472168,0.89171974522293,0.9224591525893104
0.0065,0.7286070340625865,0.14040432013292717,0.9399058432567156,0.993907504846303,0.9941844364441983,0.9357518692882858,0.9044585987261147,0.9335364165051232
0.007,0.7574079202436999,0.1509277208529493,0.9440598172251454,0.9941844364441983,0.9944613680420936,0.9440598172251454,0.9188590418166713,0.9423982276377735
0.0075,0.7828856272500693,0.16920520631404043,0.9476599279977845,0.9944613680420936,0.9947382996399889,0.9512600387704238,0.9310440321240654,0.9487676543893658
0.008,0.8177790085848795,0.1966214345056771,0.9507061755746331,0.9944613680420936,0.9947382996399889,0.9559678759346442,0.9410135696482969,0.9556909443367488
0.0085,0.8787039601218499,0.23816117418997507,0.9537524231514816,0.9944613680420936,0.9947382996399889,0.9598449183051786,0.9473829963998892,0.9587371919135973
0.009,0.8975353087787317,0.26142342841318195,0.9551370811409582,0.9944613680420936,0.9947382996399889,0.9634450290778178,0.9520908335641096,0.9603987815009692
0.0095,0.9188590418166713,0.33924120742176683,0.9587371919135973,0.9950152312378843,0.9952921628357796,0.9664912766546663,0.9556909443367488,0.9620603710883412
0.01,0.9299363057324841,0.35474937690390473,0.9612295762946552,0.9952921628357796,0.9955690944336749,0.9687067294378289,0.9595679867072833,0.964552755469399
0.0105,0.9454444752146219,0.3708114095818333,0.9631680974799225,0.9955690944336749,0.9958460260315702,0.9711991138188867,0.9639988922736085,0.9681528662420382
0.011,0.9531985599556909,0.38327333148712267,0.9642758238715038,0.9955690944336749,0.9958460260315702,0.9725837718083633,0.9664912766546663,0.9703683190252008
0.0115,0.9620603710883412,0.4004430905566325,0.9651066186651897,0.9955690944336749,0.9958460260315702,0.973137635004154,0.9692605926336195,0.971476045416782
0.012,0.9673220714483522,0.4187205760177236,0.9670451398504569,0.9955690944336749,0.9958460260315702,0.9739684297978399,0.9706452506230961,0.9725837718083633
0.0125,0.9706452506230961,0.44419828302409303,0.9678759346441429,0.9958460260315702,0.9961229576294656,0.9756300193852119,0.973137635004154,0.9739684297978399
0.013,0.972306840210468,0.4624757684851842,0.9687067294378289,0.9961229576294656,0.9963998892273609,0.9772916089725838,0.9750761561894212,0.9756300193852119
0.0135,0.9747992245915259,0.4984768762115757,0.9695375242315148,0.9963998892273609,0.9966768208252562,0.9781224037662697,0.9759069509831072,0.9764608141788979
0.014,0.9772916089725838,0.5186928828579341,0.9706452506230961,0.9969537524231514,0.9972306840210468,0.9789531985599557,0.9764608141788979,0.9770146773746885
0.0145,0.9781224037662697,0.5389088895042924,0.9711991138188867,0.9969537524231514,0.9972306840210468,0.9803378565494323,0.978399335364165,0.979230130157851
0.015,0.9803378565494323,0.5516477430074771,0.971476045416782,0.9972306840210468,0.9975076156189421,0.9806147881473276,0.9786762669620603,0.979230130157851
0.0155,0.9817225145389089,0.5630019385211853,0.971476045416782,0.9972306840210468,0.9975076156189421,0.9814455829410136,0.9795070617557463,0.980060924951537
0.016,0.9825533093325949,0.5793409027970091,0.972306840210468,0.9972306840210468,0.9975076156189421,0.9814455829410136,0.9806147881473276,0.9806147881473276
0.0165,0.9831071725283855,0.6023262254223207,0.973137635004154,0.9972306840210468,0.9975076156189421,0.9819994461368042,0.9808917197452229,0.9808917197452229
0.017,0.9839379673220714,0.6219883688728884,0.9734145666020493,0.9972306840210468,0.9975076156189421,0.9831071725283855,0.9819994461368042,0.9819994461368042
0.0175,0.985322625311548,0.6574356134034893,0.9736914981999446,0.9972306840210468,0.9975076156189421,0.9839379673220714,0.9828302409304902,0.9828302409304902
0.018,0.9855995569094433,0.6721129880919413,0.9739684297978399,0.9972306840210468,0.9975076156189421,0.9847687621157574,0.9833841041262809,0.9833841041262809
0.0185,0.9864303517031293,0.692605926336195,0.9745222929936306,0.9972306840210468,0.9975076156189421,0.985322625311548,0.9833841041262809,0.9839379673220714
0.019,0.9872611464968153,0.7070063694267515,0.9750761561894212,0.9972306840210468,0.9975076156189421,0.9855995569094433,0.9836610357241762,0.9839379673220714
0.0195,0.9880919412905013,0.7527000830794793,0.9750761561894212,0.9972306840210468,0.9975076156189421,0.9858764885073387,0.9836610357241762,0.9842148989199667
0.02,0.9883688728883966,0.7712545001384657,0.9753530877873166,0.9972306840210468,0.9975076156189421,0.9864303517031293,0.9839379673220714,0.9847687621157574
