Estimator,Accuracy1,Accuracy2
boeck2019/multi_task_hjdb,1.0,1.0
schreiber2018/fcn,0.9659574468085106,1.0
schreiber2018/cnn,0.9446808510638298,1.0
boeck2015/tempodetector2016_default,0.9276595744680851,1.0
schreiber2018/ismir2018,0.9063829787234042,0.9914893617021276
boeck2019/multi_task,0.825531914893617,0.9617021276595744
schreiber2017/mirex2017,0.7404255319148936,0.9829787234042553
schreiber2017/ismir2017,0.5914893617021276,0.9829787234042553
davies2009/mirex_qm_tempotracker,0.5659574468085107,0.7872340425531915
schreiber2014/default,0.46382978723404256,0.9787234042553191
percival2014/stem,0.2851063829787234,1.0
