Item,davies2009/mirex_qm_tempotracker,klapuri2006/percival2014,boeck2019/multi_task_hjdb,boeck2019/multi_task,boeck2020/dar,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
blues.00000.jams,0.012077442285752618,-0.005409780516002983,0.0031451706037219002,0.0030299991638423444,0.0030299991638423444,3.230999588339638e-05,3.230999588339638e-05,3.230999588339638e-05,-0.0010530048043949623,-0.9884720511662872,0.0021705299682941016,0.0021705299682941016,-0.9948822189084185,0.0011860046122538883,0.011527948833712756,3.230999588339638e-05,0.0005861985517868799,0.0021705299682941016
blues.00001.jams,0.0044636458045609695,0.004463412426030449,0.0012862015520905023,-0.00275943696013756,-0.0012676183345252947,0.9938248880714298,1.5964893905260449,0.0044721322709383214,-0.00027534797196457095,0.0044721322709383214,0.000583713420424121,0.000583713420424121,-0.03214949139862626,0.0044721322709383214,0.6035098182038172,0.008285985385820527,-0.0006713225486261218,1.00226035620916
blues.00002.jams,0.0352007572015936,-0.009193149436204456,-1.0081351718755838,-0.001155856984129678,-0.008135171875583724,-0.005559915476819057,0.0036000838086568876,0.0036000838086568876,-1.0037177505380885,-1.0147784455061977,-0.006971598426897698,-0.006971598426897698,0.030234319484407482,-1.003723256997202,-0.005559915476819057,0.0025953260707592247,-0.9986844693858968,-1.0047970509873079
blues.00003.jams,0.011568287867644734,0.00279827714210144,0.00275117843200464,0.005282424866460724,-0.0011695042935222992,0.011018794415605345,0.9995231555777758,0.011018794415605345,1.0027972407567125,-0.012064818697436006,-0.004257962716713851,-0.004257962716713851,0.004608626673473704,0.9925815461589289,0.5883277225933261,-0.0004768444222242058,-0.0378908060653413,0.5822247406115941
blues.00004.jams,0.02353403500568128,-0.01393878858781932,-0.0022499907645513197,-0.0022499907645513197,-0.007443049387230731,0.012897398896944726,0.002170992303885969,0.012897398896944726,-0.004660274585165963,-0.997829007696114,-0.005302326778196371,-0.005302326778196371,-0.997082014282658,-0.0021420005671964194,-0.008635762652696683,-0.005060576927189667,0.006363782362865478,-0.004875558526786956
blues.00005.jams,0.02055528836958366,0.02055561889617852,0.003151800871061491,1.2093340493970437e-05,0.0006405817150115212,0.003151800871061491,0.9714429411437232,0.003151800871061491,0.006007182192144634,0.003151800871061491,-0.009271073711533155,-0.009271073711533155,0.025442925462706236,-0.0010359960923722023,0.675987057617552,-0.014095961541886037,0.5876402949260839,0.9923908712305312
blues.00006.jams,0.03818838194304,0.5768571871203152,-0.0022078940582131385,0.0025384681366745114,-0.001217780066369978,-0.018743832651383487,1.049735905231383,1.6693121610338764,0.017429291370364704,0.020784531535253947,0.014763550006157687,0.014763550006157687,0.08609786841268575,1.0149238801140115,0.753845671245544,-0.012944648713416225,0.020804027282457345,0.014763550006157687
blues.00007.jams,0.04881778623908917,-0.003649260695974503,0.013520206744730132,0.010117622523890233,0.006862197958922899,0.02291288600675642,-0.0398228693412063,0.02291288600675642,0.0028059049300440024,0.007482845437150502,-0.026369344144063913,-0.026369344144063913,0.04698806594316476,0.018301177100943394,0.02291288600675642,-0.003260926390904734,-0.018453697510784194,-0.02762227602206091
blues.00008.jams,-0.9882230313160448,-1.000000216400377,-1.0046778014958857,-1.0031284599749855,-0.004763924830591174,-0.0005499158732090927,-0.0005499158732090927,-0.0005499158732090927,-1.0000004224211696,-1.0005499158732092,-0.0008480177696724135,-1.0008481036621257,-0.9901434566553292,-1.0005499158732092,-0.9834764025142676,-0.9918171793306071,-0.0020105249784112037,-1.0008481036621257
blues.00009.jams,0.3951772246499652,0.0028600112419288875,-0.005274949227726999,-0.0010364003372236377,-0.0019184050360216863,0.0023103084191653162,-0.015391693314293714,0.0023103084191653162,-0.008545366184530482,0.0023103084191653162,-0.0016599218044184437,-0.0016599218044184437,-0.0005021677664499239,-0.010058249011253026,0.0023103084191653162,-0.013967512506744178,0.012129369449611146,-0.0016599218044184437
