Estimator,ternary,swing,no_ternary,no_swing,9/8,5/4,4/4,3/4,2/4,12/8
boeck2015/tempodetector2016_default,0.8387096774193549,0.9550561797752809,0.9597107438016529,0.9561510353227771,1.0,1.0,0.9720357941834452,0.8636363636363636,0.8571428571428571,0.8148148148148148
boeck2019/multi_task,0.8064516129032258,0.9269662921348315,0.9514462809917356,0.951278928136419,0.75,1.0,0.9686800894854586,0.7272727272727273,0.8571428571428571,0.8148148148148148
boeck2019/multi_task_hjdb,0.8064516129032258,0.9325842696629213,0.9545454545454546,0.953714981729598,0.75,1.0,0.970917225950783,0.75,0.8571428571428571,0.8148148148148148
boeck2020/dar,0.9032258064516129,0.9606741573033708,0.9679752066115702,0.9671132764920828,0.75,1.0,0.9753914988814317,0.9090909090909091,0.8571428571428571,0.9259259259259259
davies2009/mirex_qm_tempotracker,0.8064516129032258,0.8932584269662921,0.9039256198347108,0.902557856272838,0.75,1.0,0.9183445190156599,0.7045454545454546,0.8571428571428571,0.8148148148148148
echonest/version_3_2_1,0.4838709677419355,0.797752808988764,0.8822314049586777,0.8855054811205847,0.5,0.5,0.9093959731543624,0.4772727272727273,0.7142857142857143,0.48148148148148145
gkiokas2012/default,0.8709677419354839,0.9213483146067416,0.9400826446280992,0.9415347137637028,0.75,1.0,0.9541387024608501,0.7727272727272727,0.8571428571428571,0.8888888888888888
klapuri2006/percival2014,0.6774193548387096,0.8932584269662921,0.9328512396694215,0.9317904993909866,0.5,0.5,0.9519015659955258,0.7272727272727273,0.7142857142857143,0.7037037037037037
oliveira2010/ibt,0.6451612903225806,0.8202247191011236,0.8770661157024794,0.8806333739342266,0.25,1.0,0.8993288590604027,0.5909090909090909,0.5714285714285714,0.7037037037037037
percival2014/stem,0.8064516129032258,0.949438202247191,0.9462809917355371,0.9403166869671132,0.75,0.5,0.9608501118568232,0.8409090909090909,0.7142857142857143,0.8148148148148148
scheirer1998/percival2014,0.6451612903225806,0.7808988764044944,0.7665289256198347,0.758830694275274,0.5,0.5,0.7829977628635347,0.5227272727272727,0.7142857142857143,0.6666666666666666
schreiber2014/default,0.6129032258064516,0.8820224719101124,0.9442148760330579,0.9451887941534713,0.5,1.0,0.9630872483221476,0.6818181818181818,0.7142857142857143,0.6296296296296297
schreiber2017/ismir2017,0.7741935483870968,0.9213483146067416,0.9442148760330579,0.9427527405602923,0.5,1.0,0.9608501118568232,0.6818181818181818,0.8571428571428571,0.8148148148148148
schreiber2017/mirex2017,1.0,0.9831460674157303,0.9586776859504132,0.9549330085261876,1.0,1.0,0.970917225950783,0.75,1.0,1.0
schreiber2018/cnn,0.9032258064516129,0.9550561797752809,0.9524793388429752,0.9500609013398295,0.75,1.0,0.9675615212527964,0.7272727272727273,0.7142857142857143,0.9259259259259259
schreiber2018/fcn,0.8387096774193549,0.949438202247191,0.9411157024793388,0.9354445797807551,0.5,1.0,0.9563758389261745,0.7272727272727273,0.7142857142857143,0.8888888888888888
schreiber2018/ismir2018,0.6774193548387096,0.898876404494382,0.9411157024793388,0.9403166869671132,0.5,1.0,0.9574944071588367,0.7727272727272727,0.5714285714285714,0.7037037037037037
sun2021/default,0.6451612903225806,0.8764044943820225,0.9338842975206612,0.9354445797807551,0.5,1.0,0.9496644295302014,0.7272727272727273,0.8571428571428571,0.6666666666666666
zplane/auftakt_v3,0.5483870967741935,0.8651685393258427,0.9028925619834711,0.8976857490864799,0.5,0.5,0.9183445190156599,0.7727272727272727,0.5714285714285714,0.5555555555555556
