Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
55,0.017716428756002312,0.002223462869146655,0.001443416869667917,0.008870937889281158,0.0370212394990033,1.004798657034557,1.0032250751704317,0.00322507517043162,0.00322507517043162,0.001443416869667917,0.001443416869667917,0.001443416869667917
56,0.01934608880481197,0.009884588931844041,0.0002705306832108866,0.010860992631766838,0.5715091740384788,0.0033581713587840394,1.0014159784861723,1.001060229327597,0.0010602293275969608,0.0,0.0,0.0
57,0.019152104448157226,1.028226552806627,0.0036112535523789967,0.014408493337590561,0.9865466733173227,1.003354556220504,1.0014159784861723,1.0014159784861723,1.0014159784861723,0.0,0.0,0.0
58,1.2813706015259665e-15,0.01605482659375878,0.003659464718513095,0.007618272990245241,0.019099331501741354,1.0019614744591436,1.001653313698645,0.0016533136986448638,1.001653313698645,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15
59,0.010329921812877523,0.006799671174800321,0.014290709774648766,0.0006842401333087302,0.979066977542301,1.0033148866982138,1.0030065584232466,1.0036669069787196,1.0036669069787196,1.0055409579576373,0.0028225149769894073,1.0055409579576373
60,0.009566055618959407,0.9971018935509232,0.003984745998984365,0.003456988646401036,0.5619231252092812,0.9937685073913063,0.9957498761099485,0.004250123890051519,0.004250123890051519,0.009586048829197613,0.9904139511708023,0.009586048829197613
61,1.2813706015259665e-15,0.006908369342179088,0.001154617941490786,0.008198523048029337,0.019099331501741354,1.0019614744591436,0.0016533136986448638,0.0016533136986448638,0.0016533136986448638,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15
62,1.0,0.005579639699847006,0.005220313411342039,0.012224383857086959,0.9865466733173227,0.997774556852931,0.002138111930526206,0.9978618880694738,0.9978618880694738,0.0,0.0,0.008988783227254759
63,0.00956605561896102,0.006371525073779977,0.004527759006166992,0.009109260807530101,0.5619231252092826,0.006227877470412376,0.9961068623418184,0.9961068623418184,0.9961068623418184,0.0005409092261891413,0.0005409092261891413,0.00958604882919634
64,4.808975454066061e-06,0.0056443089283788215,0.0062070483515489746,0.004630824488463524,0.017293159687456847,0.003830795195358694,0.0023370465476266005,0.002781859525478407,0.002781859525478407,0.003842066294393405,0.003842066294393405,0.003842066294393405
65,0.009241746662819425,1.0204440938922401,0.0013862541595906406,0.00830432295154695,0.016364084619384416,1.005329227765776,0.004812815479908069,1.0040756844658993,0.004075684465899394,0.001502025165235963,0.00783583941410038,0.00783583941410038
66,4.808975454066061e-06,0.001811848561494956,0.0035038950131898528,0.00237608457357127,0.017293159687456847,0.0006281899870779556,0.0018919835193561727,0.0014469412063235602,0.0014469412063235602,0.003842066294393405,0.003842066294393405,0.003842066294393405
67,1.0,0.007823403629816273,0.0016239455617505496,0.01559293468938621,0.5715091740384788,1.003354556220504,1.003196583524802,1.003196583524802,0.003196673893253046,0.0,0.0,0.0
68,0.009566055618959407,0.33057608703852376,0.000631641910154296,0.01230986595701916,0.02303937551187515,0.9993284375165793,1.0011125134799541,1.0011125134799541,0.0011124226403713459,0.0005409092261907425,0.0005409092261907425,0.0005409092261907425
69,0.0,0.0008653574432532448,0.0007696426114188146,0.006844969097218576,0.01909933150174009,1.001961474459145,0.0005147492304839894,0.0005147492304839894,0.0005147492304839894,0.0,0.0,0.0
70,1.2813706015259665e-15,0.0034583197724126773,0.0007692322447724837,0.003852325495605172,0.019099331501741354,1.0019614744591436,0.0005147492304825474,0.0008943633687018033,0.0008943633687018033,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15
71,1.2813706015259665e-15,0.007908368847160813,0.000962117435382244,0.005203073308611462,0.019099331501741354,1.0019614744591436,0.0024128561767119256,0.0024128561767119256,0.0024128561767119256,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15
72,0.009695918771094466,0.025243104723103586,0.005418465628497262,0.017516229601802047,0.99619684335104,1.0018213855658935,1.0036121599074408,1.003258333606826,1.003258333606826,0.000661386806462758,0.008271737963544872,0.008271737963544872
73,0.00956605561896102,0.0009115903084225773,0.0047991888851571666,0.007283526520731632,0.023039375511873576,0.999328437516581,0.9968208282078906,0.9953931591506763,0.9953931591506763,0.00958604882919634,0.0005409092261891413,0.9904139511708037
74,0.019928411049986498,0.005399987742589037,0.004350373261304685,0.006187986532622938,0.02026595544751217,0.9970835842124322,0.9962533259560574,0.9962533259560574,0.9962533259560574,0.005399987742589037,0.005399987742589037,0.005399987742589037
75,0.008462735026302627,0.0015320497235806817,0.0025585136878273577,0.00011181319848639482,0.03256549955832091,0.0028150156070540383,0.0017689197760504215,0.0017689197760504215,0.0017689197760504215,0.0036112535523789967,0.0036112535523789967,0.0036112535523789967
76,3.606692518969599e-05,0.00024527900625534194,0.0028465126988202697,0.0024040892031921097,0.573824359632171,1.001425654067102,0.999964683257672,3.52229694428163e-05,3.52229694428163e-05,0.9985580258260914,0.0014419741739085618,0.0014419741739085618
77,0.009566055618959407,0.00391199702084459,0.0027169202584603988,0.006645064978068748,0.9769606244881248,0.9993284375165793,0.9978925758935684,0.0021074241064316327,0.0021074241064316327,0.009586048829197613,0.0005409092261907425,0.009586048829197613
78,0.0171023669712234,0.0009554690004171296,0.004423487595620261,0.002282460676494297,0.024103920810124222,0.9957986236462839,0.996206052320547,0.003793947679452925,0.003793947679452925,0.00839127025913999,0.00839127025913999,0.0018044968467486786
79,5.289978800405142e-05,0.01622529883284538,0.006898797289183103,0.006371525073780943,0.022794373381558215,0.004419891895317651,0.002554601305461325,0.002554601305461325,0.002554601305461325,0.0062381722112170085,0.0062381722112170085,0.0062381722112170085
80,5.0495210103577016e-05,0.0012930369283689358,5.0495210103577016e-05,0.002637732804769971,0.5704596247334709,0.001447979385520135,0.00043332050879939737,0.00043332050879939737,0.00043332050879939737,0.005540957957639012,0.0048009862638200024,0.0048009862638200024
81,0.0,0.008391991606841414,0.0006731006411445224,0.0032738204925108257,0.01909933150174009,1.001961474459145,1.000894363368703,0.0008943633687030854,0.0008943633687030854,0.0,0.0,0.0
