τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,
0.005,0.011339145223763036,0.005095682404720591,0.005165744926380815,0.022407882887881904,0.017714167514199828,0.006134050955700926,0.012508899056604917,0.016294502138798274,0.009375710115974253,0.10009520557509761,0.011259916427625043,0.011196099106435549,0.008858321078405727,0.005369623359069619,0.005408217093462343,0.00527656573856968,0.008992169643258406
0.01,0.011945156864836763,0.007370207439607718,0.007395838030106717,0.02484118777929195,0.023563888798193097,0.008854040640166325,0.0168824953512782,0.01966469230197291,0.009933424928169596,0.07639700814571865,0.010370542720202507,0.010317869336300042,0.009187727713497884,0.007128478152241386,0.007026130623891706,0.006792081342117516,0.010207747295273493
0.015,0.014728161886160664,0.01093574725728637,0.011024662647371123,0.0318277048657827,0.035305177136635224,0.013710481984743226,0.021928181284579882,0.02533445368574456,0.015880193339732104,0.07421636408563646,0.01623973420549683,0.015459681622128092,0.014666830472654786,0.011650997201586015,0.011152769950217335,0.01085855717472811,0.015655891735937538
0.02,0.016213066493710345,0.01251118472550582,0.012589875063876557,0.03669692097713312,0.04193143999955391,0.015611643885865579,0.026789103349772702,0.03176800271245711,0.019612890804408856,0.07240942378853633,0.02043719689414519,0.018403727869820564,0.01636165771628758,0.01374010119189377,0.013290337130905319,0.013131721072673748,0.021440033701184486
0.025,0.017125378803042626,0.013479684285387542,0.0138903067097684,0.039762970671569746,0.05020031654062282,0.017878526857699587,0.031373936752883406,0.036802813039717754,0.023160055490828033,0.07452961422634873,0.02325550547449636,0.019683469781603805,0.017197853202101918,0.014537239755005713,0.014393178110481903,0.01407722569909041,0.026022712271074205
0.03,0.017613364219886556,0.013786019938768034,0.014239797159804566,0.0418460172938972,0.053275287296499316,0.018072797374485104,0.03439565434335954,0.04000600823767915,0.025546571718984924,0.07484415005513212,0.0251387827906324,0.020364649698838486,0.01857183724454994,0.015624571170930383,0.014891993459393241,0.014348417980104394,0.026644144495498307
0.035,0.01780894003499071,0.013951123871811702,0.014407853505271377,0.04241312643652239,0.05353650110069329,0.019123952758619424,0.035201225146949,0.040489744193308065,0.025627778181474277,0.07445945320445355,0.025160412975804482,0.02047526564922822,0.018698179619977294,0.01574585491897574,0.01506066001802167,0.014522663820754617,0.02746712072518954
0.04,0.01791223994845337,0.014072200131333843,0.014516743043422854,0.04301531874700406,0.05366197036942457,0.019325503259320653,0.03556923942689593,0.04076245532630726,0.02560878615904668,0.07460422093294859,0.025264793474369676,0.020615307219076427,0.018848553085344402,0.01581092241275397,0.015129711203084515,0.014620892175565036,0.027504929018852278
0.045,0.01791223994845337,0.014072200131333843,0.014516743043422854,0.04301531874700406,0.05366197036942457,0.019325503259320653,0.03556923942689593,0.04076245532630726,0.02560878615904668,0.07460422093294859,0.025264793474369676,0.020615307219076427,0.018848553085344402,0.01581092241275397,0.015129711203084515,0.014620892175565036,0.027504929018852278
