τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,,,,
0.005,-0.09204067542626826,-0.12003174703322624,0.0027621739333673775,-0.003600238069881485,-0.27244008553656124,-0.6745362915393701,-0.5112231856644647,-0.3511358049905638,-0.22760639374356792,-0.05008845919358589,-0.020474877245075938,-0.07243043427853547
0.01,-0.07610397417980394,-0.14389620816968643,0.0025594006585547575,-0.0040392640504607735,-0.3262233814584476,-0.7125503695597719,-0.5309440974581041,-0.3972642228912634,-0.25007807593822157,-0.05343685193965547,-0.03173013164325981,-0.08228726018425407
0.015,-0.07545044255363623,-0.14258783939524097,0.0025279954850997055,-0.00411091138884751,-0.325755206918836,-0.715001008860169,-0.5292796594208294,-0.4010351693994532,-0.25511242284944174,-0.05295671807682908,-0.031436321559801625,-0.0815623717590372
0.02,-0.07545044255363623,-0.14258783939524097,0.0025279954850997055,-0.00411091138884751,-0.325755206918836,-0.715001008860169,-0.5292796594208294,-0.4010351693994532,-0.25511242284944174,-0.05295671807682908,-0.031436321559801625,-0.0815623717590372
0.025,-0.07545044255363623,-0.14258783939524097,0.0025279954850997055,-0.00411091138884751,-0.325755206918836,-0.715001008860169,-0.5292796594208294,-0.4010351693994532,-0.25511242284944174,-0.05295671807682908,-0.031436321559801625,-0.0815623717590372
0.03,-0.07512800476494548,-0.1419489667083289,0.0025122578208835017,-0.0041284547865264075,-0.3242814695751583,-0.7162273356362332,-0.5270248459775723,-0.39932840933235575,-0.2540292642633272,-0.052730407315817,-0.03130197830527256,-0.08121381461476782
0.035,-0.07512800476494548,-0.1419489667083289,0.0025122578208835017,-0.0041284547865264075,-0.3242814695751583,-0.7162273356362332,-0.5270248459775723,-0.39932840933235575,-0.2540292642633272,-0.052730407315817,-0.03130197830527256,-0.08121381461476782
0.04,-0.07512800476494548,-0.1419489667083289,0.0025122578208835017,-0.0041284547865264075,-0.3242814695751583,-0.7162273356362332,-0.5270248459775723,-0.39932840933235575,-0.2540292642633272,-0.052730407315817,-0.03130197830527256,-0.08121381461476782
0.045,-0.07512800476494548,-0.1419489667083289,0.0025122578208835017,-0.0041284547865264075,-0.3242814695751583,-0.7162273356362332,-0.5270248459775723,-0.39932840933235575,-0.2540292642633272,-0.052730407315817,-0.03130197830527256,-0.08121381461476782
0.05,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.055,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.06,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.065,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.07,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.075,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.08,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.085,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.09,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.095,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.1,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.105,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.11,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.115,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.12,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.125,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.13,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.135,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.14,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.145,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
0.15,-0.07480815765137043,-0.14131253816312705,0.0025335607947559458,-0.004101447579969712,-0.32279243396757296,-0.7131397906382899,-0.5290091016307017,-0.40185605407759245,-0.25291988409396404,-0.052460150949565666,-0.03116264233727606,-0.08086208785396493
