Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,1000,41.1,240.0,114.69534,33.90452043592993,72.0,0.791
boeck2019/multi_task,999,35.12,205.35,99.68844844844845,27.401725094808135,67.0,0.8068068068068068
boeck2019/multi_task_hjdb,999,35.24,205.22,98.14155155155156,27.445320382843576,67.0,0.8018018018018018
boeck2020/dar,999,44.78,243.25,116.02091091091091,35.41832699387651,79.0,0.7537537537537538
davies2009/mirex_qm_tempotracker,1000,63.024,258.398,122.6921175,27.268997940758968,84.0,0.903
echonest/version_3_2_1,999,50.0,199.684,104.28445545545546,27.523753442488427,67.0,0.7967967967967968
gkiokas2012/default,1000,31.0,246.0,107.521,30.04883511039141,71.0,0.803
klapuri2006/percival2014,1000,62.642045,161.499023,110.853331629,20.297114100507958,76.0,0.951
oliveira2010/ibt,1000,80.0,161.0,116.429,20.747033484293564,81.0,0.999
percival2014/stem,1000,50.4192,154.268,102.5498176,21.517704828655017,71.0,0.918
scheirer1998/percival2014,979,61.3453,179.814,103.72579376915219,27.7977950206842,64.0,0.7957099080694586
schreiber2014/default,1000,52.045586,163.9436,101.608218686,21.616509253028905,71.0,0.91
schreiber2017/ismir2017,1000,40.53247,202.66235,102.967587584,22.437520321838182,70.0,0.899
schreiber2017/mirex2017,1000,20.266235,202.34692,98.18739326,25.006859039798567,70.0,0.831
schreiber2018/cnn,1000,50.0,237.0,112.002,31.24900792819664,75.0,0.806
schreiber2018/fcn,1000,38.0,222.0,109.142,30.572545142930387,71.0,0.812
schreiber2018/ismir2018,1000,53.0,232.0,112.887,28.188593931372807,77.0,0.868
sun2021/default,999,41.0,240.0,114.6016016016016,33.26560744545134,79.0,0.7897897897897898
zplane/auftakt_v3,1000,65.0,165.4,109.5127,22.55550974218339,73.0,0.891
