Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,8.984059498309833e-07,7.144560502047808e-08,0.04031972139589594,1.1310313266887142e-13,0.14423750968410498,0.4152938209934838,0.8843330158599481,4.1070068489245963e-10,5.296093918968498e-08,2.086170556564072e-13,8.094646017028806e-07,4.3984342714141235e-08,7.052849612903375e-40,0.5257928843263575,0.10199725357511294,0.12133525035848208,0.3352344137959569
boeck2019/multi_task,8.984059498309833e-07,1.0,0.26243753571104356,2.395972959680929e-10,1.0062908049816598e-24,2.3220282492759994e-09,0.00028076139244582424,1.4428046803301135e-06,3.797382535195607e-22,0.6096819744278846,7.50945990475114e-28,1.0,0.7447910416952448,7.352579246601501e-19,6.0220815143933455e-05,0.0021185223968504608,2.267086472065859e-09,3.560879370765614e-08
boeck2019/multi_task_hjdb,7.144560502047808e-08,0.26243753571104356,1.0,2.7430722841526185e-11,2.8329193404880785e-25,1.1609605287996054e-10,3.265746527558781e-05,2.412222722807164e-07,3.54861239765531e-22,1.0,1.160436299417805e-29,0.4683043979781577,0.8147826383183654,9.313224578595118e-16,1.1871906331177023e-05,0.0003525653635466197,4.458836571548798e-10,3.722023935184544e-09
boeck2020/dar,0.04031972139589594,2.395972959680929e-10,2.7430722841526185e-11,1.0,2.560061871870289e-07,0.9487453396406136,0.01976491487157473,0.15682829692617314,1.961884119229537e-05,6.022355509604964e-10,1.7378715812953402e-08,2.7002289609750208e-09,9.106527723432674e-11,9.655459303038483e-38,0.009970028375973423,0.0006502522458682168,0.6790184275257325,0.5159701442870639
davies2009/mirex_qm_tempotracker,1.1310313266887142e-13,1.0062908049816598e-24,2.8329193404880785e-25,2.560061871870289e-07,1.0,4.5857724232170603e-08,4.2084547874116997e-13,6.235181495026024e-20,0.22339063142499269,1.0931777662311518e-37,0.09367628274159978,7.092016030042169e-28,6.394038391275379e-31,8.681158746972542e-74,1.3248645549827944e-14,2.708895155931445e-17,3.196351091759341e-10,1.17918123726839e-11
echonest/version_3_2_1,0.14423750968410498,2.3220282492759994e-09,1.1609605287996054e-10,0.9487453396406136,4.5857724232170603e-08,1.0,0.01572529975450535,0.1635751637360709,2.040957011408438e-06,1.2117667274778783e-11,4.258715275906364e-10,2.0554082721122294e-10,1.1551355602167052e-11,6.097287055736309e-47,0.038333139230148625,0.0028806230700067375,0.8397135013018749,0.5818100601721488
gkiokas2012/default,0.4152938209934838,0.00028076139244582424,3.265746527558781e-05,0.01976491487157473,4.2084547874116997e-13,0.01572529975450535,1.0,0.2959769752345534,4.3766269434907584e-11,7.251742354910925e-06,4.789632543403275e-16,7.111687478329909e-05,2.505699229863817e-05,1.6083125251611447e-36,0.8397135013018749,0.5364945668009977,0.03576536953321302,0.07893192620633224
klapuri2006/percival2014,0.8843330158599481,1.4428046803301135e-06,2.412222722807164e-07,0.15682829692617314,6.235181495026024e-20,0.1635751637360709,0.2959769752345534,1.0,1.3494093113112967e-16,1.1955847474890752e-12,6.144944045574335e-15,1.762544401693316e-08,5.399042946014144e-10,1.1353928418743945e-45,0.42240404833424894,0.07267036753477295,0.20164292255914576,0.3822794411790732
oliveira2010/ibt,4.1070068489245963e-10,3.797382535195607e-22,3.54861239765531e-22,1.961884119229537e-05,0.22339063142499269,2.040957011408438e-06,4.3766269434907584e-11,1.3494093113112967e-16,1.0,2.428630790748476e-33,0.015484701583055527,6.064804403068566e-26,1.532476374299323e-28,7.861756096648614e-70,9.107638972219614e-12,2.0825750202194093e-13,1.7056917559169037e-08,2.4617852652294313e-10
percival2014/stem,5.296093918968498e-08,0.6096819744278846,1.0,6.022355509604964e-10,1.0931777662311518e-37,1.2117667274778783e-11,7.251742354910925e-06,1.1955847474890752e-12,2.428630790748476e-33,1.0,6.127138730559889e-34,0.477775324250883,0.8698520758281653,1.116824686607557e-19,3.6163980455380347e-06,0.0001818058958372738,6.2443379543711124e-12,2.5593837802841307e-13
scheirer1998/percival2014,2.086170556564072e-13,7.50945990475114e-28,1.160436299417805e-29,1.7378715812953402e-08,0.09367628274159978,4.258715275906364e-10,4.789632543403275e-16,6.144944045574335e-15,0.015484701583055527,6.127138730559889e-34,1.0,8.729287384988353e-29,3.753630149414877e-31,3.0853060388664558e-61,5.09225532057041e-15,2.073714659668148e-17,1.2870370395178796e-10,2.3751062868395405e-12
schreiber2014/default,8.094646017028806e-07,1.0,0.4683043979781577,2.7002289609750208e-09,7.092016030042169e-28,2.0554082721122294e-10,7.111687478329909e-05,1.762544401693316e-08,6.064804403068566e-26,0.477775324250883,8.729287384988353e-29,1.0,0.613505266127911,9.191926693634371e-26,3.2223923897085206e-05,0.0011900803834547702,1.8192417786988495e-11,9.490407155172543e-10
schreiber2017/ismir2017,4.3984342714141235e-08,0.7447910416952448,0.8147826383183654,9.106527723432674e-11,6.394038391275379e-31,1.1551355602167052e-11,2.505699229863817e-05,5.399042946014144e-10,1.532476374299323e-28,0.8698520758281653,3.753630149414877e-31,0.613505266127911,1.0,4.226212521714738e-32,1.7880068435674556e-06,0.00017118900383615134,2.9648259570831784e-12,1.6276164292266097e-11
schreiber2017/mirex2017,7.052849612903375e-40,7.352579246601501e-19,9.313224578595118e-16,9.655459303038483e-38,8.681158746972542e-74,6.097287055736309e-47,1.6083125251611447e-36,1.1353928418743945e-45,7.861756096648614e-70,1.116824686607557e-19,3.0853060388664558e-61,9.191926693634371e-26,4.226212521714738e-32,1.0,1.4172953330111635e-40,1.5400696281126545e-33,3.698680141907151e-48,4.74431566746011e-48
schreiber2018/cnn,0.5257928843263575,6.0220815143933455e-05,1.1871906331177023e-05,0.009970028375973423,1.3248645549827944e-14,0.038333139230148625,0.8397135013018749,0.42240404833424894,9.107638972219614e-12,3.6163980455380347e-06,5.09225532057041e-15,3.2223923897085206e-05,1.7880068435674556e-06,1.4172953330111635e-40,1.0,0.2684524217123434,0.018770972333924402,0.11328599181390665
schreiber2018/fcn,0.10199725357511294,0.0021185223968504608,0.0003525653635466197,0.0006502522458682168,2.708895155931445e-17,0.0028806230700067375,0.5364945668009977,0.07267036753477295,2.0825750202194093e-13,0.0001818058958372738,2.073714659668148e-17,0.0011900803834547702,0.00017118900383615134,1.5400696281126545e-33,0.2684524217123434,1.0,0.0009535862845175709,0.011925233593017589
schreiber2018/ismir2018,0.12133525035848208,2.267086472065859e-09,4.458836571548798e-10,0.6790184275257325,3.196351091759341e-10,0.8397135013018749,0.03576536953321302,0.20164292255914576,1.7056917559169037e-08,6.2443379543711124e-12,1.2870370395178796e-10,1.8192417786988495e-11,2.9648259570831784e-12,3.698680141907151e-48,0.018770972333924402,0.0009535862845175709,1.0,0.7554968749288828
zplane/auftakt_v3,0.3352344137959569,3.560879370765614e-08,3.722023935184544e-09,0.5159701442870639,1.17918123726839e-11,0.5818100601721488,0.07893192620633224,0.3822794411790732,2.4617852652294313e-10,2.5593837802841307e-13,2.3751062868395405e-12,9.490407155172543e-10,1.6276164292266097e-11,4.74431566746011e-48,0.11328599181390665,0.011925233593017589,0.7554968749288828,1.0
