Estimator,Accuracy1,Accuracy2
percival2014/stem,0.85,0.99
schreiber2017/mirex2017,0.82,0.99
schreiber2017/ismir2017,0.82,0.99
schreiber2014/default,0.82,0.95
davies2009/mirex_qm_tempotracker,0.75,0.96
boeck2015/tempodetector2016_default,0.65,0.98
