Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
0.0,0.05101913217456546,0.0,0.0,0.0,0.0,0.0,0.3810178817056396,0.3063648868325622
0.001,0.061272977366512445,0.004251594347880455,0.0,0.2594723021132925,0.2594723021132925,0.25647117669125924,0.3810178817056396,0.3063648868325622
0.002,0.0648993372514693,0.026885081905714644,0.0,0.2901087907965487,0.28898336876328623,0.28435663373765163,0.3810178817056396,0.3063648868325622
0.003,0.09778667000125046,0.028010503938977117,0.0,0.3114918094285357,0.3112417156433663,0.30611479304739275,0.3810178817056396,0.3063648868325622
0.004,0.14130298862073276,0.04589220957859197,0.0,0.3405026885081906,0.3395023133675128,0.33512567212704764,0.3810178817056396,0.3063648868325622
0.005,0.16118544454170314,0.050393897711641863,0.0,0.3733900212579717,0.3741403026134801,0.3676378641990746,0.383518819557334,0.3223708890834063
0.006,0.18356883831436788,0.05539577341503064,0.0,0.42728523196198576,0.42928598224334125,0.4197824184069026,0.42215830936601223,0.373264974365387
0.007,0.20432662248343128,0.060397649118419404,0.0,0.47142678504439167,0.47280230086282354,0.46279854945604604,0.44791796923846444,0.40077529073402524
0.008,0.24871826935100663,0.07290233837689133,0.0,0.5094410403901463,0.5098161810679005,0.4991871951981993,0.4637989245967238,0.4192822308365637
0.009,0.28848318119294736,0.09190946604976866,0.0,0.5430786544954358,0.542078279354758,0.5305739652369639,0.47355258221833185,0.43491309240965365
0.01,0.30036263598849566,0.12442165812179568,0.0,0.5608353132424659,0.5607102663498812,0.5488308115543329,0.48455670876578716,0.4466675003126172
0.011,0.33012379642365886,0.1329248468175566,0.0,0.5704639239714893,0.5713392522195824,0.5597098912092034,0.4965612104539202,0.4630486432412155
0.012,0.3551331749406027,0.14117794172814804,0.0,0.5789671126672502,0.5794673002375891,0.5672127047642866,0.5159434788045517,0.4839314743028636
0.013,0.3717644116543704,0.15268225584594222,0.0,0.587095160685257,0.587095160685257,0.5748405652119545,0.5308240590221333,0.4995623358759535
0.014,0.40790296361135425,0.17243966487432788,0.0,0.5924721770663999,0.5923471301738151,0.5804676753782668,0.55008128048018,0.5194447917969238
0.015,0.4264099037138927,0.1798174315368263,0.0,0.5975990996623733,0.5969738651994498,0.5852194572964862,0.5642115793422533,0.533199949981243
0.016,0.4314117794172815,0.1856946354883081,0.0,0.6029761160435163,0.6017256471176691,0.590221332999875,0.5833437539077154,0.5512067025134425
0.017,0.4379142178316869,0.2063273727647868,0.0,0.6068525697136427,0.6059772414655495,0.5943478804551707,0.595098161810679,0.5684631736901338
0.018,0.44304114042766035,0.2069526072277104,0.0,0.609353507565337,0.6088533199949981,0.5972239589846192,0.6074778041765662,0.5794673002375891
0.019,0.4484181568088033,0.22108290608978368,0.0,0.6123546329873703,0.6112292109541078,0.5998499437288983,0.6161060397649119,0.5938476928848319
0.02,0.4576716268600725,0.24209078404401652,0.0,0.6158559459797424,0.6146054770538952,0.6026009753657622,0.619607352757284,0.5983493810178817
0.021,0.46129798674502936,0.24484181568088034,0.0,0.618732024509191,0.6174815555833437,0.6052269601100413,0.6233587595348256,0.6042265849693635
0.022,0.46317369013380016,0.26072277103913966,0.0,0.6199824934350381,0.6192322120795298,0.6067275228210579,0.6266099787420283,0.6072277103913968
0.023,0.4649243466299862,0.26897586594973116,0.0,0.6213580092534701,0.6206077278979617,0.6077278979617357,0.6291109165937226,0.6089783668875829
0.024,0.4671751906965112,0.2727272727272727,0.0,0.6238589471051644,0.6231086657496562,0.61022883581343,0.6304864324121545,0.6111041640615231
0.025,0.47092659747405274,0.28473177441540576,0.0,0.6258596973865199,0.6257346504939352,0.6127297736651244,0.6327372764786795,0.6132299612354633
0.026,0.47930473927722894,0.3748905839689884,0.0,0.6281105414530449,0.6277354007752908,0.6144804301613105,0.6342378391896961,0.6152307115168189
0.027,0.4816806302363386,0.3750156308615731,0.00012504689258471927,0.6296111041640615,0.6293610103788921,0.6159809928723271,0.6362385894710516,0.6166062273352507
0.028,0.48418156808803303,0.3873952732274603,0.00012504689258471927,0.6306114793047393,0.630736526197324,0.6173565086907591,0.6387395273227461,0.6208578216831312
0.029,0.4859322245842191,0.38777041390521444,0.00012504689258471927,0.6322370889083406,0.6324871826935101,0.6188570714017757,0.6408653244966862,0.6223583843941478
0.03,0.48680755283231214,0.3940227585344504,0.00025009378516943853,0.6331124171564336,0.6334875578341879,0.6201075403276228,0.6421157934225334,0.6239839939977492
0.031,0.48830811554332876,0.4004001500562711,0.0003751406777541578,0.6339877454045267,0.6339877454045267,0.6206077278979617,0.6429911216706264,0.6251094160310117
0.032,0.4893084906840065,0.40215080655245716,0.0003751406777541578,0.6351131674377891,0.6354883081155434,0.6221082906089783,0.6437414030261348,0.6264849318494435
0.033,0.49018381893209956,0.40415155683381265,0.0006252344629235964,0.6357384019007127,0.6359884956858822,0.6227335250719019,0.6456171064149056,0.627610353882706
0.034,0.49093410028760787,0.4065274477929223,0.0006252344629235964,0.6366137301488058,0.6367387770413905,0.6233587595348256,0.646742528448168,0.6306114793047393
0.035,0.49293485056896336,0.408028010503939,0.0006252344629235964,0.6373640115043141,0.6374890583968988,0.6241090408903339,0.6486182318369389,0.6327372764786795
0.036,0.493560085031887,0.4161560585219457,0.0006252344629235964,0.6387395273227461,0.6388645742153307,0.6256096036013505,0.6513692634738026,0.6358634487932975
0.037,0.4938101788170564,0.41890709015880956,0.0007502813555083156,0.6396148555708391,0.6397399024634238,0.6262348380642742,0.6517444041515569,0.6364886832562211
0.038,0.49418531949481054,0.4217831686882581,0.0007502813555083156,0.6403651369263473,0.6406152307115168,0.6269851194197824,0.6526197323996499,0.6384894335375766
0.039,0.49556083531324246,0.42215830936601223,0.0008753282480930349,0.640990371389271,0.6414905589596098,0.627610353882706,0.6536201075403276,0.6399899962485932
0.04,0.49593597599099665,0.42340877829185947,0.0011254220332624733,0.6414905589596098,0.6417406527447793,0.6278604476678754,0.6546204826810054,0.6412404651744404
0.041,0.4964361635613355,0.4249093410028761,0.0012504689258471928,0.6421157934225334,0.6421157934225334,0.6281105414530449,0.655245717143929,0.6417406527447793
0.042,0.4976866324871827,0.42853570088783294,0.0012504689258471928,0.6427410278854571,0.6432412154557959,0.6291109165937226,0.657496561210454,0.6444916843816432
0.043,0.4981868200575216,0.4309115918469426,0.0017506564961860698,0.6431161685632112,0.6434913092409653,0.6293610103788921,0.6579967487807928,0.6448668250593973
0.044,0.49868700762786045,0.43116168563211205,0.0017506564961860698,0.6437414030261348,0.6443666374890584,0.6299862448418156,0.6591221708140552,0.6456171064149056
0.045,0.49906214830561463,0.4321620607727898,0.001875703388770789,0.6442415905964737,0.6447417781668126,0.6303613855195699,0.6596223583843942,0.6471176691259222
0.046,0.4991871951981993,0.4324121545579592,0.0020007502813555083,0.644991871951982,0.6454920595223209,0.6311116668750781,0.6602475928473177,0.6474928098036764
0.047,0.49981242966112294,0.43303738902088285,0.0020007502813555083,0.6459922470926598,0.6462423408778292,0.6319869951231711,0.660622733525072,0.6479929973740153
0.048,0.5001875703388771,0.4332874828060523,0.0021257971739402277,0.6463673877704139,0.6468675753407528,0.6326122295860948,0.6613730148805802,0.6488683256221083
0.049,0.5010628985869701,0.43578842065774664,0.002375890959109666,0.6474928098036764,0.6478679504814305,0.6336126047267725,0.6617481555583343,0.6496186069776166
0.05,0.5010628985869701,0.4360385144429161,0.0025009378516943855,0.6477429035888458,0.6482430911591847,0.6339877454045267,0.6632487182693511,0.6511191696886333
0.051,0.501563086157309,0.4381643116168563,0.0028760785294485434,0.6482430911591847,0.6486182318369389,0.6343628860822809,0.6633737651619357,0.6516193572589721
0.052,0.5016881330498937,0.4381643116168563,0.0035013129923721397,0.6486182318369389,0.648993372514693,0.634738026760035,0.6639989996248593,0.6519944979367263
0.053,0.5018131799424784,0.43841440540202575,0.0036263598849568587,0.648993372514693,0.6492434662998624,0.6348630736526197,0.6647492809803677,0.6524946855070651
0.054,0.5025634612979868,0.4386644991871952,0.0038764536701262975,0.6492434662998624,0.6493685131924471,0.6351131674377891,0.6652494685507065,0.6524946855070651
0.055,0.5026885081905714,0.43953982743528824,0.0041265474552957355,0.6499937476553708,0.649868700762786,0.6356133550081281,0.6658747030136302,0.6532449668625735
0.056,0.5034387895460798,0.44091534325372017,0.005001875703388771,0.6508690759034638,0.6504939352257096,0.6362385894710516,0.6666249843691384,0.6537451544329124
0.057,0.5039389771164187,0.44104039014630486,0.005251969488558209,0.6514943103663874,0.651244216581218,0.63698887082656,0.667250218832062,0.654370388895836
0.058,0.5039389771164187,0.4411654370388896,0.005502063273727648,0.6518694510441415,0.6523696386144804,0.6379892459672377,0.6683756408653245,0.655245717143929
0.059,0.5051894460422659,0.4416656246092285,0.005877203951481806,0.6523696386144804,0.6527447792922346,0.6382393397524071,0.6686257346504939,0.6554958109290984
0.06,0.50556458672002,0.4419157183943979,0.006127297736651245,0.652994873077404,0.652994873077404,0.6384894335375766,0.6691259222208328,0.656121045392022
0.061,0.5059397273977742,0.4426659997499062,0.0066274853069901215,0.6536201075403276,0.6534950606477429,0.6388645742153307,0.6691259222208328,0.6562460922846067
0.062,0.5063148680755283,0.4431661873202451,0.0067525321995748405,0.6538702013254971,0.6539952482180817,0.6393647617856696,0.6692509691134175,0.6564961860697761
0.063,0.5069401025384519,0.44404151556833815,0.007377766662498437,0.6541202951106665,0.654370388895836,0.6397399024634238,0.67037639114668,0.6577466549956233
0.064,0.5070651494310366,0.44554207827935477,0.007502813555083156,0.6548705764661749,0.6553707640365137,0.6407402776041016,0.67037639114668,0.6579967487807928
0.065,0.5071901963236214,0.44554207827935477,0.007627860447667875,0.6554958109290984,0.6559959984994372,0.6413655120670252,0.6706264849318494,0.6582468425659622
0.066,0.507315243216206,0.44616731274227833,0.007877954232837313,0.6562460922846067,0.6566212329623609,0.6418656996373641,0.671251719394773,0.658371889458547
0.067,0.5083156183568839,0.44616731274227833,0.008003001125422033,0.6564961860697761,0.6568713267475303,0.6421157934225334,0.6722520945354508,0.6594973114918095
0.068,0.5094410403901463,0.4469175940977867,0.008003001125422033,0.6566212329623609,0.6569963736401151,0.6422408403151182,0.6722520945354508,0.6596223583843942
0.069,0.510441415530824,0.44741778166812557,0.008378141803176191,0.6567462798549456,0.6573715143178692,0.6426159809928723,0.6730023758909591,0.6598724521695636
0.07,0.5106915093159935,0.44804301613104913,0.008378141803176191,0.6567462798549456,0.6576216081030386,0.6429911216706264,0.6736276103538827,0.6604976866324872
0.071,0.5106915093159935,0.448543203701388,0.008628235588345629,0.6573715143178692,0.6581217956733775,0.6432412154557959,0.6738777041390521,0.6611229210954108
0.072,0.5114417906715019,0.4492934850568963,0.009128423158684507,0.6579967487807928,0.6586219832437163,0.6437414030261348,0.6748780792797299,0.6616231086657497
0.073,0.5116918844566712,0.44941853194948106,0.009253470051269226,0.6589971239214706,0.65924721770664,0.6442415905964737,0.6755033137426535,0.6634988120545204
0.074,0.5119419782418407,0.45016881330498937,0.009628610729023384,0.6593722645992247,0.6599974990621483,0.644991871951982,0.6756283606352382,0.6637489058396899
0.075,0.5125672127047642,0.450794047767913,0.009753657621608102,0.6594973114918095,0.6599974990621483,0.644991871951982,0.6776291109165937,0.6680005001875703
0.076,0.5143178692009504,0.4509190946604977,0.01025384519194698,0.6597474052769788,0.6602475928473177,0.6452419657371514,0.6780042515943479,0.668125547080155
0.077,0.5145679629861198,0.45266975115668373,0.010754032762285858,0.660622733525072,0.6607477804176566,0.6457421533074903,0.6785044391646867,0.6685006877579092
0.078,0.5151931974490433,0.4535450794047768,0.010879079654870576,0.6611229210954108,0.6609978742028261,0.6459922470926598,0.6792547205201951,0.6686257346504939
