Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,0.01640293048980108,0.07384015910058532,2.506558997940675e-07,0.002221904249234705,0.8944158324475927,0.00216801575217456,1.3123879937763072e-09,0.5050466007588272,1.7497965057365192e-07,0.0013956058136150454,1.4881745248903378e-14,2.406347794044898e-44,1.0176733452277805e-19,1.05271792719105e-16,6.495795609407771e-06,0.6396646236027619
boeck2019/multi_task,0.01640293048980108,1.0,0.17640580925719476,1.0657875658110816e-13,0.36364250822007427,0.017898723643674837,1.2478404437148934e-09,1.1040678949969505e-19,0.07225990731731673,6.854401678664755e-16,0.14073541405843001,1.4717786008973328e-09,1.3460751810602749e-39,6.39186285747044e-11,2.3682299905785594e-09,0.0496823506712908,0.001943773653279422
boeck2019/multi_task_hjdb,0.07384015910058532,0.17640580925719476,1.0,2.956394038749689e-11,0.13505148677568984,0.07278410175681421,2.3470413591164623e-07,2.157306494063157e-16,0.302708105481456,2.531035688554909e-13,0.04096377917935252,1.38038721047527e-10,4.717363852871796e-41,1.0618028825560871e-12,4.489031812022026e-11,0.008773236381995472,0.016731388735123483
davies2009/mirex_qm_tempotracker,2.506558997940675e-07,1.0657875658110816e-13,2.956394038749689e-11,1.0,5.96074302680748e-16,6.815316678139964e-06,0.022120475163512458,0.04687352664543292,7.887716680643352e-09,0.48235807984283463,6.715072261953941e-16,2.4374531549469255e-36,7.056712254773743e-76,7.963476564106084e-42,1.5619691646448255e-32,3.9666770033343055e-23,2.4941245420136858e-06
echonest/version_3_2_1,0.002221904249234705,0.36364250822007427,0.13505148677568984,5.96074302680748e-16,1.0,0.0008020257464259999,6.614058432410792e-11,8.424475419477845e-21,0.01218625819968294,2.5300432494253546e-16,0.6968239347572034,2.643495527517248e-06,2.41701381003917e-35,5.943154216620152e-08,5.847795930035444e-07,0.3646757250535846,0.00019118924339096486
gkiokas2012/default,0.8944158324475927,0.017898723643674837,0.07278410175681421,6.815316678139964e-06,0.0008020257464259999,1.0,0.0016695476140102259,1.4652702494835141e-09,0.3238146920188365,4.4229969347697313e-07,8.272683249739405e-05,3.530966601849846e-14,3.3128445330785634e-48,4.3459265568357045e-16,7.648170289332358e-15,1.5772232380381238e-05,0.7064526943204266
klapuri2006/percival2014,0.00216801575217456,1.2478404437148934e-09,2.3470413591164623e-07,0.022120475163512458,6.614058432410792e-11,0.0016695476140102259,1.0,2.9775063564938923e-06,9.584108485092193e-08,0.008434260574904822,2.658834504455309e-15,1.0522733897506425e-30,5.743231412038116e-69,6.581772771843566e-31,3.0509160232038787e-25,1.9308483656100348e-18,0.0012196293739232165
oliveira2010/ibt,1.3123879937763072e-09,1.1040678949969505e-19,2.157306494063157e-16,0.04687352664543292,8.424475419477845e-21,1.4652702494835141e-09,2.9775063564938923e-06,1.0,1.7900995733498242e-14,0.5590474216190238,2.121522076358263e-23,5.100761898725696e-43,4.335330106940606e-85,1.1859892969061739e-47,7.044684987368302e-36,4.1980822312629635e-31,2.3776185205196413e-13
percival2014/stem,0.5050466007588272,0.07225990731731673,0.302708105481456,7.887716680643352e-09,0.01218625819968294,0.3238146920188365,9.584108485092193e-08,1.7900995733498242e-14,1.0,5.870628375001555e-10,6.626462158002228e-05,1.2869097558115228e-13,4.935230829675164e-49,1.3851197966747837e-13,6.3259259711015216e-12,0.0001712016687228324,0.13911083281527892
scheirer1998/percival2014,1.7497965057365192e-07,6.854401678664755e-16,2.531035688554909e-13,0.48235807984283463,2.5300432494253546e-16,4.4229969347697313e-07,0.008434260574904822,0.5590474216190238,5.870628375001555e-10,1.0,5.0509829561962045e-20,5.561228792344918e-35,6.099025149673661e-78,1.4240261027683665e-37,1.3599967525312956e-33,4.271342189259446e-21,5.362351477834225e-07
schreiber2014/default,0.0013956058136150454,0.14073541405843001,0.04096377917935252,6.715072261953941e-16,0.6968239347572034,8.272683249739405e-05,2.658834504455309e-15,2.121522076358263e-23,6.626462158002228e-05,5.0509829561962045e-20,1.0,2.4986484784060045e-06,1.3114267835320607e-36,2.2651073972620675e-06,3.3556151656853635e-06,0.5818316409687749,8.757870618339473e-07
schreiber2017/ismir2017,1.4881745248903378e-14,1.4717786008973328e-09,1.38038721047527e-10,2.4374531549469255e-36,2.643495527517248e-06,3.530966601849846e-14,1.0522733897506425e-30,5.100761898725696e-43,1.2869097558115228e-13,5.561228792344918e-35,2.4986484784060045e-06,1.0,7.99182930217472e-24,0.38701753915111803,0.512857531983014,6.246788806257545e-05,3.2165167078380386e-18
schreiber2017/mirex2017,2.406347794044898e-44,1.3460751810602749e-39,4.717363852871796e-41,7.056712254773743e-76,2.41701381003917e-35,3.3128445330785634e-48,5.743231412038116e-69,4.335330106940606e-85,4.935230829675164e-49,6.099025149673661e-78,1.3114267835320607e-36,7.99182930217472e-24,1.0,7.358236463415025e-15,2.6464005289931505e-15,1.1325003652807588e-31,1.5538651350595745e-54
