Estimator,Trance,Techno,Tech House,Psy-Trance,Progressive House,Minimal,House,Hip-Hop,Hard Dance,Electronica,Electro House,Dubstep,Drum & Bass,Deep House,Chill Out,Breaks
boeck2015/tempodetector2016_default,1.0,1.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0,1.0,0.9605263157894737,1.0,0.9354838709677419,0.9137931034482759,1.0,0.9473684210526315,1.0
davies2009/mirex_qm_tempotracker,0.9397590361445783,0.9454545454545454,1.0,0.963855421686747,0.9878048780487805,0.9803921568627451,0.9736842105263158,0.9518072289156626,0.9571428571428572,0.9078947368421053,0.9878048780487805,0.8709677419354839,0.7931034482758621,0.9846153846153847,0.9210526315789473,1.0
percival2014/stem,1.0,1.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0,1.0,0.9605263157894737,1.0,0.967741935483871,0.9827586206896551,0.9846153846153847,0.9736842105263158,1.0
schreiber2014/default,0.9879518072289156,0.9818181818181818,1.0,0.963855421686747,0.9878048780487805,1.0,0.9868421052631579,0.963855421686747,0.9857142857142858,0.9342105263157895,0.9878048780487805,0.8709677419354839,0.8793103448275862,0.9846153846153847,0.9342105263157895,0.9880952380952381
schreiber2017/ismir2017,0.24096385542168675,0.2545454545454545,0.2535211267605634,0.25301204819277107,0.12195121951219512,0.13725490196078433,0.17105263157894737,0.21686746987951808,0.2714285714285714,0.13157894736842105,0.14634146341463414,0.14516129032258066,0.5,0.06153846153846154,0.10526315789473684,0.15476190476190477
schreiber2017/mirex2017,1.0,0.9818181818181818,1.0,0.9759036144578314,1.0,1.0,0.9868421052631579,1.0,1.0,0.9736842105263158,1.0,0.9032258064516129,0.9482758620689655,0.9846153846153847,0.9210526315789473,1.0
schreiber2018/cnn,1.0,1.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0,1.0,0.9736842105263158,1.0,0.967741935483871,0.9827586206896551,0.9846153846153847,0.9605263157894737,1.0
schreiber2018/fcn,1.0,1.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0,1.0,0.9605263157894737,1.0,0.967741935483871,0.9827586206896551,1.0,0.9605263157894737,1.0
schreiber2018/ismir2018,1.0,1.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0,1.0,0.9605263157894737,1.0,0.967741935483871,0.9827586206896551,1.0,0.9605263157894737,1.0
