Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0,-0.00047178415941014166,0.003353680012176582,0.0019380238875085307,0.023014418653521405,0.0016263930318009242,0.003919553736195253,-0.005549493403652109,-0.010294305483505437,0.0015413911145050788,0.0061243429187968585,3.1205796890320716e-05,3.1205796890320716e-05,3.1205796890320716e-05,0.003919553736195253,0.003919553736195253,0.003919553736195253,-0.0003299192651625327
1,0.00010341806270293589,0.01696773070331475,0.012922032480311978,0.9846415119586402,-0.058202807636099634,0.6268958266689001,0.8903123857722784,0.5729570195580963,0.05454136169246564,0.6293159350585847,0.023815868231701884,0.01467096388657085,1.0146709638865707,0.3016549977407021,1.0681648675209234,1.0185828386703633,0.5169229846437685
2,0.009275433857125225,0.004608103755912017,0.0033773452433839917,0.00686995973908939,-0.0021864586966599962,0.0012826431035943325,-0.0012599477819572784,0.0012826431035943325,-0.0013091361860950842,,-0.013081793136404493,-0.005734870675992328,-0.005734870675992328,-0.011101081352237963,0.0012826431035943325,0.0012826431035943325,-0.0011856124871552234
3,0.023636916085300476,0.01594105841069743,0.011386700933572889,0.026498632910332134,0.014176226151608256,0.020068944033373903,0.026495213192806795,-0.007676046449530425,0.01914807336490925,0.06043037721828533,-0.015054025299264013,0.04847280321199595,-0.951527196788004,0.006263144508343231,-0.03596509088095414,0.033743880930450325,0.004875270384100635
4,-1.2482630971451625,-1.2354649120471075,-1.2306466087210097,-0.21116250723675475,-0.2348279733660637,-1.230261838738495,-0.2529819152385784,-0.9355185731773629,-0.9816800469597118,-1.0243672434726516,-0.9600493173166369,-1.2448814922910774,-1.2448814922910774,-1.230261838738495,-1.230261838738495,-1.230261838738495,-0.9736537020641338
5,0.566654560615558,0.6010507878867202,-0.40961478684078745,0.020071265918400423,-0.003251711575038756,0.0035150647480593207,0.0016929470909139055,0.02537449871179853,0.0016967844321599916,-0.0033955600458384395,-0.40912404897754273,-0.0006038117504429102,-0.0006038117504429102,-0.007540123760936392,0.0035150647480593207,-0.007540123760936392,0.0024133502684876794
6,-0.007738810273738308,0.003012281976408815,-0.0014049397515567639,0.013921489650510594,0.0016412358085730497,-0.006311262978106377,0.0010967582301693879,-0.006311262978106377,0.0010971840901305,0.0005797503969903994,-0.003798565422277158,-0.001304692440161176,-0.001304692440161176,-0.006311262978106377,-0.006311262978106377,-0.006311262978106377,-0.0015629480799430695
7,1.0005350555724168,0.98928176429788,0.99233186065783,1.0075366094113174,-0.0016883627940788629,-0.00817604113966689,1.0075334638292055,1.0120018407979634,-0.0024511780405177402,0.9965506853614761,-0.005557793353981839,0.9992323459483016,0.9992323459483016,-0.00817604113966689,-0.00817604113966689,1.0019481761340405,0.9979070109121768
8,-0.01004542895150288,1.825439319463617e-05,-0.004166419027741724,0.026129649196199745,0.0009849802313950204,0.0019272127145731665,-0.007819145529746054,-0.01004542895150288,0.000591207157234112,-0.5781907296118366,-0.004125589743354385,0.003408135948529279,0.003408135948529279,0.0019272127145731665,0.0019272127145731665,0.0019272127145731665,-0.0004593801223049281
9,0.02499366715141327,0.0053770476633903976,0.00366250761628456,0.019100905029278775,-1.004196255026007,-0.9943524216533989,-0.9921261322296815,0.014636361573855828,-0.9921269785063297,-1.377399606313508,-0.9808989163077014,-1.0072013962153523,-1.0072013962153523,0.014636361573855828,0.014636361573855828,0.014636361573855828,0.017322111727519362
