Estimator,Rock,Pop,International,Instrumental,Hip-Hop,Folk,Experimental,Electronic
boeck2015/tempodetector2016_default,0.7157157157157157,0.783,0.685,0.621,0.831,0.704,0.4164164164164164,0.7737737737737738
davies2009/mirex_qm_tempotracker,0.7037037037037037,0.745,0.665,0.561,0.802,0.59,0.42242242242242245,0.7437437437437437
percival2014/stem,0.7167167167167167,0.749,0.683,0.67,0.83,0.695,0.42842842842842843,0.7157157157157157
schreiber2014/default,0.7017017017017017,0.771,0.699,0.648,0.865,0.717,0.5015015015015015,0.7657657657657657
schreiber2017/ismir2017,0.7497497497497497,0.799,0.7,0.687,0.852,0.735,0.4594594594594595,0.7927927927927928
schreiber2017/mirex2017,0.7487487487487487,0.789,0.697,0.673,0.856,0.728,0.45545545545545546,0.8078078078078078
schreiber2018/cnn,0.7787787787787788,0.828,0.779,0.74,0.87,0.808,0.5405405405405406,0.8608608608608609
schreiber2018/fcn,0.7567567567567568,0.779,0.742,0.685,0.854,0.725,0.5285285285285285,0.8408408408408409
