Estimator,Accuracy1,Accuracy2
boeck2015/tempodetector2016_default,0.9162011173184358,0.994413407821229
boeck2019/multi_task_hjdb,0.888268156424581,0.9776536312849162
schreiber2018/ismir2018,0.8603351955307262,0.9720670391061452
schreiber2018/fcn,0.8547486033519553,0.9832402234636871
boeck2019/multi_task,0.8491620111731844,0.9776536312849162
schreiber2017/ismir2017,0.8491620111731844,0.9888268156424581
schreiber2017/mirex2017,0.8435754189944135,0.9776536312849162
schreiber2018/cnn,0.8324022346368715,0.9664804469273743
percival2014/stem,0.8156424581005587,0.994413407821229
davies2009/mirex_qm_tempotracker,0.8044692737430168,0.9720670391061452
schreiber2014/default,0.6536312849162011,0.9050279329608939
