Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,1410,41.96,240.0,118.09208510638298,34.59286136672001,84.0,0.724113475177305
boeck2019/multi_task,1410,39.89,206.08,107.5625390070922,28.79382280757317,72.0,0.823404255319149
boeck2019/multi_task_hjdb,1410,39.64,204.8,108.4818085106383,29.730431970600087,72.0,0.7929078014184398
boeck2020/dar,1410,48.02,237.16,109.23658865248227,32.29958596384893,73.0,0.7581560283687944
davies2009/mirex_qm_tempotracker,1410,60.7996,191.406,120.0125924822695,27.499877935515926,84.0,0.8702127659574468
echonest/version_3_2_1,1410,45.914,197.987,108.63764539007092,30.81945672957656,72.0,0.7602836879432624
gkiokas2012/default,1410,44.0,218.0,107.42411347517731,30.723224480138004,73.0,0.7723404255319148
klapuri2006/percival2014,1410,65.005896,164.0625,110.3347164248227,23.894379648446698,76.0,0.9347517730496454
oliveira2010/ibt,1410,80.0,167.0,118.42269503546099,23.866259635994062,81.0,0.9985815602836879
percival2014/stem,1410,50.6664,156.605,102.13194241134752,22.965290288479707,72.0,0.9177304964539007
scheirer1998/percival2014,1312,61.3453,181.818,106.51150038109756,31.057940024175064,77.0,0.7225609756097561
schreiber2014/default,1410,56.34329,160.0796,99.91317564680851,22.73557216082198,68.0,0.9014184397163121
schreiber2017/ismir2017,1410,40.716465,203.92406,105.71503351276596,27.800452455396762,72.0,0.825531914893617
schreiber2017/mirex2017,1410,28.86164,193.35722,104.58738849503546,29.605712338808946,72.0,0.7865248226950354
schreiber2018/cnn,1410,41.0,204.0,111.5581560283688,31.168715220886238,74.0,0.7723404255319148
schreiber2018/fcn,1410,40.0,214.0,109.67021276595744,33.17373293868835,72.0,0.7524822695035461
schreiber2018/ismir2018,1410,56.0,204.0,110.56312056737589,28.177714471016834,74.0,0.8482269503546099
zplane/auftakt_v3,1410,65.0,171.0,108.30432624113475,25.578203099871196,79.0,0.8482269503546099
