Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,0.008759124087591242,0.00145985401459854,0.0,0.0,0.0,0.010218978102189781,0.0,0.00583941605839416,0.0,0.0,0.0,0.0,0.0,0.02335766423357664,0.021897810218978103,0.020437956204379562,0.0072992700729927005
0.0005,0.1708029197080292,0.15766423357664233,0.145985401459854,0.00291970802919708,0.12262773722627737,0.10948905109489052,0.05401459854014599,0.017518248175182483,0.10802919708029197,0.01897810218978102,0.17956204379562044,0.23065693430656933,0.24233576642335766,0.18248175182481752,0.1635036496350365,0.1678832116788321,0.1562043795620438
0.001,0.1897810218978102,0.31386861313868614,0.32992700729927005,0.004379562043795621,0.21313868613138687,0.17226277372262774,0.07883211678832117,0.032116788321167884,0.22627737226277372,0.04671532846715328,0.2934306569343066,0.3883211678832117,0.41021897810218977,0.2832116788321168,0.2569343065693431,0.2656934306569343,0.27153284671532846
0.0015,0.20437956204379562,0.4467153284671533,0.47007299270072994,0.0072992700729927005,0.2905109489051095,0.24671532846715327,0.14306569343065692,0.04525547445255475,0.32408759124087594,0.07007299270072993,0.37518248175182484,0.49635036496350365,0.5240875912408759,0.38248175182481753,0.3562043795620438,0.36496350364963503,0.3445255474452555
0.002,0.22627737226277372,0.5883211678832116,0.6014598540145986,0.010218978102189781,0.35766423357664234,0.27007299270072993,0.16934306569343066,0.05693430656934306,0.3897810218978102,0.09635036496350365,0.47153284671532847,0.5868613138686132,0.6262773722627737,0.41605839416058393,0.3854014598540146,0.4029197080291971,0.42773722627737226
0.0025,0.2569343065693431,0.6642335766423357,0.6817518248175183,0.016058394160583942,0.39854014598540144,0.362043795620438,0.22189781021897811,0.06277372262773723,0.4233576642335766,0.11094890510948906,0.5372262773722628,0.6875912408759124,0.7328467153284671,0.5240875912408759,0.48759124087591244,0.5153284671532846,0.48613138686131385
0.003,0.2773722627737226,0.7401459854014598,0.7503649635036497,0.020437956204379562,0.42773722627737226,0.4116788321167883,0.24379562043795622,0.07591240875912408,0.47737226277372263,0.13138686131386862,0.5678832116788322,0.727007299270073,0.7737226277372263,0.6335766423357664,0.5883211678832116,0.6262773722627737,0.5284671532846715
0.0035,0.32262773722627736,0.8043795620437956,0.8218978102189781,0.027737226277372264,0.44963503649635034,0.42627737226277373,0.327007299270073,0.08467153284671533,0.5007299270072992,0.145985401459854,0.5781021897810219,0.7532846715328467,0.8029197080291971,0.672992700729927,0.637956204379562,0.6627737226277373,0.5547445255474452
0.004,0.3518248175182482,0.8496350364963504,0.8715328467153285,0.030656934306569343,0.4656934306569343,0.4394160583941606,0.3708029197080292,0.0948905109489051,0.527007299270073,0.16058394160583941,0.5868613138686132,0.7708029197080292,0.8233576642335766,0.6934306569343066,0.6613138686131387,0.6832116788321168,0.5693430656934306
0.0045,0.4233576642335766,0.8759124087591241,0.8905109489051095,0.030656934306569343,0.472992700729927,0.47007299270072994,0.4029197080291971,0.10656934306569343,0.5386861313868613,0.16934306569343066,0.5941605839416059,0.7795620437956204,0.8321167883211679,0.7328467153284671,0.7007299270072993,0.7197080291970803,0.5766423357664233
0.005,0.4802919708029197,0.8992700729927007,0.9094890510948905,0.04817518248175182,0.4802919708029197,0.47883211678832116,0.45255474452554745,0.11240875912408758,0.5518248175182482,0.20145985401459854,0.6043795620437956,0.7970802919708029,0.8481751824817518,0.7532846715328467,0.7197080291970803,0.7386861313868613,0.5854014598540146
0.0055,0.5503649635036496,0.9211678832116789,0.9226277372262773,0.05547445255474453,0.491970802919708,0.5021897810218978,0.5211678832116788,0.12846715328467154,0.5547445255474452,0.23065693430656933,0.6145985401459854,0.8072992700729927,0.8569343065693431,0.7751824817518248,0.7416058394160584,0.7635036496350365,0.5941605839416059
0.006,0.5693430656934306,0.9284671532846716,0.9313868613138686,0.061313868613138686,0.49635036496350365,0.5138686131386861,0.5416058394160584,0.21751824817518248,0.5664233576642336,0.272992700729927,0.618978102189781,0.8131386861313868,0.8627737226277372,0.8,0.7605839416058394,0.7839416058394161,0.5970802919708029
0.0065,0.5737226277372263,0.9328467153284672,0.9372262773722628,0.06423357664233577,0.5094890510948905,0.5226277372262774,0.5518248175182482,0.22627737226277372,0.5722627737226277,0.291970802919708,0.621897810218978,0.8175182481751825,0.8671532846715329,0.8102189781021898,0.7722627737226277,0.7941605839416058,0.6014598540145986
0.007,0.5927007299270073,0.9372262773722628,0.9430656934306569,0.09197080291970802,0.5138686131386861,0.5328467153284672,0.6,0.2364963503649635,0.583941605839416,0.3051094890510949,0.6233576642335766,0.8189781021897811,0.8686131386861314,0.8218978102189781,0.7897810218978102,0.8058394160583942,0.6043795620437956
0.0075,0.6072992700729927,0.945985401459854,0.9474452554744526,0.11678832116788321,0.5167883211678832,0.5386861313868613,0.6087591240875913,0.2583941605839416,0.5927007299270073,0.31386861313868614,0.6321167883211679,0.8277372262773722,0.8788321167883212,0.8291970802919708,0.7970802919708029,0.8131386861313868,0.6087591240875913
0.008,0.6262773722627737,0.9503649635036496,0.948905109489051,0.12116788321167883,0.5197080291970803,0.5474452554744526,0.6102189781021898,0.2846715328467153,0.5970802919708029,0.32116788321167883,0.6364963503649635,0.8321167883211679,0.8832116788321168,0.8437956204379562,0.8116788321167884,0.8262773722627738,0.6131386861313869
0.0085,0.6496350364963503,0.9635036496350365,0.9532846715328467,0.13576642335766423,0.5211678832116788,0.5518248175182482,0.6116788321167883,0.31386861313868614,0.6,0.39124087591240875,0.6408759124087591,0.8350364963503649,0.8861313868613139,0.8569343065693431,0.8204379562043795,0.8350364963503649,0.6175182481751825
0.009,0.656934306569343,0.9664233576642336,0.9576642335766423,0.14744525547445256,0.5240875912408759,0.5576642335766423,0.6145985401459854,0.3781021897810219,0.602919708029197,0.3970802919708029,0.6437956204379562,0.8379562043795621,0.8890510948905109,0.8642335766423358,0.8321167883211679,0.8437956204379562,0.621897810218978
0.0095,0.6686131386861314,0.9664233576642336,0.9591240875912409,0.15766423357664233,0.527007299270073,0.5591240875912409,0.6160583941605839,0.38686131386861317,0.6058394160583942,0.4043795620437956,0.6452554744525547,0.8423357664233576,0.8934306569343066,0.8686131386861314,0.8335766423357664,0.8496350364963504,0.6233576642335766
0.01,0.689051094890511,0.9693430656934306,0.9605839416058394,0.16934306569343066,0.5299270072992701,0.5678832116788322,0.6175182481751825,0.44379562043795623,0.6058394160583942,0.4072992700729927,0.6467153284671533,0.8437956204379562,0.8948905109489051,0.8759124087591241,0.8423357664233576,0.8613138686131386,0.6291970802919709
0.0105,0.7708029197080292,0.9693430656934306,0.9664233576642336,0.18248175182481752,0.5328467153284672,0.5751824817518248,0.621897810218978,0.47153284671532847,0.6072992700729927,0.4321167883211679,0.6467153284671533,0.8437956204379562,0.8948905109489051,0.8832116788321168,0.8540145985401459,0.8656934306569343,0.6291970802919709
0.011,0.7781021897810219,0.9693430656934306,0.9678832116788321,0.18394160583941604,0.5386861313868613,0.5781021897810219,0.6233576642335766,0.491970802919708,0.6087591240875913,0.44233576642335765,0.6481751824817519,0.8452554744525548,0.8963503649635036,0.891970802919708,0.8613138686131386,0.8700729927007299,0.6321167883211679
0.0115,0.7897810218978102,0.9722627737226277,0.9693430656934306,0.18832116788321168,0.5416058394160584,0.581021897810219,0.6233576642335766,0.5021897810218978,0.6102189781021898,0.4467153284671533,0.6481751824817519,0.8452554744525548,0.8963503649635036,0.891970802919708,0.8671532846715329,0.8715328467153285,0.6335766423357664
0.012,0.7897810218978102,0.9737226277372263,0.9693430656934306,0.19416058394160585,0.5416058394160584,0.5854014598540146,0.6233576642335766,0.5124087591240876,0.6145985401459854,0.44963503649635034,0.6510948905109489,0.8467153284671532,0.8963503649635036,0.8963503649635036,0.8700729927007299,0.8802919708029197,0.635036496350365
0.0125,0.7970802919708029,0.9737226277372263,0.9693430656934306,0.2364963503649635,0.5430656934306569,0.5883211678832116,0.6233576642335766,0.5299270072992701,0.6160583941605839,0.4569343065693431,0.6510948905109489,0.8481751824817518,0.8978102189781022,0.9007299270072993,0.872992700729927,0.8846715328467153,0.6394160583941606
0.013,0.8,0.9737226277372263,0.9722627737226277,0.24525547445255474,0.545985401459854,0.5897810218978102,0.6248175182481752,0.5386861313868613,0.6204379562043796,0.46277372262773725,0.6525547445255474,0.8496350364963504,0.9007299270072993,0.9065693430656935,0.8759124087591241,0.8905109489051095,0.6423357664233577
0.0135,0.8102189781021898,0.9737226277372263,0.9722627737226277,0.310948905109489,0.5503649635036496,0.5941605839416059,0.6277372262773723,0.5503649635036496,0.621897810218978,0.472992700729927,0.6525547445255474,0.8496350364963504,0.9007299270072993,0.9124087591240876,0.8802919708029197,0.8948905109489051,0.6423357664233577
0.014,0.8116788321167884,0.9751824817518249,0.9722627737226277,0.3343065693430657,0.5503649635036496,0.5956204379562043,0.6277372262773723,0.5562043795620438,0.621897810218978,0.4744525547445255,0.654014598540146,0.8496350364963504,0.9021897810218978,0.9197080291970803,0.8846715328467153,0.9036496350364963,0.6437956204379562
0.0145,0.8145985401459854,0.9766423357664233,0.9751824817518249,0.345985401459854,0.5503649635036496,0.5970802919708029,0.6306569343065693,0.5605839416058395,0.6262773722627737,0.47883211678832116,0.654014598540146,0.8510948905109489,0.9036496350364963,0.9226277372262773,0.891970802919708,0.9065693430656935,0.6467153284671533
0.015,0.8175182481751825,0.9766423357664233,0.9751824817518249,0.35474452554744523,0.5503649635036496,0.5985401459854015,0.6306569343065693,0.5635036496350365,0.6262773722627737,0.48613138686131385,0.654014598540146,0.8510948905109489,0.9036496350364963,0.927007299270073,0.8934306569343066,0.910948905109489,0.6481751824817519
0.0155,0.8204379562043795,0.9766423357664233,0.9766423357664233,0.4072992700729927,0.5518248175182482,0.6014598540145986,0.6306569343065693,0.5693430656934306,0.6277372262773723,0.4905109489051095,0.654014598540146,0.8510948905109489,0.9036496350364963,0.9284671532846716,0.8948905109489051,0.9124087591240876,0.6510948905109489
0.016,0.8233576642335766,0.9766423357664233,0.9766423357664233,0.42043795620437957,0.5532846715328467,0.6043795620437956,0.6321167883211679,0.5708029197080292,0.6277372262773723,0.49635036496350365,0.654014598540146,0.8510948905109489,0.9036496350364963,0.9343065693430657,0.8978102189781022,0.9182481751824818,0.6510948905109489
0.0165,0.8233576642335766,0.9781021897810219,0.9766423357664233,0.4394160583941606,0.5532846715328467,0.6058394160583942,0.6321167883211679,0.5766423357664233,0.6291970802919709,0.5021897810218978,0.654014598540146,0.8510948905109489,0.9036496350364963,0.9343065693430657,0.8978102189781022,0.9197080291970803,0.6525547445255474
0.017,0.8262773722627738,0.9781021897810219,0.9766423357664233,0.4481751824817518,0.5532846715328467,0.6058394160583942,0.6321167883211679,0.583941605839416,0.6306569343065693,0.5021897810218978,0.654014598540146,0.8510948905109489,0.9036496350364963,0.9372262773722628,0.9021897810218978,0.9226277372262773,0.6554744525547446
0.0175,0.8277372262773722,0.9781021897810219,0.9781021897810219,0.46277372262773725,0.5547445255474452,0.6058394160583942,0.6335766423357664,0.583941605839416,0.6306569343065693,0.5051094890510949,0.654014598540146,0.8510948905109489,0.9036496350364963,0.9401459854014599,0.9036496350364963,0.9240875912408759,0.6554744525547446
0.018,0.8306569343065694,0.9781021897810219,0.9781021897810219,0.47883211678832116,0.5547445255474452,0.6072992700729927,0.6335766423357664,0.583941605839416,0.6335766423357664,0.5065693430656935,0.654014598540146,0.8525547445255475,0.9051094890510949,0.9416058394160584,0.9051094890510949,0.9240875912408759,0.6554744525547446
