Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,0.007478055908894649,0.024766406620897706,0.002406270511007975,-0.0009061152217014101,-1.0110260515457363e-05,-1.0110260515457363e-05,0.0,0.0,0.0
1,-0.9986770333406816,0.012611315883050369,-0.0026628385396014285,0.000782813624642746,-0.0002607675315878237,-0.0002607675315878237,0.0,0.0,0.0
2,-0.0032613820723354273,1.023633106565081,1.0018022426339854,0.0004882231135640702,2.9551676397903808e-05,1.000029551676398,1.0,1.0,1.0
3,0.0,0.013453326682677274,0.002225443147068983,-0.0010602293275969608,6.672449134216533e-06,6.672449134216533e-06,0.0,0.0,0.0
4,-1.0,0.03617507814770278,-0.0019609929066089007,-0.00023036869978592092,-0.00023036869978592092,-0.00023036869978592092,0.0,0.0,0.0
5,0.0,1.0134533266826773,0.002225443147068983,0.0010727858137180616,6.672449134216533e-06,6.672449134216533e-06,0.0,0.0,0.0
6,-0.0014996831297288827,1.0241999240334847,0.0025066116483246615,-0.000667541392019394,7.119618030839215e-05,7.119618030839215e-05,0.0,0.0,0.0
7,-1.0015309431113317,0.0055850833493378575,-0.9990319704415979,-0.4149660949277211,7.136792123234277e-05,7.136792123234277e-05,0.0,0.0,0.0
8,-0.004873122819294683,1.0022294211873624,0.0022260712594234246,0.0005523122611082856,-0.00010921279311994747,-0.00010921279311994747,1.0,1.0,0.0
9,-0.9411063109464314,0.07799302055530836,0.046520162923186094,-0.9618684116445337,-0.9564924826708455,-0.9564924826708455,0.03952836418663728,-0.9604716358133627,0.03952836418663728
10,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.00038947508426937465,-4.805364279834213e-05,-4.805364279834213e-05,0.0,0.0,0.0
11,0.0,0.012045132289868915,-0.0010853148002784307,-0.00013561970806976338,-0.00013561970806976338,-0.00013561970806976338,0.0,0.0,0.0
12,-0.0009494538288643808,1.0430589512848008,-9.49144596461497e-06,-3.0752511524579096e-05,-3.0752511524579096e-05,-3.0752511524579096e-05,0.0,0.0,0.0
13,-1.0,0.019104077232527907,0.005026239996700916,0.0021382199724105846,0.0015701535913714472,0.0015701535913714472,0.0,0.0,0.0
14,0.007478055908894649,0.024766406620897706,-0.0020348391593314782,-1.0110260515457363e-05,-1.0110260515457363e-05,-1.0110260515457363e-05,0.0,0.0,0.0
15,-0.004748088415443274,1.0361767531107,1.0015243291825422,0.5843934857785447,0.0005143321390983276,0.0005143321390983276,0.0,0.0,1.0
