τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,,,,,,
0.005,0.0015557254159752549,0.02188283028807074,0.00047802657710660794,0.0007673279854147251,0.0008000069348912392,0.0008000069348912392
0.01,0.00025528287463978493,0.02469856995536463,0.00026770047816856616,-0.01602957078821029,-0.016043177159948352,-0.016043177159948352
0.015,0.0006394413772890987,0.024616750885946302,0.0005216643407875461,-0.012505642935503622,-0.012650547043947495,-0.012650547043947495
0.02,0.0005589916662794493,0.02490399381467014,0.0004754288326749438,-0.010975647091418928,-0.010657718786015645,-0.010657718786015645
0.025,0.0005501765650768082,0.025132249990761725,0.00013253699946213853,-0.010790603007593784,-0.008879652178116058,-0.008879652178116058
0.03,0.000454650108168038,0.01864142671140063,0.00033721046382080615,-0.0016570768184709201,-0.007973681576228367,-0.007973681576228367
0.035,0.0008639134772507961,0.018825377718318093,0.00043422324788554924,-0.0006299300822209555,-0.0076494656280436096,-0.0076494656280436096
0.04,0.0010213270448634472,0.019159445143796083,0.00045751426158943426,-0.001049382911941201,-0.0072771845313839255,-0.0072771845313839255
0.045,0.0007672814391607206,0.019360596521487222,0.0005302133109051687,-0.0014158039064030882,-0.007287562321241195,-0.007287562321241195
0.05,0.0007827237008675114,0.019843025941930485,0.0003381622021334716,-0.004038890257622812,-0.006555576748811313,-0.006555576748811313
0.055,-0.005038912393633435,0.020177793186789413,0.0003889002706729634,-0.009846587543227609,-0.012286021520554762,-0.012286021520554762
0.06,-0.0034786211735175696,0.02170471211942837,0.0019357404910566526,-0.00821253697885139,-0.010537940080401787,-0.010537940080401787
0.065,-0.003433092810907058,0.03045700022993856,0.0016020827481549847,-0.005292815802677557,-0.010335677811615157,-0.010335677811615157
0.07,-0.003433092810907058,0.03045700022993856,0.0016020827481549847,-0.005292815802677557,-0.010335677811615157,-0.010335677811615157
0.075,-0.003639284901855507,0.031408574032156265,0.0018651785261098923,-0.0051675001039507415,-0.01016229354094828,-0.01016229354094828
0.08,0.002158130664167082,0.03776328263478985,0.008255968046188444,-0.005316586578034387,-0.009701134034194796,-0.009701134034194796
0.085,0.0009465203224296946,0.036180393826935366,0.006945109731025879,-0.006452996233886093,-0.010968786718856075,-0.010968786718856075
0.09,0.0011949597202837571,0.03574207426025596,0.0069946839432796564,-0.006384567809975158,-0.010663589104695911,-0.010663589104695911
0.095,0.0011796814642198738,0.03582674064541173,0.007050555903509004,-0.006243162958587703,-0.010481181712212184,-0.010481181712212184
0.1,0.0021123303914579675,0.03673166414231329,0.007524861276668007,-0.005427099624411328,-0.008532597033401371,-0.008532597033401371
0.105,0.0021123303914579675,0.03673166414231329,0.007524861276668007,-0.005427099624411328,-0.008532597033401371,-0.008532597033401371
0.11,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.115,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.12,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.125,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.13,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.135,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.14,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.145,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.15,0.0027505510483327236,0.04498752895555239,0.007646586937596279,-0.004110684882377896,-0.008063541872416783,-0.008063541872416783
0.155,0.003027130036140458,0.04489724619815705,0.003037065414114917,-0.003492335231561678,-0.00751469975176511,-0.00751469975176511
0.16,0.0023362813803270237,0.04337304333460631,0.0024500527463708283,-0.0052143651873754245,-0.008249412549459052,-0.008249412549459052
0.165,0.0021615883306949735,0.04543828388232582,0.0025772383878231897,-0.005462319739026633,-0.005685079563876528,-0.005685079563876528
0.17,0.0042136236224873235,0.048295565259274066,0.003817689976154066,-0.007327797870789232,-0.008075141339810998,-0.001351434238805561
