Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0
0.0005,0.29411764705882354,0.0,0.10784313725490197,0.20588235294117646,0.16666666666666666,0.16666666666666666
0.001,0.29411764705882354,0.0,0.16666666666666666,0.24509803921568626,0.27450980392156865,0.27450980392156865
0.0015,0.30392156862745096,0.0196078431372549,0.29411764705882354,0.2647058823529412,0.37254901960784315,0.37254901960784315
0.002,0.30392156862745096,0.049019607843137254,0.4019607843137255,0.3333333333333333,0.39215686274509803,0.39215686274509803
0.0025,0.30392156862745096,0.049019607843137254,0.49019607843137253,0.4215686274509804,0.5,0.5
0.003,0.3235294117647059,0.049019607843137254,0.5,0.4411764705882353,0.5098039215686274,0.5098039215686274
0.0035,0.3431372549019608,0.06862745098039216,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.5294117647058824
0.004,0.38235294117647056,0.06862745098039216,0.5490196078431373,0.47058823529411764,0.5490196078431373,0.5490196078431373
0.0045,0.38235294117647056,0.06862745098039216,0.5686274509803921,0.47058823529411764,0.5490196078431373,0.5490196078431373
0.005,0.4215686274509804,0.0784313725490196,0.5784313725490197,0.4803921568627451,0.5588235294117647,0.5588235294117647
0.0055,0.49019607843137253,0.0784313725490196,0.5784313725490197,0.4803921568627451,0.5588235294117647,0.5588235294117647
0.006,0.5098039215686274,0.0784313725490196,0.5784313725490197,0.5,0.5588235294117647,0.5588235294117647
0.0065,0.5098039215686274,0.08823529411764706,0.5784313725490197,0.5196078431372549,0.5588235294117647,0.5588235294117647
0.007,0.5098039215686274,0.10784313725490197,0.5784313725490197,0.5196078431372549,0.5882352941176471,0.5784313725490197
0.0075,0.5098039215686274,0.10784313725490197,0.5784313725490197,0.5196078431372549,0.5882352941176471,0.5784313725490197
0.008,0.5098039215686274,0.12745098039215685,0.6078431372549019,0.5196078431372549,0.5882352941176471,0.5784313725490197
0.0085,0.5196078431372549,0.13725490196078433,0.6078431372549019,0.5196078431372549,0.5980392156862745,0.5882352941176471
0.009,0.5392156862745098,0.14705882352941177,0.6078431372549019,0.5196078431372549,0.6078431372549019,0.5980392156862745
0.0095,0.5490196078431373,0.1568627450980392,0.6176470588235294,0.5392156862745098,0.6176470588235294,0.6078431372549019
0.01,0.5588235294117647,0.16666666666666666,0.6176470588235294,0.5392156862745098,0.6176470588235294,0.6078431372549019
0.0105,0.5588235294117647,0.16666666666666666,0.6176470588235294,0.5490196078431373,0.6176470588235294,0.6078431372549019
0.011,0.5588235294117647,0.17647058823529413,0.6274509803921569,0.5588235294117647,0.6176470588235294,0.6078431372549019
0.0115,0.5588235294117647,0.18627450980392157,0.6274509803921569,0.5588235294117647,0.6372549019607843,0.6176470588235294
0.012,0.5686274509803921,0.19607843137254902,0.6274509803921569,0.5588235294117647,0.6372549019607843,0.6176470588235294
0.0125,0.5784313725490197,0.19607843137254902,0.6372549019607843,0.5686274509803921,0.6372549019607843,0.6176470588235294
0.013,0.5784313725490197,0.19607843137254902,0.6372549019607843,0.5686274509803921,0.6372549019607843,0.6176470588235294
0.0135,0.5784313725490197,0.2549019607843137,0.6372549019607843,0.5686274509803921,0.6372549019607843,0.6176470588235294
0.014,0.5784313725490197,0.2647058823529412,0.6372549019607843,0.5686274509803921,0.6372549019607843,0.6176470588235294
0.0145,0.5882352941176471,0.28431372549019607,0.6372549019607843,0.5686274509803921,0.6470588235294118,0.6274509803921569
0.015,0.5882352941176471,0.28431372549019607,0.6372549019607843,0.5686274509803921,0.6470588235294118,0.6274509803921569
0.0155,0.5882352941176471,0.29411764705882354,0.6372549019607843,0.5784313725490197,0.6470588235294118,0.6274509803921569
0.016,0.5882352941176471,0.3137254901960784,0.6372549019607843,0.5784313725490197,0.6470588235294118,0.6274509803921569
0.0165,0.5980392156862745,0.3137254901960784,0.6372549019607843,0.5784313725490197,0.6470588235294118,0.6274509803921569
0.017,0.5980392156862745,0.3333333333333333,0.6372549019607843,0.5784313725490197,0.6470588235294118,0.6274509803921569
