Estimator,Accuracy1,Accuracy2
sun2021/default,0.8042168674698795,0.9096385542168675
schreiber2018/fcn,0.7981927710843374,0.9066265060240963
schreiber2017/mirex2017,0.7695783132530121,0.891566265060241
boeck2020/dar,0.7650602409638554,0.891566265060241
schreiber2018/cnn,0.7635542168674698,0.8930722891566265
schreiber2018/ismir2018,0.7349397590361446,0.8945783132530121
boeck2019/multi_task_hjdb,0.6912650602409639,0.8930722891566265
boeck2019/multi_task,0.6430722891566265,0.8885542168674698
schreiber2017/ismir2017,0.6234939759036144,0.8870481927710844
boeck2015/tempodetector2016_default,0.5798192771084337,0.8629518072289156
schreiber2014/default,0.5662650602409639,0.8689759036144579
percival2014/stem,0.5150602409638554,0.8855421686746988
davies2009/mirex_qm_tempotracker,0.26656626506024095,0.463855421686747
