Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.06354009077155824,0.0045385779122541605,0.009077155824508321,0.0,0.0,0.0,0.0,0.0,0.5249621785173979,0.5370650529500757,0.5325264750378215
0.001,0.15431164901664146,0.1346444780635401,0.16792738275340394,0.02118003025718608,0.11951588502269289,0.43267776096822996,0.4599092284417549,0.47655068078668683,0.5249621785173979,0.5370650529500757,0.5325264750378215
0.002,0.17095310136157338,0.2617246596066566,0.3086232980332829,0.05597579425113464,0.3040847201210287,0.4402420574886536,0.4689863842662632,0.4856278366111952,0.5249621785173979,0.5370650529500757,0.5325264750378215
0.003,0.2102874432677761,0.3494704992435703,0.39636913767019666,0.06354009077155824,0.3071104387291982,0.4523449319213313,0.4750378214826021,0.491679273827534,0.5249621785173979,0.5370650529500757,0.5325264750378215
0.004,0.4583963691376702,0.44780635400907715,0.4493192133131619,0.09531013615733737,0.32223903177004537,0.46142208774583965,0.4856278366111952,0.5022692889561271,0.5249621785173979,0.5370650529500757,0.5325264750378215
0.005,0.518910741301059,0.5325264750378215,0.5098335854765507,0.12102874432677761,0.3585476550680787,0.4826021180030257,0.49924357034795763,0.5173978819969742,0.5249621785173979,0.5370650529500757,0.5325264750378215
0.006,0.6096822995461422,0.5975794251134644,0.5975794251134644,0.12254160363086233,0.3767019667170953,0.5491679273827534,0.5779122541603631,0.5960665658093798,0.5748865355521936,0.5642965204236006,0.5688350983358548
0.007,0.632375189107413,0.6792738275340393,0.7004538577912254,0.17246596066565809,0.4508320726172466,0.6611195158850227,0.6475037821482602,0.6656580937972768,0.6187594553706506,0.6021180030257186,0.6111951588502269
0.008,0.6475037821482602,0.789712556732224,0.8124054462934948,0.19062027231467474,0.5627836611195158,0.8214826021180031,0.869894099848714,0.886535552193646,0.875945537065053,0.8683812405446294,0.8804841149773072
0.009,0.7140695915279879,0.8502269288956127,0.869894099848714,0.2102874432677761,0.735249621785174,0.8910741301059002,0.9167927382753404,0.9258698940998488,0.913767019667171,0.9122541603630863,0.9183055975794251
0.01,0.7231467473524962,0.8804841149773072,0.903177004538578,0.2481089258698941,0.7609682299546142,0.8940998487140696,0.9198184568835098,0.9288956127080181,0.9167927382753404,0.9152798789712556,0.9213313161875946
0.011,0.762481089258699,0.9046898638426626,0.924357034795764,0.27685325264750377,0.783661119515885,0.897125567322239,0.9228441754916793,0.9304084720121029,0.9228441754916793,0.9183055975794251,0.924357034795764
0.012,0.8063540090771558,0.9198184568835098,0.9409984871406959,0.2844175491679274,0.789712556732224,0.9122541603630863,0.9364599092284418,0.9440242057488654,0.9515885022692889,0.9485627836611196,0.9485627836611196
0.013,0.8214826021180031,0.924357034795764,0.9515885022692889,0.29046898638426627,0.81089258698941,0.9167927382753404,0.9394856278366112,0.9470499243570348,0.9561270801815431,0.9531013615733737,0.9515885022692889
0.014,0.8260211800302572,0.9304084720121029,0.9576399394856279,0.3207261724659607,0.859304084720121,0.9258698940998488,0.9440242057488654,0.9515885022692889,0.9606656580937972,0.9591527987897126,0.9561270801815431
0.015,0.8668683812405447,0.9394856278366112,0.9652042360060514,0.32829046898638425,0.8623298033282905,0.9425113464447806,0.9652042360060514,0.9742813918305597,0.983358547655068,0.9803328290468987,0.9788199697428139
0.016,0.9167927382753404,0.9455370650529501,0.9667170953101362,0.33434190620272314,0.8729198184568835,0.9440242057488654,0.9652042360060514,0.9742813918305597,0.989409984871407,0.9848714069591528,0.9818456883509834
0.017,0.9183055975794251,0.9515885022692889,0.9697428139183056,0.35098335854765506,0.875945537065053,0.9440242057488654,0.9652042360060514,0.9742813918305597,0.989409984871407,0.9848714069591528,0.9818456883509834
0.018,0.9531013615733737,0.9591527987897126,0.972768532526475,0.40242057488653554,0.8789712556732224,0.9440242057488654,0.9652042360060514,0.9742813918305597,0.989409984871407,0.9863842662632375,0.9863842662632375
0.019,0.9546142208774584,0.962178517397882,0.9757942511346445,0.42208774583963693,0.8804841149773072,0.9440242057488654,0.9652042360060514,0.9742813918305597,0.989409984871407,0.9863842662632375,0.9863842662632375
0.02,0.9546142208774584,0.9652042360060514,0.9757942511346445,0.4281391830559758,0.8804841149773072,0.9440242057488654,0.9667170953101362,0.9757942511346445,0.989409984871407,0.9863842662632375,0.9863842662632375
0.021,0.9652042360060514,0.9652042360060514,0.9773071104387292,0.43116490166414523,0.8804841149773072,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.989409984871407,0.9863842662632375,0.9863842662632375
0.022,0.9652042360060514,0.9667170953101362,0.9788199697428139,0.44175491679273826,0.8804841149773072,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.9909228441754917,0.9863842662632375,0.9863842662632375
0.023,0.9697428139183056,0.9667170953101362,0.9788199697428139,0.44478063540090773,0.8804841149773072,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.9909228441754917,0.9863842662632375,0.9863842662632375
0.024,0.9712556732223904,0.9667170953101362,0.9788199697428139,0.44780635400907715,0.8804841149773072,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.9909228441754917,0.989409984871407,0.9878971255673222
0.025,0.9742813918305597,0.9682299546142209,0.9788199697428139,0.4583963691376702,0.8835098335854765,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.9909228441754917,0.989409984871407,0.9878971255673222
0.026,0.9742813918305597,0.9697428139183056,0.9788199697428139,0.4856278366111952,0.886535552193646,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.9909228441754917,0.989409984871407,0.9878971255673222
0.027,0.9742813918305597,0.972768532526475,0.9788199697428139,0.4886535552193646,0.886535552193646,0.9455370650529501,0.9667170953101362,0.9773071104387292,0.9909228441754917,0.989409984871407,0.9878971255673222
0.028,0.9742813918305597,0.972768532526475,0.9788199697428139,0.5052950075642966,0.886535552193646,0.9455370650529501,0.9697428139183056,0.9803328290468987,0.9924357034795764,0.9909228441754917,0.989409984871407
0.029,0.9742813918305597,0.972768532526475,0.9788199697428139,0.5052950075642966,0.886535552193646,0.9455370650529501,0.9697428139183056,0.9803328290468987,0.9924357034795764,0.9909228441754917,0.989409984871407
0.03,0.9742813918305597,0.9742813918305597,0.9788199697428139,0.5068078668683812,0.8880484114977307,0.9455370650529501,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9909228441754917,0.989409984871407
0.031,0.9742813918305597,0.9742813918305597,0.9803328290468987,0.5128593040847201,0.8880484114977307,0.9485627836611196,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9909228441754917,0.989409984871407
0.032,0.9742813918305597,0.9742813918305597,0.9803328290468987,0.5143721633888049,0.8880484114977307,0.9485627836611196,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9924357034795764,0.989409984871407
0.033,0.9742813918305597,0.9742813918305597,0.9818456883509834,0.5279878971255674,0.8880484114977307,0.9485627836611196,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9924357034795764,0.9909228441754917
0.034,0.9742813918305597,0.9742813918305597,0.9818456883509834,0.5279878971255674,0.8880484114977307,0.9485627836611196,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9924357034795764,0.9909228441754917
0.035,0.9742813918305597,0.9742813918305597,0.9818456883509834,0.529500756429652,0.8880484114977307,0.9485627836611196,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9924357034795764,0.9909228441754917
0.036,0.9742813918305597,0.9757942511346445,0.9818456883509834,0.5310136157337367,0.8880484114977307,0.9485627836611196,0.9712556732223904,0.9818456883509834,0.9924357034795764,0.9924357034795764,0.9909228441754917
