Estimator,Accuracy1,Accuracy2
boeck2015/tempodetector2016_default,0.46543778801843316,0.6728110599078341
boeck2019/multi_task,0.4470046082949309,0.6451612903225806
boeck2019/multi_task_hjdb,0.4423963133640553,0.6221198156682027
schreiber2017/mirex2017,0.4423963133640553,0.5622119815668203
schreiber2018/fcn,0.35944700460829493,0.4792626728110599
schreiber2017/ismir2017,0.3548387096774194,0.543778801843318
schreiber2014/default,0.35023041474654376,0.5483870967741935
schreiber2018/cnn,0.34101382488479265,0.511520737327189
schreiber2018/ismir2018,0.30414746543778803,0.4792626728110599
percival2014/stem,0.2764976958525346,0.45622119815668205
davies2009/mirex_qm_tempotracker,0.1336405529953917,0.31797235023041476
