Estimator,Spoken,Soul-RnB,Rock,Pop,Old-Time / Historic,Jazz,International,Instrumental,Hip-Hop,Folk,Experimental,Electronic,Easy Listening,Country,Classical,Blues
boeck2015/tempodetector2016_default,0.13559322033898305,0.6623376623376623,0.6099360550909986,0.5483870967741935,0.4019607843137255,0.3411458333333333,0.4444444444444444,0.3553008595988539,0.48705096073517123,0.5752895752895753,0.2514011208967174,0.5088478915662651,0.8095238095238095,0.6910112359550562,0.3893376413570275,0.581081081081081
davies2009/mirex_qm_tempotracker,0.1016949152542373,0.6428571428571429,0.5930480406624037,0.5,0.3137254901960784,0.2864583333333333,0.3888888888888889,0.3553008595988539,0.23809523809523808,0.5366795366795367,0.22898318654923938,0.5045180722891566,0.6666666666666666,0.5561797752808989,0.3360258481421648,0.40540540540540543
percival2014/stem,0.01694915254237288,0.0,0.020823085751762584,0.021505376344086023,0.043137254901960784,0.0234375,0.05555555555555555,0.022922636103151862,0.002506265664160401,0.03088803088803089,0.02241793434747798,0.005082831325301205,0.047619047619047616,0.011235955056179775,0.05492730210016155,0.013513513513513514
schreiber2014/default,0.19491525423728814,0.7662337662337663,0.7716019019511395,0.6344086021505376,0.43137254901960786,0.3828125,0.5555555555555556,0.4670487106017192,0.7986633249791144,0.6312741312741312,0.31625300240192156,0.6775225903614458,0.7619047619047619,0.8089887640449438,0.37318255250403876,0.7162162162162162
schreiber2017/ismir2017,0.11016949152542373,0.7207792207792207,0.632234792588949,0.5698924731182796,0.30392156862745096,0.28125,0.3333333333333333,0.39255014326647564,0.41687552213868,0.5308880308880309,0.2642113690952762,0.6121987951807228,0.6666666666666666,0.5674157303370787,0.3360258481421648,0.527027027027027
schreiber2017/mirex2017,0.11016949152542373,0.6753246753246753,0.6122315133628463,0.5483870967741935,0.2784313725490196,0.2734375,0.3333333333333333,0.3868194842406877,0.3868003341687552,0.49034749034749037,0.2594075260208166,0.6025978915662651,0.5714285714285714,0.5,0.3134087237479806,0.4864864864864865
