Estimator,ternary,swing,no_ternary,no_swing,9/8,5/4,4/4,3/4,2/4,12/8
boeck2015/tempodetector2016_default,0.8064516129032258,0.949438202247191,0.9463364293085655,0.940389294403893,1.0,1.0,0.9597765363128492,0.8409090909090909,0.8571428571428571,0.7777777777777778
boeck2019/multi_task,0.7741935483870968,0.9213483146067416,0.9391124871001032,0.9367396593673966,0.75,1.0,0.9564245810055866,0.7272727272727273,0.8571428571428571,0.7777777777777778
boeck2019/multi_task_hjdb,0.7741935483870968,0.9213483146067416,0.9411764705882353,0.9391727493917275,0.75,1.0,0.9575418994413408,0.75,0.8571428571428571,0.7777777777777778
boeck2020/dar,0.8709677419354839,0.9550561797752809,0.9545923632610939,0.9513381995133819,0.75,1.0,0.964245810055866,0.8636363636363636,0.8571428571428571,0.8888888888888888
davies2009/mirex_qm_tempotracker,0.7741935483870968,0.8876404494382022,0.8895768833849329,0.8856447688564477,0.75,1.0,0.906145251396648,0.6590909090909091,0.8571428571428571,0.7777777777777778
echonest/version_3_2_1,0.4838709677419355,0.7921348314606742,0.868937048503612,0.8710462287104623,0.5,0.5,0.8972067039106145,0.45454545454545453,0.7142857142857143,0.48148148148148145
gkiokas2012/default,0.8387096774193549,0.9157303370786517,0.9226006191950464,0.9209245742092458,0.75,1.0,0.9374301675977653,0.75,0.8571428571428571,0.8518518518518519
klapuri2006/percival2014,0.6774193548387096,0.8932584269662921,0.9174406604747162,0.9136253041362531,0.5,0.5,0.9385474860335196,0.6818181818181818,0.7142857142857143,0.7037037037037037
oliveira2010/ibt,0.6451612903225806,0.8202247191011236,0.8679050567595459,0.8698296836982968,0.25,1.0,0.8916201117318435,0.5454545454545454,0.5714285714285714,0.7037037037037037
percival2014/stem,0.8064516129032258,0.949438202247191,0.9318885448916409,0.9233576642335767,0.75,0.5,0.9463687150837988,0.8409090909090909,0.7142857142857143,0.8148148148148148
scheirer1998/percival2014,0.6451612903225806,0.7808988764044944,0.760577915376677,0.7518248175182481,0.5,0.5,0.7776536312849162,0.5227272727272727,0.7142857142857143,0.6666666666666666
schreiber2014/default,0.5806451612903226,0.8707865168539326,0.9277605779153767,0.927007299270073,0.5,1.0,0.9474860335195531,0.6590909090909091,0.7142857142857143,0.5925925925925926
schreiber2017/ismir2017,0.7419354838709677,0.9101123595505618,0.9298245614035088,0.927007299270073,0.5,1.0,0.9463687150837988,0.6818181818181818,0.8571428571428571,0.7777777777777778
schreiber2017/mirex2017,0.967741935483871,0.9719101123595506,0.9432404540763674,0.9379562043795621,1.0,1.0,0.9553072625698324,0.75,1.0,0.9629629629629629
schreiber2018/cnn,0.8709677419354839,0.9438202247191011,0.9380804953560371,0.9343065693430657,0.75,1.0,0.9519553072625698,0.75,0.7142857142857143,0.8888888888888888
schreiber2018/fcn,0.8709677419354839,0.9550561797752809,0.9287925696594427,0.9209245742092458,0.5,1.0,0.9452513966480447,0.7045454545454546,0.7142857142857143,0.9259259259259259
schreiber2018/ismir2018,0.6451612903225806,0.8876404494382022,0.9287925696594427,0.927007299270073,0.5,1.0,0.9452513966480447,0.75,0.5714285714285714,0.6666666666666666
sun2021/default,0.6129032258064516,0.8707865168539326,0.9226006191950464,0.9221411192214112,0.5,1.0,0.9374301675977653,0.7272727272727273,0.8571428571428571,0.6296296296296297
zplane/auftakt_v3,0.5483870967741935,0.8595505617977528,0.8885448916408669,0.8819951338199513,0.5,0.5,0.9050279329608939,0.7272727272727273,0.5714285714285714,0.5555555555555556
