Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,0.5435478438647333,1.0,5.489274750719189e-10,0.503001432513255,0.06796849574608509,8.972968634651378e-06,3.4102996363516933e-15,0.2657093855138451,6.777150498117704e-34,0.6702557466751697,1.6654967226063093e-08,2.1283242907099306e-34,4.571363864550507e-13,4.262191597843651e-12,0.005720312248297294,0.003108312083100435
boeck2019/multi_task,0.5435478438647333,1.0,0.1550019040032604,6.3991526559254976e-12,0.19001098064722186,0.01241933065155227,9.161770183042997e-09,4.247431318069387e-19,0.03684749129266991,1.449469966704633e-37,0.9455001829265571,1.6734075605840342e-08,3.7021195496412684e-41,1.3878815385209863e-10,2.3734476296409903e-09,0.04007013805518134,4.706677539152195e-05
boeck2019/multi_task_hjdb,1.0,0.1550019040032604,1.0,1.7525924338058108e-09,0.5411260244716681,0.0675944440595357,2.1354270762630083e-06,6.160369092615638e-16,0.22948616223730883,7.4552420038432994e-34,0.5692136494737109,1.2053448492403541e-09,8.404135534125865e-38,1.1941390484468025e-12,2.7713594959911145e-11,0.0047563468912565346,0.001176382019446791
davies2009/mirex_qm_tempotracker,5.489274750719189e-10,6.3991526559254976e-12,1.7525924338058108e-09,1.0,6.193339831497956e-08,9.539558668242278e-05,0.07267036753477295,0.0038000681640787794,6.575191831628699e-07,1.0073910326392594e-13,2.82267854994497e-10,5.406567467520608e-30,1.1539201999188098e-76,5.847792709638494e-36,4.5171942956235745e-29,1.3485391868370597e-19,0.0025499854009063665
echonest/version_3_2_1,0.503001432513255,0.19001098064722186,0.5411260244716681,6.193339831497956e-08,1.0,0.23597848006839703,7.172080318185961e-05,5.443492091588726e-14,0.6490343491133049,2.651518037445755e-30,0.21432658970792742,6.217047190461274e-11,3.1134233359567496e-39,3.7286040524440326e-14,1.2000525736665156e-12,0.0007117410518086109,0.017237539485896958
gkiokas2012/default,0.06796849574608509,0.01241933065155227,0.0675944440595357,9.539558668242278e-05,0.23597848006839703,1.0,0.006839778100988409,1.0456592209918832e-09,0.4541348486910233,8.867346533215047e-27,0.008376640764148617,2.646458265870597e-13,4.414732776457414e-44,9.073635761957414e-17,7.032300768867021e-16,2.784999974555475e-06,0.24102816726442872
klapuri2006/percival2014,8.972968634651378e-06,9.161770183042997e-09,2.1354270762630083e-06,0.07267036753477295,7.172080318185961e-05,0.006839778100988409,1.0,8.094646017028806e-07,5.744711919156856e-06,7.791185388480574e-19,1.4196997347068632e-09,1.1492772977788086e-26,2.9381368764535426e-72,7.758685183797579e-29,3.2619035032647974e-24,2.5381543396496056e-17,0.08987584527548031
oliveira2010/ibt,3.4102996363516933e-15,4.247431318069387e-19,6.160369092615638e-16,0.0038000681640787794,5.443492091588726e-14,1.0456592209918832e-09,8.094646017028806e-07,1.0,1.562516066667709e-13,6.361622641129396e-08,2.3849454285445717e-18,2.166066242806395e-38,4.3294420677717064e-88,1.6047834203033445e-44,1.2913548723573054e-35,5.6930113628039396e-30,7.317085687833395e-10
percival2014/stem,0.2657093855138451,0.03684749129266991,0.22948616223730883,6.575191831628699e-07,0.6490343491133049,0.4541348486910233,5.744711919156856e-06,1.562516066667709e-13,1.0,2.4036106182453868e-30,0.02101625622751867,4.68682611569225e-13,7.692580071453439e-53,1.5259462385517055e-14,4.710719188472666e-13,1.984152777110951e-05,0.036126382368624865
scheirer1998/percival2014,6.777150498117704e-34,1.449469966704633e-37,7.4552420038432994e-34,1.0073910326392594e-13,2.651518037445755e-30,8.867346533215047e-27,7.791185388480574e-19,6.361622641129396e-08,2.4036106182453868e-30,1.0,9.390600557185206e-37,2.1915483048518837e-59,3.169604437276778e-118,9.766096096164558e-65,2.709609425824574e-60,4.244448229319889e-46,3.9978445502452273e-22
