τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,
0.005,,,,,,,,,
0.01,-0.000535320505618498,0.01770336822898115,0.00026655929858941945,-0.07455978116713097,-0.2303667825410699,-0.2303667825410699,0.46036760122629095,0.3876250103100808,0.30829430952838555
0.015,-0.04403475194796419,0.07932118227386457,-0.1441769415688943,-0.27368534838642056,-0.2527664002118226,-0.2527664002118226,0.10786464300784511,0.02529352336741925,0.0595711987121938
0.02,-0.03154901913362711,0.09919750859546693,-0.11380009534678259,-0.242397955081718,-0.25423617754804684,-0.25423617754804684,0.10529054752619527,0.018615857730079607,0.060540998402009556
0.025,-0.03549987094641919,0.0821054579460958,-0.13268474023716892,-0.26135732562021985,-0.2631131206746009,-0.2631131206746009,0.08088601509120436,0.007731896622905639,0.045496674177610705
0.03,-0.025845876434463178,0.09355668697922927,-0.13240195802064922,-0.2613841645311042,-0.26262825640925935,-0.26262825640925935,0.07587917878353843,0.007130382984983662,0.04235650331114849
0.035,-0.0317549593967355,0.10422024260437403,-0.13288355967386903,-0.2687491919586598,-0.2638127865989109,-0.2638127865989109,0.05772401274767532,-0.008027684425432594,0.04009408920695033
0.04,-0.03026182950144445,0.12177392710393367,-0.12803563751938576,-0.26653699554565136,-0.2547490822682191,-0.2547490822682191,0.06267323516927435,-0.00817480288460119,0.04618397714255305
0.045,-0.03009054366225151,0.12106359099473034,-0.12712308488390364,-0.26536831902524827,-0.25961964910239593,-0.25961964910239593,0.06245652330096988,-0.007916024564624624,0.04607793143550173
0.05,-0.02981004880209495,0.12628041482257332,-0.1321246915082605,-0.26186783214905507,-0.25603566640891456,-0.25603566640891456,0.0612695748357974,-0.007826360174488308,0.05208346383118655
0.055,-0.02926187655650938,0.12415941475451148,-0.12955512992610854,-0.2573365861699564,-0.25083206466933833,-0.25083206466933833,0.060309224766828096,-0.007707096368322539,0.050959797266802595
0.06,-0.029066379490128927,0.13009672761323515,-0.12867858107194474,-0.25638581176113506,-0.24905345340001026,-0.24905345340001026,0.06007634771563926,-0.008357643662844411,0.049930753884312166
0.065,-0.029066379490128927,0.13009672761323515,-0.12867858107194474,-0.25638581176113506,-0.24905345340001026,-0.24905345340001026,0.06007634771563926,-0.008357643662844411,0.049930753884312166
0.07,-0.028680834686499124,0.14153206483421898,-0.12697217848276574,-0.2531312572494619,-0.23954902043195972,-0.23954902043195972,0.05938899446534888,-0.008402096007741727,0.04926389537480977
0.075,-0.028376731269424596,0.1408534402391851,-0.1260387862856308,-0.2524101196302824,-0.23773859838834846,-0.23773859838834846,0.0592866835204077,-0.008075349418043087,0.049225667335504916
0.08,-0.028376731269424596,0.1408534402391851,-0.1260387862856308,-0.2524101196302824,-0.23773859838834846,-0.23773859838834846,0.0592866835204077,-0.008075349418043087,0.049225667335504916
0.085,-0.028065261996575237,0.13938829473443043,-0.12447730222782698,-0.24938175599183388,-0.24722541410882962,-0.24722541410882962,0.05864360152508512,-0.00787640600163504,0.04861191028893358
0.09,-0.033745443608290016,0.1373225670717713,-0.12831443286089744,-0.2510294666768853,-0.2488230942102728,-0.2488230942102728,0.05757286504431332,-0.007672701046665361,0.04772580616220137
0.095,-0.033745443608290016,0.1373225670717713,-0.12831443286089744,-0.2510294666768853,-0.2488230942102728,-0.2488230942102728,0.05757286504431332,-0.007672701046665361,0.04772580616220137
0.1,-0.033745443608290016,0.1373225670717713,-0.12831443286089744,-0.2510294666768853,-0.2488230942102728,-0.2488230942102728,0.05757286504431332,-0.007672701046665361,0.04772580616220137
0.105,-0.03296388274389743,0.13560605644864507,-0.13183832128140005,-0.24978372219284117,-0.2502844125401524,-0.2502844125401524,0.0573478879324765,-0.008922841264540937,0.046956025237060085
0.11,-0.032737632799051786,0.13513812234124312,-0.13100795388858183,-0.2484388712469541,-0.2489331431366127,-0.2489331431366127,0.056974531338397166,-0.008985326983051711,0.04664489536570782
0.115,-0.032737632799051786,0.13513812234124312,-0.13100795388858183,-0.2484388712469541,-0.2489331431366127,-0.2489331431366127,0.056974531338397166,-0.008985326983051711,0.04664489536570782
0.12,-0.032737632799051786,0.13513812234124312,-0.13100795388858183,-0.2484388712469541,-0.2489331431366127,-0.2489331431366127,0.056974531338397166,-0.008985326983051711,0.04664489536570782
0.125,-0.032737632799051786,0.13513812234124312,-0.13100795388858183,-0.2484388712469541,-0.2489331431366127,-0.2489331431366127,0.056974531338397166,-0.008985326983051711,0.04664489536570782
0.13,-0.03206484665019856,0.13369425199342566,-0.1443741519424138,-0.25090770749851815,-0.2607771559202058,-0.2607771559202058,0.05208969159965018,-0.014672300415420508,0.04358219304723213
0.135,-0.03206484665019856,0.13369425199342566,-0.1443741519424138,-0.25090770749851815,-0.2607771559202058,-0.2607771559202058,0.05208969159965018,-0.014672300415420508,0.04358219304723213
0.14,-0.03193580513111236,0.1330610345684182,-0.143521899003322,-0.2495150496940459,-0.2593432369421828,-0.2593432369421828,0.051723706423149045,-0.014645567991832998,0.04326625197986286
0.145,-0.03193580513111236,0.1330610345684182,-0.143521899003322,-0.2495150496940459,-0.2593432369421828,-0.2593432369421828,0.051723706423149045,-0.014645567991832998,0.04326625197986286
0.15,-0.03193580513111236,0.1330610345684182,-0.143521899003322,-0.2495150496940459,-0.2593432369421828,-0.2593432369421828,0.051723706423149045,-0.014645567991832998,0.04326625197986286
0.155,-0.03193580513111236,0.1330610345684182,-0.143521899003322,-0.2495150496940459,-0.2593432369421828,-0.2593432369421828,0.051723706423149045,-0.014645567991832998,0.04326625197986286
0.16,-0.03193580513111236,0.1330610345684182,-0.143521899003322,-0.2495150496940459,-0.2593432369421828,-0.2593432369421828,0.051723706423149045,-0.014645567991832998,0.04326625197986286
0.165,-0.03713345251660069,0.13183382727076448,-0.15333530712747837,-0.2597206296726408,-0.2621382756949141,-0.2621382756949141,0.051176674728546805,-0.02017945245999065,0.040006416051103416
0.17,-0.03952923891410581,0.12881653051572164,-0.15501895542657168,-0.261624304293041,-0.26302720447374106,-0.26302720447374106,0.04850865712511366,-0.022435006900484274,0.037402966416904056
0.175,-0.03927185619673571,0.12817563370929888,-0.15987623932810135,-0.2620998917637589,-0.261557052337976,-0.261557052337976,0.048260074922718124,-0.022342464449141966,0.037084475659251964
0.18,-0.03914736309417694,0.12761578012080074,-0.15901596655632294,-0.2607726492203154,-0.2601273686957759,-0.2601273686957759,0.04795015736665357,-0.02224893892308159,0.036838418670407234
0.185,-0.03914736309417694,0.12761578012080074,-0.15901596655632294,-0.2607726492203154,-0.2601273686957759,-0.2601273686957759,0.04795015736665357,-0.02224893892308159,0.036838418670407234
0.19,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.195,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.2,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.205,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.21,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.215,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.22,-0.03888594793464202,0.12707571536395834,-0.1581116484402873,-0.2592640859760981,-0.25863089241306453,-0.25863089241306453,0.047689658731854496,-0.02211057905623444,0.03656946379649801
0.225,-0.044227546815551674,0.1265821740569828,-0.16275612297128633,-0.26343989594708056,-0.2572274952417037,-0.2572274952417037,0.04738180872035886,-0.027615365892534882,0.03661248454011064
0.23,-0.044227546815551674,0.1265821740569828,-0.16275612297128633,-0.26343989594708056,-0.2572274952417037,-0.2572274952417037,0.04738180872035886,-0.027615365892534882,0.03661248454011064
