Item,davies2009/mirex_qm_tempotracker,boeck2019/multi_task_hjdb,boeck2019/multi_task,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
SMC_001.jams,1.017873993102593,0.9950753806948679,0.9925178102148359,0.025123316868607113,0.9953759734745549,0.9650023244310361,0.9976029171117948,-0.009841096341195463,0.990158873493772,-0.004624026525445091,0.9877782467287393
SMC_002.jams,0.6046171665721488,0.5733018081293931,0.5787803097621607,1.5471042911789499,0.5242643148208386,0.7640913294933072,0.5771359834923955,0.5278520073592894,0.5278520073592894,1.56623796054815,0.5278520073592894
SMC_003.jams,1.0780738704890802,0.016111740136750517,1.0398346509214884,1.0724854372118033,1.0724854372118033,1.1605416138769995,1.0780738704890802,0.98693231595817,0.98693231595817,1.0710723166501799,0.015352635872156187
SMC_004.jams,1.1103196478287296,0.15343733695388054,0.047449703015606734,0.025234969200080417,0.23334316453028092,0.23334316453028092,-0.1339885828309765,0.18563021493336668,0.18563021493336668,1.3604343278151239,0.1785926146734075
SMC_005.jams,2.3801402508151166,1.038933500281233,1.0279286373075083,1.1315565607429536,1.0105411597815877,1.0284630677788498,0.9687119672147773,0.038015145463935494,1.0380151454639355,0.9914804258671,1.0380151454639355
SMC_006.jams,1.4219272479282912,-0.18798761513471057,-0.1917758756244184,0.5054506034905744,0.48582179674164183,0.48582179674164183,0.0020221231003480773,0.9911284878844843,0.5760909421949574,-0.17574401937996356,1.0161625434220618
SMC_007.jams,1.154293694840542,0.06415373398001194,0.09032637797331654,0.7212851544703711,0.6002697535090051,0.7212851544703711,0.7871743486348844,-0.0047337137275928545,-0.0047337137275928545,0.0089816145384343,0.07724768364966142
SMC_008.jams,0.0541550297163649,-0.5704950818432698,-0.5828101633454534,-0.579921884020627,0.03674947642786734,0.005040616700529179,-0.974798451643891,-0.5777836320358077,-0.5777836320358077,-0.5654078874472372,-0.5803101815360068
SMC_009.jams,0.7303401491152697,0.5918795680506821,0.5925677126098241,1.6117036924256583,0.5946301790667166,1.5860170487620087,0.010216313377313435,0.5943319912778001,0.5943319912778001,1.5831633938411698,0.5943319912778001
SMC_010.jams,0.05320722556202245,-0.01568043969583327,-0.024653758761631207,0.006980157715338718,0.006980157715338718,0.006980157715338718,-0.006573444441531056,0.029044191645484437,0.029044191645484437,0.024115389328054737,0.018089680468937424
SMC_011.jams,1.099888725150846,0.04479090793347921,0.04177145299937773,0.06485986390902618,0.0499095224430546,0.06485986390902618,0.058860968358983676,0.040523781921409714,0.040523781921409714,0.038442737217507766,0.06124816304395376
SMC_012.jams,0.0858050642222344,0.019666335827740355,0.023588925870999308,0.0007211672436492487,0.0007211672436492487,0.0007211672436492487,0.016641937029206553,-0.014083522924063462,-0.014083522924063462,0.04239919849352,0.0016838034963978666
SMC_013.jams,0.8479108151672137,-0.023081366466303165,-0.027222857386918934,-0.025994509044609024,-0.025994509044609024,-0.025994509044609024,-8.960881227627261e-05,-0.01578215612100155,-0.01578215612100155,-0.029836575339003274,-0.036967371128788465
SMC_014.jams,0.21139365892291273,-0.8461656157919049,0.0797640753511977,-0.10127310585407004,0.15184583111464114,-0.024311124039185922,-0.16516972045739586,0.1442892376543439,0.1442892376543439,0.13029396714871608,-0.04882538551644083
SMC_015.jams,2.2854400391718936,1.28806733580886,1.257654556320334,1.2492632860611936,1.2492632860611936,1.2492632860611936,1.2265432095611102,1.1688917606284965,1.1688917606284965,2.2377965008356466,1.2969262230839775
