Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
schreiber2018/fcn,0.02310775151293625,0.365758705537513,-0.0024946581256179647,0.08740386173386272
schreiber2017/mirex2017,-0.04229899720992228,0.38152070972174473,-0.005529362421851737,0.09386959253910482
boeck2020/dar,-0.027578840568137756,0.3905445228787773,-0.005982680925239232,0.09317157004214699
schreiber2018/cnn,-0.011801873890369928,0.39098569339351974,-0.005152721030010226,0.09814470804096348
schreiber2018/ismir2018,-0.0744301078229257,0.4235627945068696,-0.004527942914373222,0.09171297084792158
boeck2019/multi_task_hjdb,-0.13508118295070098,0.4633223500299973,0.0028479774419513377,0.09775752562056654
boeck2019/multi_task,-0.21095303828021397,0.48185656370040386,0.0016522704568979227,0.09946903396811105
schreiber2017/ismir2017,-0.21062908878174771,0.4932508290642412,-0.004303787576928445,0.09711748360524933
schreiber2014/default,-0.2953339689218052,0.49824213767038644,-0.005552285940963598,0.1087858169736556
percival2014/stem,-0.3715970339235178,0.5214945335659357,0.012950932948296466,0.10029722046614259
davies2009/mirex_qm_tempotracker,-0.24660924520488123,0.5271455567975222,0.17507750178307058,0.23038668027265707
boeck2015/tempodetector2016_default,-0.33800677915115956,0.6086753426807566,-0.01625435064711922,0.11922995341632366
