τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,,,
0.005,0.14002247269795795,-0.0011930852945667434,0.059533169120472684,0.09932305860673701,0.3486334848077764,0.17775782827417522,0.2988409389493844,0.27696110392978085,0.3658178621135813,0.19069724323026008,0.25991677066621954,0.14851455142567815,0.07678839394191427,0.06097859906932757,0.25553280351703844,0.18342445448616632,0.2184922759895451,0.11087669942359717,0.25208550101937116
0.01,-0.02052139309170957,-0.0833560354859367,-0.09344921393669604,0.019169205021021915,0.08233032540285595,-0.039203318895715,-0.014218441900585278,0.0017568230291757443,0.06972657506737628,-0.08093116622448547,-0.06808647767917461,-0.08645587262414318,-0.06855310779262841,-0.1207490191231558,-0.0261919135513733,-0.026395064552995985,0.0032585674560073716,0.003040334055638555,-0.01673421649189165
0.015,-0.0466204653824773,-0.1358593888886079,-0.14743337496196288,-0.0007698375864678567,0.05914205035615758,-0.06600672207217946,-0.05387440858181015,-0.02348174820845162,0.05045349312274225,-0.11368809285511956,-0.10253556707627105,-0.12353806344120388,-0.10926263776506982,-0.1716852146427972,-0.04630443245351246,-0.05382857318459542,-0.01498646585164355,-0.016536349738566505,-0.05146315250021897
0.02,-0.050987242175289604,-0.16363378285923894,-0.1819686590540557,-0.008782303747392672,0.04926138783537754,-0.0976146505315367,-0.08763201789786644,-0.046195765740217574,0.02565321542717036,-0.13697511372214566,-0.13756959459046347,-0.14474922560720385,-0.13975473724378076,-0.2012117905488162,-0.05784997352887817,-0.07206465113031348,-0.020126735921780946,-0.028991576676367155,-0.07708111539236263
0.025,-0.05067056878605702,-0.1738448361136244,-0.19006021912175075,-0.010060665989708858,0.05828453938831964,-0.09791800850396712,-0.09250623187196359,-0.04508179021188478,0.030290409417818416,-0.13297279543815027,-0.13439598110275955,-0.14698565642174566,-0.14265729311923137,-0.20369421472097285,-0.056912944064337,-0.06995460872083177,-0.023567498031899062,-0.028363041447549066,-0.06471747525419368
0.03,-0.054349218962621806,-0.19167468957383335,-0.2094565569946984,-0.01564262104097272,0.05877772742497907,-0.11899937643759186,-0.11209191861316715,-0.05348101698765668,0.026788350154509626,-0.14851283310168098,-0.14177027962990343,-0.16357370303558402,-0.15652841220279778,-0.22250093790638037,-0.0663139877800436,-0.08566460401604181,-0.03733455014754265,-0.03425086501243257,-0.06906630246467332
0.035,-0.05075502460896364,-0.20100957522897422,-0.22163137202636926,-0.017145334248397356,0.05993008800958207,-0.12530519507500498,-0.11549687399012969,-0.05847601008051921,0.023369499154252186,-0.15564797249948267,-0.15512571613430753,-0.16804420478898519,-0.16389041283125683,-0.23272401534634787,-0.06907397730092023,-0.09334850788985131,-0.03878016313033308,-0.03637990735458367,-0.07429450846303526
0.04,-0.05390040233052839,-0.21573747233423987,-0.23762757204382035,-0.02617881446209383,0.05327430883449861,-0.14001624740195992,-0.13033635081043726,-0.0672739167996715,0.01231540119969889,-0.17417091370228277,-0.17045330828004449,-0.1827431831313645,-0.1737980481061146,-0.24715428569599585,-0.07858057170105742,-0.11018466545306647,-0.04702484767418817,-0.0435079598231029,-0.0888152521800333
0.045,-0.05322553483173181,-0.22474169968108165,-0.24925743277306348,-0.025092336348785108,0.05274025046507302,-0.15490688532692307,-0.14384875361462526,-0.0704092406719975,0.008345889108046746,-0.1796812418280291,-0.1786329273250671,-0.19145622850923363,-0.17690806777404583,-0.2541989451066851,-0.07604525917800053,-0.11037962177401946,-0.046475412021077106,-0.03944047286276549,-0.09189381956459886
0.05,-0.05411961645652657,-0.22734104230493657,-0.25118434306740506,-0.025535974221669915,0.051824711837229934,-0.15604956368102169,-0.14792209476173168,-0.07314126104771888,0.0059559152755107175,-0.18163088489204987,-0.18545453431916034,-0.19307563551072057,-0.17886926269384204,-0.25333939594446653,-0.07846046050543752,-0.1141462293224119,-0.051323659735364645,-0.04153418742324824,-0.09159199851837377
0.055,-0.05394967944551833,-0.2323779636502684,-0.2577085953400954,-0.026172925166216332,0.05338480936459782,-0.1630767075740026,-0.15179334799709068,-0.07677362204427524,0.006344228945619347,-0.1847229619432045,-0.19275844265210876,-0.1987005643899386,-0.18239961050596512,-0.2615133091489982,-0.07982724844766634,-0.11678752763923719,-0.05303095530345297,-0.043926813629841195,-0.09249676288659403
0.06,-0.05271813268178394,-0.2376094716364296,-0.2624866620391859,-0.03002629261475593,0.05831905584830793,-0.1687390252169706,-0.14724715032180122,-0.07367254836262446,0.00834865513063481,-0.18403441759897537,-0.1915574472404513,-0.1990427394969232,-0.18130069562117845,-0.2637372493454067,-0.07731839460251627,-0.11656637154221804,-0.05396452475214331,-0.04400658914037626,-0.09116284115518504
