T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.6757061690754214,0.9786284620767935,0.7109769843028806,0.051200867605675104,1.9267716029512938,1.657136904870666,1.32124055827195,0.817969136060674,0.817969136060674,1.4852341525058765,0.7097325316527859,1.370696579096467,1.3186710017597632
24.0,0.7969218469093889,1.0133616137734176,0.8232860150100437,0.04494517461629447,1.9093550068571739,1.4720679577560876,1.228035289175421,1.2208881014212511,0.8875547329185766,1.5006124293705307,0.5329495725539566,1.2875579526618879,1.1820260226440518
25.0,0.9056235063595596,0.7981570032980887,0.6886983398702815,0.2481839725366509,1.9605555783861157,1.3857366273788527,1.1424694704208909,1.1439660110463177,0.9439659899447129,1.4412723554249713,0.9672785892471151,1.2636778024890265,1.0723790092371166
26.0,1.1554709221057722,0.8137705666989692,0.7915818153119699,0.4501292893310155,1.9717997481402842,1.3545319392663315,1.1015485592165801,1.258584077190045,0.9585840666392427,1.3800217647796258,1.2339946224838376,1.2347260980905674,1.076361861483642
27.0,1.130965597441511,0.7614375438030004,0.7450547990037771,0.37589380368660774,1.9787006625102794,1.3433711902214134,1.0827321555538245,1.213335412699741,0.8800020705740724,1.3210059859527632,1.1961746700131881,1.195148499123052,1.0329196092876571
28.0,1.130965597441511,0.7614375438030004,0.7450547990037771,0.37589380368660774,1.9787006625102794,1.3433711902214134,1.0827321555538245,1.213335412699741,0.8800020705740724,1.3210059859527632,1.1961746700131881,1.195148499123052,1.0329196092876571
29.0,1.130965597441511,0.7614375438030004,0.7450547990037771,0.37589380368660774,1.9787006625102794,1.3433711902214134,1.0827321555538245,1.213335412699741,0.8800020705740724,1.3210059859527632,1.1961746700131881,1.195148499123052,1.0329196092876571
30.0,1.1432020063924253,0.8499571523738171,0.8379171655182561,0.5396150584401825,1.9172759404326671,1.3086892376746315,1.107433742209273,1.2119479579964882,0.8119479509626202,1.258702326614134,1.0915451914428533,1.192142939719127,0.9373952199897353
31.0,1.1384098129040554,0.8186735313925764,0.8366702454782435,0.54771205363526,1.928084364128161,1.297393315271079,1.0996701670344546,1.1691401416817415,0.7817893988461375,1.2313017533398118,1.0142299248269284,1.16414741879614,0.948677962985298
32.0,1.1542779153614506,0.8333253584162383,0.8571310417828858,0.5655913782299201,1.9199392679099532,1.2672282157306154,1.0865217835281415,1.130006777782645,0.8507586412071954,1.1986777841147107,1.0559086271079425,1.1785369468021085,0.955916258659876
33.0,1.2059406023922232,0.8248520335822692,0.8471731291997256,0.569619723563189,1.92962608465023,1.266802987373929,1.0903414148395554,1.136114669714901,0.8701640634525679,1.2012907294418553,1.0625439779799488,1.1821089796203292,0.9540757819675156
34.0,1.2059406023922232,0.8248520335822692,0.8471731291997256,0.569619723563189,1.92962608465023,1.266802987373929,1.0903414148395554,1.136114669714901,0.8701640634525679,1.2012907294418553,1.0625439779799488,1.1821089796203292,0.9540757819675156
35.0,1.1678635366240944,0.8168081329438556,0.8177229115169736,0.5266826908443291,1.8839505556828218,1.2208392746357457,1.1178225076816275,1.0831380345439363,0.8504312552998817,1.1530978017708822,1.0737829032947852,1.1733599713567278,0.9346753030195862
36.0,1.15045179398395,0.7482668136607015,0.7468110592161497,0.48921291466417954,1.8650490266047781,1.2270172770677594,1.0692986816965158,1.0837830477388262,0.8028585020461392,1.139337455788949,1.0903782478590711,1.1441448511803698,0.9372206831592472
37.0,1.1466897973943397,0.7561185160597109,0.7547375741602288,0.5068445405355403,1.8360156301506512,1.2198253235984442,1.0702887545708546,1.0843380621474912,0.777732251271642,1.1369158686595717,1.0897052038700465,1.1410176305918,0.904684552534163
38.0,1.0689513402598232,0.7114103956367628,0.701088528249915,0.44523492674089815,1.7844454535805034,1.1915573779460653,1.0410907040423127,1.092116402513831,0.7829240567110919,1.091719770354419,1.043998226242022,1.146730570911679,0.9123380230528441
39.0,1.011671311865763,0.6883791821220381,0.6851580299348871,0.40102011352002265,1.729514875243381,1.1828893285090765,1.0231771222169153,1.0124385188042122,0.6528681562407874,1.0441209920281544,0.9911595720512255,1.1058541758699407,0.8755706334452539
40.0,1.011671311865763,0.6883791821220381,0.6851580299348871,0.40102011352002265,1.729514875243381,1.1828893285090765,1.0231771222169153,1.0124385188042122,0.6528681562407874,1.0441209920281544,0.9911595720512255,1.1058541758699407,0.8755706334452539
41.0,1.011671311865763,0.6883791821220381,0.6851580299348871,0.40102011352002265,1.729514875243381,1.1828893285090765,1.0231771222169153,1.0124385188042122,0.6528681562407874,1.0441209920281544,0.9911595720512255,1.1058541758699407,0.8755706334452539
42.0,0.9597112403792891,0.6654366609861514,0.6618829680724069,0.37948214712051836,1.7127346141399342,1.1548272942379194,0.998212191763617,0.9806853898829454,0.6135242353298874,0.9913739555995305,0.9398037533504793,1.0607964270476058,0.8461614166218285
43.0,0.8999964028357155,0.6150396875665215,0.6391301397334703,0.370267283863344,1.6388985784104697,1.0786995636884658,0.9681419097343978,0.9463627428130336,0.5421146159463816,0.944576271309024,0.8884150804069886,1.0056770321251733,0.7906108677561938
44.0,0.8745040539094624,0.5877459774975943,0.6128374362500932,0.36892865908382994,1.6210171578402843,1.0712556711012582,0.9595180218403474,0.9110823626589575,0.5172101780993389,0.9236194329800199,0.901257875296573,0.9919470158548126,0.7735782630856496
45.0,0.8461548596552426,0.5662952794210567,0.5917833834252721,0.34174428161495457,1.6153382423552216,1.029141762345207,0.9350844721742341,0.9096350416169308,0.4657628570573122,0.8745147055078946,0.8479153343014056,0.9721584926171044,0.7544429218744526
46.0,0.7411431553780711,0.48908809582919766,0.5057449844251172,0.2961844223117753,1.516161386421969,0.9134597497885644,0.8966483377662644,0.7881429123892932,0.34427072814582155,0.8260770528606416,0.7782836079452112,0.9207063461758953,0.6672112468960746
47.0,0.7506354506157775,0.44445257606597854,0.47463794445993734,0.2836038177692201,1.457913803078761,0.8599408302569898,0.8677729619788221,0.7488896887921881,0.32615427522697676,0.7893564428398504,0.7300481769065714,0.8865829430108001,0.6264437861197842
48.0,0.7729488672927907,0.4380889462523478,0.467712460760045,0.29567453313868197,1.464470640839343,0.8580934085212165,0.8676551726693145,0.7520155716444678,0.33911121420867996,0.7876029077510572,0.7270775001922982,0.8825683265226824,0.6247051633059023
49.0,0.7738019985653434,0.4140895898952373,0.44108007877341504,0.25806120052685233,1.4387884875706083,0.8302767141816815,0.82257132534543,0.721094970082045,0.3433314090237712,0.7772624354845719,0.7254755373638259,0.8601953922139693,0.5752397403953691
50.0,0.7816389125333969,0.4106173899188829,0.43720454822623067,0.2424885102426352,1.4149534719995442,0.8364720876233904,0.8187003899695741,0.7249791616518337,0.3684921963382407,0.7745672568292141,0.7216640306256142,0.858958681240893,0.5599267787345468
51.0,0.7023721095046307,0.3429691110569045,0.3610084772372497,0.17948957885339803,1.3646284975097325,0.775573404703378,0.7519500644752183,0.6572945076639497,0.3742744597339529,0.7507743344915146,0.7113507926638339,0.8126216903746882,0.5571168167988932
52.0,0.6583025961884138,0.2888530384322908,0.33366854106974714,0.1312046509366443,1.30726012820647,0.7302890725014617,0.6839920236968815,0.6481629879298865,0.3621833370017275,0.7327043316991622,0.6621061695667445,0.7724490144566839,0.4774140526985953
53.0,0.5921688147949684,0.2666329359862888,0.3191126544704793,0.11451427650251686,1.2856003482203926,0.7184690125180121,0.6930908283377146,0.6078973105238379,0.3216723177821118,0.7209134177938544,0.6336004493160481,0.7568749917499346,0.4712723139320256
