T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
128.0,0.8678504232608178,0.8507874874934901,0.7421514083350509,0.8915341333308877,0.8851697687279969,0.8810399962846426,0.9171993551667108,0.9352061299936955
129.0,0.865628387413814,0.8486155009976528,0.7365690275170564,0.8904902331632343,0.8830101034638176,0.8792313408633277,0.9153442364354518,0.9343874210069032
130.0,0.8744188264276435,0.84894179929675,0.7259945891698235,0.8989427963548092,0.8933981472384321,0.889048847261038,0.9234527824862075,0.94035092197872
131.0,0.8885664735430796,0.8570053296536533,0.7104516094814138,0.9126058728759104,0.9034600872827636,0.9003281054792667,0.9332674779578872,0.9434680777036035
132.0,0.9127832107169018,0.8827466877551655,0.7325979564951669,0.9340347326043079,0.9289045945741604,0.9256388160223996,0.9490393236701217,0.9528503285564374
133.0,0.8956140038215624,0.8631215165706074,0.7044996577002322,0.9144138508507456,0.9082135313442812,0.9029271510506819,0.9324135140020037,0.9398412344821213
134.0,0.8892527094955195,0.8526562929195131,0.6829751079873463,0.9105192722425707,0.9021940119763403,0.8963896500140408,0.9237907776626451,0.9303919103276425
135.0,0.8875986630641582,0.8489377716224147,0.6710620168465441,0.9090301552069374,0.8997687284562667,0.8938884956916082,0.9230066198902265,0.9294184478716642
136.0,0.877751003371272,0.8356612954050733,0.6432408242565163,0.9022715584592322,0.8935365778944806,0.8875423916144727,0.915644017501988,0.9228546666600698
137.0,0.8759993230320752,0.8316332363878716,0.6316436227504707,0.9002187519628942,0.8912100905449389,0.8850280968619021,0.9148804511723487,0.9223170214528769
138.0,0.8748400778270032,0.826223053450908,0.620475693131516,0.8995559211732371,0.8907328285279615,0.8840004320671458,0.9125218686462967,0.9210208620203668
139.0,0.8677633470934116,0.8188000438050043,0.5991273044734969,0.8955904478390595,0.8867296747135377,0.8798061577711535,0.906243049898317,0.9179005453196327
140.0,0.869695341590853,0.8195575249774784,0.585235377149737,0.8983363716313569,0.8894338588200502,0.8825044318967693,0.9083510438113275,0.9207007715896788
141.0,0.856571910767372,0.8012147810968755,0.543981424607187,0.8819265641157011,0.8688830389230374,0.8633667781891968,0.8901415127539484,0.9080520204176441
142.0,0.8575998057512356,0.7988137019315013,0.5385407508539336,0.8825525018571518,0.8697089497156887,0.86418463441004,0.8893125022625092,0.9081712060334187
143.0,0.8550663287300232,0.7906420924798521,0.5192007976927121,0.8821833723896626,0.868952146946358,0.8636130106282636,0.8879843819597779,0.9088526044446332
144.0,0.8558940308251727,0.7886567728910666,0.5091028768100496,0.8819144849301145,0.8695004947767736,0.8635250411623672,0.8873695722533764,0.9076375828650732
145.0,0.8543996044458495,0.7835036102000342,0.5008460237386643,0.8798730815386301,0.8668601226401023,0.8605797822207695,0.8853880480443965,0.9062761558401506
146.0,0.8483980925274895,0.7751766628872537,0.4844021344983487,0.8725606416720686,0.85891059691545,0.8529640041243732,0.8804953132819016,0.901703415524877
147.0,0.844354133683315,0.770519421721925,0.470957400917192,0.8706335924224695,0.856471656202455,0.8502098939934513,0.8780498639971193,0.8998189428817713
148.0,0.8413769213361009,0.7643362640632972,0.4615485569365128,0.8687946989221553,0.8551888874379878,0.849520990991862,0.8767541461297097,0.898874920058611
149.0,0.8463288026338736,0.7666114568509568,0.4541671653834996,0.8717217029009465,0.8592697429005309,0.8540049925725048,0.8811492978649428,0.9029575974915082
150.0,0.8412173980825128,0.7464115747349342,0.43266361580697393,0.8640004155866455,0.8496424244350784,0.8429124345203328,0.8807091040371999,0.8975151319185117
151.0,0.8132918499418837,0.7175871446603453,0.37833231449671484,0.8353846618198334,0.8160979577575759,0.8083144719058742,0.8509718214273462,0.8730764986945045
152.0,0.8187733917223932,0.7101304122327474,0.36030423137231277,0.840846915671208,0.8221832454397198,0.814631401307843,0.855086940100654,0.8700784959834076
153.0,0.813074662154925,0.6995751500064412,0.34694385804816075,0.8340911244627425,0.8147105398817732,0.8068686121084672,0.8507229765058717,0.8649246299434536
154.0,0.8358345264416334,0.7126594426390538,0.3419556972031161,0.8640274452722791,0.8456185418426296,0.8423970739125028,0.8745885247416333,0.8820220913516155
155.0,0.8527290381790192,0.7229960983652586,0.31960523976217853,0.8794211788880566,0.8649186253411683,0.8636112114327009,0.897961945421679,0.8961108311362309
156.0,0.8461845656436447,0.7092496269606916,0.30989326466473466,0.8755600885367664,0.8633893828730466,0.862020276112274,0.8944061430876385,0.8919055733887628
157.0,0.8640032175781507,0.7024343771303528,0.3011753019321632,0.8858868974199156,0.8722730250546082,0.8711539600643472,0.9014322190174516,0.8975706033667558
