Item,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-R001.jams,0.0022224421620449684,-0.0019609929066089007,-0.00023036869978592092,-0.00023036869978592092,0.0,0.00024367465754749417
RM-R002.jams,0.020235488401988754,-0.0016794973966794862,0.00017081052955614405,0.00017081052955614405,-0.007649883168444964,0.0018104169128936782
RM-R003.jams,1.01909933150174,-0.001961474459144891,-0.00013542733066026794,-0.00013542733066026794,0.0,-0.003172798745345696
RM-R004.jams,1.0361767531107,0.0015284468095710865,0.0005143321390983276,0.0005143321390983276,-0.004748088415443274,0.9997019496390063
RM-R005.jams,0.027611389679336986,0.00013316570391323857,-4.805364279834213e-05,-4.805364279834213e-05,0.004764116509774755,-4.805364279834213e-05
RM-R006.jams,0.030461985274524088,-0.001958375776071256,0.0001611964835418337,0.0001611964835418337,0.004759307341953563,-0.0008282191873643972
RM-R007.jams,0.019104077232527907,-0.0019619560118419375,-0.00013547542501019682,-0.00013547542501019682,0.0,-0.0024129043470443577
RM-R008.jams,0.027611389679336986,0.00013316570391323857,-4.805364279834213e-05,-4.805364279834213e-05,0.004764116509774755,0.00038947508426937465
RM-R009.jams,0.019104077232527907,-0.0019619560118419375,-0.00013547542501019682,-0.00013547542501019682,0.0,0.0010018346101612174
RM-R010.jams,0.01797104109132729,0.0016655996704660933,-1.783480582957398e-05,-1.783480582957398e-05,-0.007731636841243449,0.0009625533945434587
RM-R011.jams,0.0022224421620449684,-0.0019609929066089007,-0.00023036869978592092,-0.00023036869978592092,0.0,-0.00023036869978592092
RM-R012.jams,-0.9808959227674721,-1.001961956011842,-1.0001354754250102,-1.0001354754250102,-1.0,-1.0001354754250102
RM-R013.jams,0.016274208654291925,0.0015284468095710865,-0.5844480655691473,-0.5844480655691473,-0.004748088415443274,0.41555193443085275
RM-R014.jams,-0.9893617726726747,-1.0019617954942581,-1.0003882975153797,-1.0003882975153797,-1.0072315692310758,-0.9991244857015688
RM-R015.jams,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,0.0,6.672449134216533e-06
