Estimator,Accuracy1,Accuracy2
schreiber2014/default,0.7311827956989247,0.9182795698924732
schreiber2018/fcn,0.6752688172043011,0.9354838709677419
schreiber2017/mirex2017,0.6473118279569893,0.9204301075268817
schreiber2018/cnn,0.6451612903225806,0.9225806451612903
schreiber2017/ismir2017,0.6344086021505376,0.9204301075268817
percival2014/stem,0.6086021505376344,0.8602150537634409
schreiber2018/ismir2018,0.5870967741935483,0.9182795698924732
klapuri2006/ismir2004,0.5827956989247312,0.9096774193548387
klapuri2006/percival2014,0.578494623655914,0.8924731182795699
echonest/version_3_2_1,0.5698924731182796,0.7849462365591398
gkiokas2012/default,0.567741935483871,0.9075268817204301
zplane/auftakt_v3,0.5612903225806452,0.8236559139784946
boeck2015/tempodetector2016_default,0.5548387096774193,0.9483870967741935
oliveira2010/ibt,0.4666666666666667,0.7677419354838709
scheirer1998/percival2014,0.4258064516129032,0.6430107526881721
uhle2004/ismir2004,0.41935483870967744,0.7204301075268817
davies2009/mirex_qm_tempotracker,0.3978494623655914,0.7591397849462366
scheirer1998/ismir2004,0.37849462365591396,0.6946236559139785
alonso2004/ismir2004_spec,0.3741935483870968,0.6860215053763441
dixon2001/ismir2004_indu,0.2860215053763441,0.6279569892473118
tzanetakis2002/ismir2004_msum,0.2731182795698925,0.524731182795699
alonso2004/ismir2004_corr,0.23440860215053763,0.578494623655914
tzanetakis2002/ismir2004_hist,0.2129032258064516,0.4774193548387097
dixon2001/ismir2004_trac,0.1935483870967742,0.6881720430107527
tzanetakis2002/ismir2004_mmul,0.18924731182795698,0.4129032258064516
dixon2003/ismir2004_auco,0.16774193548387098,0.7677419354838709
